TCGA-BL-A13J-11A-13R-A10U-07	TCGA-BT-A20N-11A-11R-A14Y-07	TCGA-BT-A20Q-11A-11R-A14Y-07	TCGA-BT-A20R-11A-11R-A16R-07	TCGA-BT-A20U-11A-11R-A14Y-07	TCGA-BT-A20W-11A-11R-A14Y-07	TCGA-BT-A2LA-11A-11R-A18C-07	TCGA-BT-A2LB-11A-11R-A18C-07	TCGA-CU-A0YN-11A-11R-A10U-07	TCGA-CU-A0YR-11A-13R-A10U-07	TCGA-GC-A3BM-11A-11R-A22U-07	TCGA-GC-A3WC-11A-11R-A22U-07	TCGA-GC-A6I3-11A-11R-A31N-07	TCGA-GD-A2C5-11A-11R-A180-07	TCGA-GD-A3OP-11A-11R-A220-07	TCGA-GD-A3OQ-11A-21R-A220-07	TCGA-K4-A3WV-11A-21R-A22U-07	TCGA-K4-A54R-11A-11R-A26T-07	TCGA-K4-A5RI-11A-11R-A28M-07
ABCC6|368	4.4256	3.4996	0.8834	23.7436	1.5504	12.6027	7.173	13.4508	7.9595	10.5882	14.6912	9.3294	7.3041	15.949	14.7817	13.3296	13.6555	5.3763	5.7888
ABCC8|6833	8.8512	6.9991	4.417	2.7701	5.4264	25.7534	1.6878	5.5659	7.9595	23.5294	3.8325	17.4927	8.6321	0.7974	2.4063	4.6654	81.4076	2.9869	12.5425
ABCC9|10060	1269.4081	1181.1024	682.8622	2075.9794	157.3643	711.2329	55.2743	117.8108	1323.4443	1185.2941	295.1016	689.2128	71.7131	78.1499	145.067	278.9217	81.4076	137.3955	234.9298
ABCD1|215	839.3878	800.5249	1000	821.1318	244.9612	352.8767	301.2658	128.0148	894.356	721.1765	347.4789	626.2391	393.7583	265.949	345.4795	466.8689	382.8782	314.8148	463.5883
ABCD2|225	126.1294	122.4847	145.7597	90.2256	13.9535	55.3425	4.6414	8.3488	161.3603	110.5882	19.1624	72.3032	14.6082	27.512	11.0003	48.9862	22.584	7.1685	31.8385
ABCD3|5825	955.9285	910.7612	1023.8516	1027.3051	2074.4186	2526.0274	1407.5949	2224.026	1140.3763	931.1765	1221.925	1148.105	1284.1965	2193.3812	1766.5865	1756.84	2015.7563	1584.8268	873.1476
ABCD4|5826	438.8715	354.3307	404.5936	374.3569	497.6744	601.6438	604.2194	476.3451	384.9493	495.8824	628.5281	636.1516	1119.5219	586.5231	749.0547	725.7962	883.9286	417.5627	811.8825
ABCE1|6059	1038.5396	1249.3438	1030.0353	1936.6838	1842.6357	1591.7808	1114.7679	1954.5455	892.1852	1119.4118	1425.6857	1037.9009	712.4834	1663.0781	1517.7037	1286.9719	1287.8151	2107.5269	1401.8601
ABCF1|23	1971.6024	2177.6028	2189.9293	1982.588	1382.9457	1968.7671	2758.6498	2317.2542	2206.2229	1898.2353	2047.1875	1882.7988	2291.5007	1834.1308	2244.0701	1701.5222	1936.9748	3017.3238	2051.6556
ABCF2|10061	1238.4289	1379.7025	1361.3074	1383.8544	1228.6822	1517.2603	1406.7511	1581.1688	1070.9117	1071.1765	1065.4318	1071.7201	1375.83	988.437	1181.1619	987.0561	1129.7269	1839.307	1255.6923
