TCGA-BL-A13J-11A-13R-A10U-07	TCGA-BT-A20N-11A-11R-A14Y-07	TCGA-BT-A20Q-11A-11R-A14Y-07	TCGA-BT-A20R-11A-11R-A16R-07	TCGA-BT-A20U-11A-11R-A14Y-07	TCGA-BT-A20W-11A-11R-A14Y-07	TCGA-BT-A2LA-11A-11R-A18C-07	TCGA-BT-A2LB-11A-11R-A18C-07	TCGA-CU-A0YN-11A-11R-A10U-07	TCGA-CU-A0YR-11A-13R-A10U-07	TCGA-GC-A3BM-11A-11R-A22U-07	TCGA-GC-A3WC-11A-11R-A22U-07	TCGA-GC-A6I3-11A-11R-A31N-07	TCGA-GD-A2C5-11A-11R-A180-07	TCGA-GD-A3OP-11A-11R-A220-07	TCGA-GD-A3OQ-11A-21R-A220-07	TCGA-K4-A3WV-11A-21R-A22U-07	TCGA-K4-A54R-11A-11R-A26T-07	TCGA-K4-A5RI-11A-11R-A28M-07
LOC728190|728190	163.747	142.6072	123.6749	153.146	141.8605	166.0274	170.0422	256.4935	130.9696	77.0588	128.3884	148.688	136.1222	145.5343	165.3489	212.9402	138.6555	235.3644	143.2734
LOC728264|728264	5922.1833	3552.056	5224.3816	2278.1955	946.5116	409.863	129.5359	141.0019	5117.945	4351.7647	1269.1924	6030.9038	267.5963	346.4912	729.4603	2427.9848	749.4748	225.2091	1728.4463
LOC728276|728276	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7974	0	0	0	0	0
LOC728323|728323	27.2912	32.371	33.5689	38.7812	6.9767	10.9589	6.3291	11.1317	26.0492	12.9412	15.9687	18.0758	3.9841	14.7528	18.2193	23.66	14.7059	11.9474	11.0952
LOC728392|728392	95.1503	108.4864	146.6431	100.1187	105.4264	186.3014	235.0211	139.1466	146.165	197.6471	427.9612	262.9738	475.4316	175.4386	294.9467	163.954	439.6008	250.8961	368.5551
LOC728410|728410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC728554|728554	36.88	76.1155	68.0212	81.5196	731.0078	206.5753	496.2025	1715.2134	92.6194	60.5882	185.2369	162.0991	249.668	145.933	564.1114	243.265	269.4328	134.4086	249.8842
LOC728606|728606	1.4752	0.8749	0	0.3957	0	0	0.4219	0	0	0	0	0.5831	1.328	1.1962	0	0.3332	0.5252	0	0
LOC728613|728613	83.3487	90.9886	142.2261	169.3708	28.6822	116.1644	234.1772	54.731	157.7424	123.5294	73.456	55.3936	51.1288	155.1037	123.0663	175.2841	91.9118	181.0036	169.3231
LOC728640|728640	42.0431	29.7463	37.9859	32.0538	36.4341	35.6164	30.3797	41.744	32.5615	18.8235	41.5186	40.8163	21.2483	24.7209	40.22	34.6569	27.3109	59.7372	34.7329
LOC728643|728643	30.2416	42.8696	53.0035	60.9418	502.3256	100.274	271.73	268.5529	41.9682	66.4706	289.9916	84.5481	116.8659	54.6252	162.2551	100.6384	164.916	225.8065	89.2444
LOC728723|728723	11.8016	5.2493	4.417	7.1231	0	8.7671	10.5485	2.3191	10.1302	7.0588	7.0262	9.9125	10.6242	8.7719	2.0626	12.3299	13.6555	2.9869	9.648
LOC728743|728743	325.2812	145.2318	417.8445	100.1187	157.3643	136.4384	111.8143	78.8497	296.6715	321.1765	122.0009	425.656	660.6906	204.5455	175.6617	192.2793	253.6765	56.7503	223.3521
LOC728758|728758	22.8656	32.371	16.7845	26.5137	35.6589	33.4247	40.0844	26.9017	20.2605	28.2353	27.4662	23.3236	29.2165	46.6507	34.3761	26.3259	52.521	10.1553	19.2961
LOC728819|728819	37.6176	22.7472	36.2191	26.9094	9.3023	20.8219	23.6287	5.102	49.2041	34.7059	28.1049	33.2362	20.5843	42.6635	12.3754	21.3273	14.1807	6.5711	27.0145
LOC728855|728855	293.5644	367.4541	392.2261	197.2062	131.0078	224.6575	303.3755	153.0612	294.5007	168.9588	276.5779	295.6268	578.3533	311.8222	172.5679	218.9385	209.375	104.552	366.6255
LOC728875|728875	36.1424	27.1216	66.2544	58.4329	20.155	24.6575	43.4599	8.8126	58.6107	65.7471	20.4399	37.3178	48.4728	104.8445	19.2506	22.3271	33.7973	40.0119	25.5673
LOC728989|728989	0.7376	0.8749	0	0.7915	3.876	1.0959	0.4219	0.4638	0.7236	2.3529	2.555	2.9155	11.9522	4.386	3.0938	2.6659	2.1008	0	4.3416
LOC729020|729020	37.6176	27.9965	37.9859	26.5137	36.4341	26.8493	12.6582	21.3358	46.3097	25.8824	28.1049	38.484	6.6401	29.9043	25.4383	41.9882	27.8361	24.4922	13.0249
LOC729082|729082	406.4171	413.9633	337.8004	321.8124	664.3023	426.8822	441.3038	414.6753	413.4515	313.6824	393.5902	298.0583	281.9389	465.3628	330.2681	541.8778	345.1733	287.9331	277.8442
LOC729121|729121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC729156|729156	0	0	6.8198	3.5615	0	0	0	1.2059	0	5.1294	0	0	1.826	3.0024	0	1.1563	6.208	12.7838	13.8546
LOC729176|729176	21.3904	58.6177	35.3357	37.594	47.2868	38.9041	16.4557	87.1985	35.4559	24.7059	38.9636	27.4052	11.2882	37.4801	34.0323	36.3231	30.9874	42.4134	29.4265
LOC729234|729234	87.7743	61.2423	88.242	43.5299	20.155	48.2192	386.4979	38.4972	63.6758	85.8824	80.4823	77.551	169.3227	35.8852	80.7838	144.9593	294.1176	166.0693	93.1036
LOC729375|729375	16.2272	19.2476	84.8057	18.2034	15.5039	49.3151	42.616	13.4508	28.22	24.1176	58.1261	42.5481	80.3453	21.5311	37.1262	29.3251	47.7941	13.1422	63.1898
LOC729467|729467	0.7376	1.7498	0.8834	0	0	0	0	0	0	0	0	1.1662	0	0	0	0.3332	0	0	0
LOC729603|729603	12.5392	8.7489	7.9505	11.8718	26.3566	15.3425	9.7046	13.9147	19.5369	18.2353	24.9112	32.6531	32.5365	17.9426	11.3441	37.9893	27.3109	28.0765	19.7785
LOC729609|729609	0	0	0	0	0	0	0	0	1.4472	0	0.6387	0	0	0	0	0.3332	0.5252	0	0
LOC729668|729668	0.7376	0	0	0.3957	0	0	0	0	0	0	0.6387	0	0	0	0	0.8531	0	0.5974	0
LOC729678|729678	387.8296	220.9449	315.9452	77.503	316.2636	279.737	385.4219	97.1521	420.3256	421.4176	170.2775	423.4286	563.3001	784.5255	257.1262	290.945	332.6471	65.233	238.9771
LOC729799|729799	16.2272	5.2493	12.3675	12.6632	14.7287	12.0548	6.7511	7.885	7.9595	17.0588	12.1362	17.4927	4.6481	6.7783	7.5627	26.6592	17.3319	11.9474	8.6832
LOC729991-MEF2B|4207	47.1695	29.65	52.8534	28.9909	22.9225	23.2932	48.4093	23.961	26.903	117.1059	39.9026	72.2857	29.907	37.508	81.7119	33.1773	39.7532	30.3286	74.2175
LOC729991|729991	138.912	188.3552	147.5972	190.9656	243.124	239.6329	418.8987	250.436	175.9262	253	270.2862	205.2245	510.5113	380.7855	260.0206	192.4893	293.8078	241.5173	328.6942
LOC730101|730101	59.7455	115.4856	101.5901	72.4179	337.2093	86.5753	29.1139	62.616	193.1983	88.2353	72.1785	114.2857	32.5365	289.075	35.0636	66.9812	53.5714	28.0765	40.0394
LOC730668|730668	0	0	0	0.7915	3.1008	0.5479	1.2658	2.7829	0.7236	1.1765	0.6387	1.1662	7.3041	0.3987	1.0313	3.9989	8.9286	0.5974	0.4824
LOC730811|730811	0	0	0	0	0	0	0	0	0	0	0	0	1.328	0	0	0	0	0	0
LOC731779|731779	0	0	0	0	0	4.3836	0.4219	0	0	0	0.6387	0	1.328	5.9809	0	0	0	0	0.4824
LOC731789|731789	0	0	0	0	0.7752	2.1918	0	0	0.7236	0	0	0	0.664	2.3923	0	0	0	0	0
LOC732275|732275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9648
LOC80054|80054	70.0719	34.1207	36.2191	25.3265	61.2403	109.589	162.0253	19.9443	41.9682	91.7647	59.4036	59.4752	192.5631	95.6938	61.8769	85.3094	169.6429	17.9211	34.2505
LOC80154|80154	224.2301	102.3622	202.2968	118.3221	2051.1628	174.7945	1099.5781	2356.2152	214.9059	223.5294	1550.2415	435.5685	261.6202	436.6029	1731.1791	699.8035	1982.1429	2225.8065	1085.8868
LOC81691|81691	36.1424	23.622	30.0353	72.4179	55.0388	124.3836	212.6582	112.2449	249.6382	83.5294	95.1735	68.2216	93.6255	43.0622	63.9395	101.9714	132.3529	75.8662	95.0332
LOC84740|84740	1.4826	4.392	3.5424	4.3767	3114.5039	17.6	44.4008	8.3534	3.6252	11.8118	34.5243	7.0204	4.6481	7.185	2.7535	48.0732	5.2574	15.5317	7.2505
LOC84856|84856	23.6032	23.622	60.0707	13.059	6.9767	9.3151	34.5992	3.2468	2.1708	8.2353	28.7437	7.5802	74.3692	10.3668	11.6879	77.6449	90.8613	17.3238	23.1553
LOC84931|84931	0	0	0	0	0	0	0.8439	0	0	0	0	0	0	0	0	0	0.5252	0	0
LOC84989|84989	5.4951	2.0822	5.6272	8.793	6.6977	17.074	92.692	11.1596	19.4573	14.5118	70.2303	12.0816	32.9947	31.4992	31.8872	14.9025	15.2311	99.4325	28.7319
LOC90110|90110	297.99	212.5984	270.318	123.4666	170.5426	210.9589	277.6371	133.1169	231.5485	234.1176	288.7141	352.7697	164.0106	409.4896	235.8199	278.9217	284.1387	105.1374	193.4432
LOC90246|90246	16.9648	5.2493	6.1837	12.2675	26.3566	89.3151	225.3165	52.4119	41.9682	24.1176	52.3773	62.9738	13.9442	106.4593	326.2289	291.2515	296.2185	72.282	87.3148
LOC90586|90586	19.9152	6.9991	27.3852	18.5991	4.6512	4.3836	1.2658	3.2468	28.22	20.5882	4.4712	22.7405	5.3121	3.9872	3.4376	13.6628	5.2521	7.7658	8.2008
LOC90784|90784	340.0332	303.5871	370.1413	271.4681	220.155	319.4521	253.5865	306.5863	374.8191	314.7059	229.9493	222.7405	245.6839	361.6427	265.0395	426.5469	578.2563	173.8351	315.9733
LOC90834|90834	7.376	4.3745	5.3004	6.3316	20.155	6.0274	5.4852	22.7273	12.301	18.8235	36.4086	15.1603	7.9681	13.9553	23.3757	36.6564	25.2101	87.2162	22.6729
LOC91149|91149	0	0	0	0	0	0	0	0	0	0	0	0	0.664	0.7974	0	0.3332	1.0504	0	0
LOC91316|91316	141.8919	95.0481	108.9046	102.6474	141.7907	78.8493	110.5654	126.4378	104.1968	206.4647	385.9699	320.3965	492.1979	222.0534	356.5761	450.3369	528.8866	584.3548	250.4438
LOC91450|91450	12.5392	11.3736	16.7845	3.5615	5.4264	2.1918	2.9536	3.2468	5.0651	10.5882	4.4712	17.4927	16.6003	5.9809	4.1251	6.998	12.0798	5.9737	13.5073
LOC91948|91948	1.4752	0	0	1.9786	0	0.5479	0.4219	0	0.7236	0	1.2775	2.9155	0	1.5949	1.375	2.3327	0.5252	1.7921	0
LOC92249|92249	1619.0301	1515.3106	2000.8834	967.1547	592.2481	488.2192	221.9409	205.9369	1658.466	1050	443.9299	910.2041	174.6348	269.9362	361.9801	723.1303	502.6261	372.7599	310.1845
LOC92659|92659	24.3408	11.3736	15.9011	7.9145	29.4574	50.9589	31.2236	27.3655	42.6918	15.8824	28.1049	19.8251	118.1939	97.6874	32.3135	30.6581	24.6849	2.9869	15.9193
LOC92973|92973	204.315	123.3596	182.8622	178.8682	23.2558	27.3973	13.5021	9.2764	134.5876	111.1765	38.3249	135.8601	11.9522	26.3158	32.3135	83.6432	33.0882	22.1027	25.0849
LOC93432|93432	0	0	0	0	0	0.5479	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC93622|93622	349.622	259.8425	335.689	189.1571	386.0465	381.9178	568.3544	228.6642	269.1751	330.5882	274.0229	424.4898	516.6003	377.9904	378.4806	431.2122	600.3151	189.9642	337.199
LOC96610|96610	501.9436	1992.091	397.8269	734.163	2252.9302	11595.3863	1026.4388	9778.205	682.4747	19710.1176	1985.082	9759.9417	178646.6003	23555.638	940.416	809.6893	5224.438	642.6344	59281.6456
LOH12CR1|118426	89.9871	96.238	93.6396	89.4341	144.9612	86.5753	99.5781	179.0353	107.0912	104.7059	72.8173	91.5452	177.9548	102.8708	93.8467	79.3111	110.2941	68.1004	135.555
LOH12CR2|503693	84.0863	47.2441	73.3216	61.7333	13.9535	20.274	18.1435	8.8126	87.5543	63.5294	28.7437	52.4781	8.6321	13.5566	20.2819	25.3262	27.8361	6.5711	23.6377
LOH3CR2A|29931	171.8606	234.4707	205.8304	379.8971	49.6124	71.2329	67.0886	78.8497	90.4486	193.5294	139.2471	141.1079	106.2417	65.7895	54.658	71.6465	34.6639	127.8375	254.7082
LONP1|9361	1637.47	1570.4287	1901.9435	1241.393	1305.4264	1366.5753	1600.8439	1178.1076	1702.6049	1585.2941	1401.4132	1366.1808	3263.6122	1580.1435	1711.241	1376.6134	1610.2941	1053.7634	1572.6304
LONP2|83752	1476.6734	1498.6877	1449.6466	1343.4903	1210.0775	1374.2466	1376.7932	1172.5417	1586.1071	1431.7647	1674.1586	1170.8455	592.2975	1533.8915	1562.7363	2048.758	1918.0672	1673.8351	850.4747
LONRF1|91694	602.6185	781.2773	353.3569	1364.8595	539.5349	506.3014	1001.6878	846.475	395.0796	671.7647	2029.3026	780.758	349.9336	477.2727	717.4287	549.8456	728.9916	1583.632	808.0233
LONRF2|164832	1451.5951	2000.8749	1564.4876	2374.7527	174.4186	227.3973	54.8523	32.9314	1340.8104	1098.8235	105.3934	1025.656	8.6321	31.4992	69.4397	450.8734	136.0294	256.8698	161.6047
LONRF3|79836	190.3006	155.7305	134.2756	292.8374	21.7054	42.1918	72.1519	14.3785	128.7988	113.5294	89.4247	130.0292	6.6401	51.0367	17.5318	46.6536	15.7563	264.0382	58.3706
LOR|4014	0	0	0	0.3957	663.5659	1.0959	0.8439	13.9147	0	0	0	0.5831	15.9363	0.3987	0	0	0	0	1.9296
LOXHD1|125336	5.9008	4.3745	1.7668	3.5615	0	4.9315	3.3755	5.5659	7.9595	4.7059	0.6387	4.6647	5.9761	15.1515	0.6875	1.6662	0	1.1947	1.4472
LOXL1|4016	819.4726	795.2756	1721.7314	929.1611	320.9302	913.9726	309.2827	191.0946	2119.3922	727.0588	327.039	901.4577	2507.9681	209.3301	612.9254	717.1319	219.0126	421.7443	1241.2203
LOXL2|4017	910.9128	953.5521	1510.5565	1456.4068	119.3798	896.3014	182.2785	150.7421	1898.589	601.7353	225.4781	493.2303	470.7835	142.3445	277.0299	534.5032	94.5378	243.7276	590.8894
LOXL3|84695	159.8746	202.3972	188.6131	174.5469	37.4651	245.6493	74.0253	89.6985	253.9074	188.2882	139.2024	209.4461	108.9243	69.4537	64.2626	183.3985	51.0662	91.0693	175.8693
LOXL4|84171	393.8779	328.9589	692.5795	249.7032	62.0155	438.3562	45.1477	32.0037	507.2359	232.3529	90.7022	281.6327	103.5857	155.5024	89.7216	175.9506	55.1471	41.816	91.174
LOX|4015	739.8119	462.8171	356.8905	410.7638	54.2636	628.4932	45.5696	134.9722	1250.3618	682.9412	137.3308	284.5481	169.3227	339.3142	236.1636	272.2569	58.2983	136.2007	356.9775
LPAL2|80350	4.4256	0.8749	1.7668	1.5829	3.876	4.9315	10.1266	0.9276	2.8944	0.5882	4.4712	7.5802	1.328	2.7911	6.1877	12.3299	1.0504	2.9869	6.2712
LPAR1|1902	1135.165	899.3876	477.9152	932.7266	368.9922	1248.7671	474.2616	782.9314	903.7627	1021.1765	1006.6669	519.5335	397.0784	480.4625	415.6067	831.0999	307.2479	906.81	1073.8268
LPAR2|9170	10.3264	27.1216	3.5336	14.2461	315.5039	258.0822	1137.9747	271.3358	9.4067	72.3529	451.5949	273.4694	1179.2829	1176.236	590.9247	408.8852	849.2647	691.1589	566.8223
LPAR3|23566	0	0	0	0	44.186	117.8082	128.692	111.3173	0	31.7647	93.896	55.9767	26.5604	73.3652	347.8859	190.6131	200.6303	13.1422	57.8882
LPAR4|2846	6.6384	7.874	3.5336	5.1444	0	12.0548	0.4219	1.3915	7.9595	9.4118	5.11	4.0816	0	1.5949	1.0313	8.331	1.0504	1.1947	3.3768
LPAR5|57121	32.4544	28.8714	35.3357	16.6205	1056.5891	196.7123	178.903	840.9091	25.3256	58.2353	201.2056	119.5335	138.1142	200.9569	412.8567	282.9205	332.9832	83.0346	78.6315
LPAR6|10161	217.5917	192.4759	160.7774	256.0348	1905.4264	669.589	1400	1503.2468	227.9305	595.2941	1045.6306	687.4636	937.583	746.8102	1604.6751	1284.9725	986.3445	2728.1959	1357.4792
LPA|4018	0	0.8749	0.8834	0.3957	13.9535	7.1233	82.7004	14.3785	2.8944	3.5294	80.4823	9.9125	2.656	3.9872	109.6597	69.9803	15.2311	39.4265	14.9545
LPCAT1|79888	1123.3635	1074.3657	952.2968	806.0942	581.3953	2443.2877	1186.0759	530.6122	1159.1896	1025.2941	1044.9918	1233.2362	2387.1182	1356.0606	562.0488	996.3868	1323.5294	1079.4504	1535.9679
LPCAT2|54947	370.2748	342.0822	280.9187	516.8184	521.7054	767.1233	687.7637	430.8905	222.1418	625.8824	1016.8869	492.1283	150.7304	1030.303	485.0464	647.8181	888.1303	972.5209	490.1204
LPCAT3|10162	747.9255	709.5363	527.3852	890.3839	2404.6512	1393.9726	3078.903	988.4045	779.3054	1184.7059	1822.3482	939.3586	1829.3493	2068.1818	1923.6851	1778.1673	2014.1807	2051.9713	1598.1977
LPCAT4|254531	362.1612	306.2117	493.8163	343.0946	1703.1008	849.3151	1765.8228	1189.2393	340.0868	723.5294	1187.4326	1130.6122	863.8778	2111.6427	4966.6552	1251.9817	1976.8908	1834.5281	876.5244
LPGAT1|9926	1177.9458	1387.5766	1181.0954	1403.245	1178.2946	1432.3288	1647.6793	1019.0167	1342.9812	1112.9412	2130.2248	1042.5656	1043.8247	1681.8182	1324.8539	1676.8624	1181.7227	2635.6033	1345.4191
LPHN1|22859	936.0133	1200.35	1121.9081	1468.5398	382.1705	802.7397	467.5105	441.0946	1706.9103	1032.3529	621.5019	881.6327	1087.6494	679.8246	337.573	640.1536	564.0756	257.4671	776.6672
LPHN2|23266	966.2548	916.0105	763.2509	1323.3083	1372.093	1382.4658	247.6793	1691.5584	1280.7525	1219.4118	679.6279	777.2595	492.6959	750	395.3249	699.8035	421.2185	543.6081	764.1247
LPHN3|23284	39.8304	37.6203	56.5371	116.7392	128.6822	286.5753	57.384	62.1521	32.5615	231.7647	126.4721	43.7318	40.5046	169.4577	34.0323	69.9803	46.2185	86.6189	51.1346
LPIN1|23175	1734.8331	1322.8346	1708.4806	1705.9755	527.1318	549.0411	163.2911	1194.3414	1079.5948	1283.5294	305.3216	1170.8455	621.5139	189.3939	171.1928	510.5233	362.395	535.2449	739.5222
LPIN2|9663	1183.109	1067.3666	989.3993	1204.9861	283.7209	757.2603	655.6962	284.3228	1248.9146	1062.9412	1316.4597	811.6618	633.4661	790.6699	352.3548	952.066	419.6429	1222.2222	835.0378
LPIN3|64900	163.452	171.8373	158.5866	263.3122	785.8915	146.1534	620.0591	498.8776	104.7178	299.2235	724.0337	432.4898	264.4489	642.7592	827.8721	701.6563	834.7689	800.3763	290.1214
LPL|4023	911.6725	762.9046	748.2332	1115.9478	20.9302	104.6575	22.3629	82.0965	240.9551	477.6471	52.3773	211.0787	145.4183	53.8278	24.407	60.3164	23.6345	56.7503	90.2092
LPO|4025	0	0	0	0.3957	0	1.0959	0	0	0	0	0	0	0	0.3987	0.3438	0	1.0504	0	0
LPPR1|54886	8.8512	2.6247	1.7668	0.7915	27.1318	12.0548	6.3291	0.4638	5.7887	1.1765	0.6387	0.5831	1.992	13.9553	0.3438	14.3293	0.5252	1.1947	3.8592
LPPR2|64748	688.9176	831.1461	888.6926	803.3241	411.6279	613.1507	635.865	283.3952	1110.7091	789.4118	709.0103	636.1516	561.753	790.2711	393.9498	755.1213	562.5	687.5747	690.3172
LPPR3|79948	0	0	0	0	0	0	0	2.3191	0	0	0.6387	0	1.328	0.3987	1.0313	0	0	0	0.4824
LPPR4|9890	26.5536	39.3701	32.6855	88.6427	13.9535	915.0685	1075.1055	102.9685	27.4964	541.7647	3103.038	92.7114	44.4887	257.177	97.9718	2753.56	283.0882	1452.2103	280.2755
LPPR5|163404	0	0	0	0	0	18.0822	38.8186	0.4638	0	8.2353	65.1523	2.3324	0	4.386	1.375	68.3141	6.3025	37.6344	6.2712
LPP|4026	6417.1123	6060.3675	7981.4488	7431.7372	402.3256	1082.1918	407.5949	259.7403	6720.6946	2064.1176	346.8402	1168.5131	138.1142	344.4976	314.1973	1815.8234	232.1429	294.5042	189.1016
LPXN|9404	112.8527	173.2283	90.9894	111.5948	172.093	531.5068	638.8186	314.9351	115.0507	432.9412	680.9054	521.8659	555.7769	409.4896	507.3909	349.5685	247.8992	557.3477	847.0979
LQK1|642946	16.9648	27.9965	22.0848	26.9094	20.9302	32.8767	32.0675	1.3915	7.2359	17.6471	18.5237	44.898	9.9602	17.1451	12.3754	47.9865	29.4118	1.7921	31.3561
LRAT|9227	5.9008	3.4996	0.8834	9.4974	2.3256	19.1781	7.173	9.7403	8.6831	5.8824	7.0262	4.6647	1.992	12.7592	3.4376	6.6648	16.2815	3.5842	1.4472
LRBA|987	685.9672	695.5381	773.7809	997.6256	1527.907	1329.863	1703.7975	1869.666	882.7786	1182.3529	1750.8084	924.7813	503.9841	2439.3939	1774.1492	2886.1895	2470.063	1973.7157	887.1372
LRCH1|23143	2096.9943	1826.7717	1826.8551	1919.2719	392.2481	770.9589	293.2489	544.5269	1573.0825	1182.3529	771.6076	1286.8805	294.1567	670.6539	499.1406	757.4539	538.3403	616.4875	625.193
LRCH2|57631	933.0629	1297.4628	944.3463	772.0617	81.3953	293.6986	86.0759	71.8924	695.369	448.2353	179.4882	470.5539	64.409	53.8278	68.0646	177.95	83.5084	149.9403	115.2941
LRCH3|84859	606.3065	547.6815	591.8728	483.5774	229.4574	357.8082	272.1519	267.1614	549.9276	416.4706	334.0652	454.2274	88.3134	409.4896	206.6002	412.2176	287.2899	416.9654	192.4784
LRCH4|4034	393.1403	498.6877	430.212	342.6989	1256.5891	807.1233	752.7426	1427.6438	554.9928	466.4706	644.4968	811.0787	1953.5193	972.488	1468.2021	740.1255	920.6933	868.5783	1038.6115
LRDD|55367	128.3422	184.6019	124.5583	160.2691	298.4496	209.863	300.8439	224.026	245.2967	194.1176	388.3588	298.5423	1168.6587	280.7018	389.1372	407.8855	449.0546	273.5962	341.5406
LRFN1|57622	7.376	7.874	13.2509	10.6846	18.6047	70.137	40.9283	33.3952	23.1548	22.3529	40.8799	24.4898	59.0969	35.4864	18.2193	34.6569	57.7731	10.1553	65.1243
LRFN2|57497	0	0	1.7668	0	24.031	9.863	17.2996	6.9573	0	0.5882	0	0	11.9522	7.5758	8.594	6.3316	10.5042	1.1947	0.9648
LRFN3|79414	186.6126	180.2275	196.9965	95.7657	205.4264	264.6575	400.8439	179.0353	209.1172	167.0588	268.9129	179.0087	486.0558	592.1053	296.6655	225.2701	271.0084	235.3644	250.849
LRFN4|78999	104.0015	202.9746	212.8975	109.6161	186.8217	338.6301	401.2658	529.2208	303.1838	115.8824	236.9755	236.1516	1630.1461	629.5853	172.5679	115.9674	244.2227	409.1995	322.7269
LRFN5|145581	446.2475	592.301	428.4452	983.3795	179.845	437.2603	72.5738	46.3822	679.4501	552.9412	179.4882	296.793	18.5923	106.4593	26.4696	247.9304	77.7311	100.9558	259.5323
LRG1|116844	38.3552	100.6124	9.7173	414.3253	541.0853	259.726	993.6709	531.0761	15.1954	165.8824	400.495	176.6764	563.081	1941.7863	1122.3788	602.1642	799.895	570.4898	580.812
LRGUK|136332	1.4752	3.4996	0	1.1872	0	3.8356	1.2658	0	0	0.5882	3.1937	3.4985	1.992	3.1898	2.0626	2.3327	1.5756	2.3895	2.412
LRIG1|26018	2334.0291	2133.902	3341.7403	1932.5366	1835.3101	891.3205	169.8101	402.1197	1670.6874	1878.3412	526.5711	1801.5277	528.2603	2175.622	321.2891	679.4092	230.625	367.5866	849.013
LRIG2|9860	210.9533	202.9746	123.6749	195.8844	117.8295	155.0685	84.3882	165.1206	139.6527	234.7059	191.6244	219.242	90.3054	196.9697	182.537	205.2757	182.2479	153.5245	179.9359
LRIG3|121227	1273.8337	881.8898	698.7633	1089.8298	277.5194	786.8493	266.2447	270.872	986.9754	1115.2941	675.1567	1032.6531	183.9309	484.051	402.8876	871.0887	760.5042	768.8172	588.5304
LRIT1|26103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LRIT2|340745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6875	0	0	0	0
LRIT3|345193	2.2128	0	2.6502	1.5829	1.5504	6.0274	0.8439	1.8553	3.6179	2.3529	1.9162	4.6647	6.6401	3.1898	4.4689	8.6642	6.3025	4.1816	7.7184
LRMP|4033	47.9439	26.2467	12.3675	18.2034	1514.7287	219.1781	974.6835	1477.2727	28.9436	502.3529	1082.0392	420.9913	697.8752	478.8676	2396.3561	909.078	1217.437	685.1852	476.1308
LRP10|26020	6857.459	4895.0131	7338.3392	6543.7277	8240.3101	4310.6849	5723.6287	9547.7737	5667.1491	5836.4706	5698.2714	5630.9038	3007.9681	6852.4721	5299.0718	5132.8918	4482.1429	7045.9976	5693.3081
LRP11|84918	664.5694	489.0639	574.2049	594.7685	2126.3566	1388.4877	2292.4051	2268.0612	788.712	909.4118	2362.7035	958.0175	416.9987	2316.9338	2317.2877	2081.7354	2651.1502	2076.4456	1078.1684
LRP12|29967	430.0203	477.6903	371.9081	535.8132	100	520	190.7173	163.7291	568.741	344.1176	357.6989	275.2187	56.4409	239.2344	113.0973	390.557	155.9874	258.0645	208.8801
LRP1B|53353	6.6384	3.4996	0.8834	9.4974	1.5504	6.0274	4.6414	12.5232	0	4.1176	8.9425	5.2478	0	70.5742	20.9694	8.9975	21.5336	10.1553	3.3768
LRP1|4035	16893.2325	12454.9431	14798.5866	14264.7408	7231.0078	20187.3973	5058.2278	6226.3451	18423.2996	18780.5882	13124.995	10928.2799	4833.9973	7358.8517	4166.724	13262.6088	3103.4664	10167.264	13688.1561
LRP2BP|55805	112.1151	50.7437	62.7208	55.7974	20.155	29.0411	27.4262	26.9017	44.8625	52.3529	38.3249	54.2274	35.8566	40.2711	26.8133	55.651	39.3908	53.7634	54.029
LRP2|4036	0	0	0.8834	0.3957	0	18.0822	6.3291	0	0	1.1765	3.8325	0	2.656	15.949	0	0.3332	0.5252	0	0.9648
LRP3|4037	1627.837	1452.9571	1832.0141	1481.9272	496.1085	1032.3288	654.0084	325.603	1932.6845	1322.9235	721.121	1146.9329	1556.8194	588.0781	391.8872	749.113	540.9664	388.2915	1131.2133
LRP4|4038	106.2143	57.7428	96.2898	111.1793	61.2403	421.2822	162.0253	86.7301	75.152	148.2353	392.8301	56.5598	40.5046	651.886	137.4493	271.1305	302.458	218.0406	117.6048
LRP5L|91355	61.9583	36.7454	49.47	31.2624	24.031	42.7397	80.5907	44.5269	26.0492	97.6471	156.4933	96.2099	112.8818	51.0367	151.9422	138.961	164.3908	206.6906	118.1885
LRP5|4041	2125.7606	1983.3771	1930.212	1703.2054	965.1163	2157.2603	2996.6245	1043.5993	2015.919	1980	3004.0321	2419.8251	2194.5551	4827.7512	2798.2124	3938.8938	3057.2479	2350.6571	1774.7569
LRP6|4040	1245.8049	1305.3368	1124.5583	1214.8793	370.5426	1181.9178	282.7004	302.4119	1358.1766	1153.5294	868.0586	760.3499	297.4768	693.7799	489.8591	973.0601	464.2857	449.8208	477.578
LRP8|7804	21.3904	20.9974	30.0353	29.6795	515.5039	87.6712	21.9409	165.1206	70.1881	32.9412	46.6286	32.6531	60.425	72.5678	39.8762	29.6583	14.7059	25.0896	57.8882
