TCGA-18-3414-01A-01R-0980-07	TCGA-18-3417-01A-01R-1443-07	TCGA-34-8455-01A-11R-2326-07	TCGA-37-4132-01A-01R-1100-07	TCGA-58-8386-01A-11R-2296-07	TCGA-66-2742-01A-01R-0980-07	TCGA-NC-A5HP-01A-11R-A26W-07
LRRC33|375387	93.0404	43.7284	62.3202	119.9287	183.5501	121.4261	52.9197
LRRC34|151827	40.6129	21.8642	17.7373	187.6951	47.9361	282.3862	134.4282
LRRC36|55282	9.5994	1.1507	6.7114	33.4374	20.8952	18.3551	6.691
LRRC37A2|474170	67.9712	29.9194	100.6903	69.621	116.665	123.8169	196.4416
LRRC37A3|374819	94.5173	79.4016	48.418	47.2581	24.9923	59.3011	99.7567
LRRC37A4|55073	93.3727	37.9747	326.9415	94.1551	168.2966	214.0628	166.0584
LRRC37A|9884	153.2213	81.7031	190.7958	157.8243	314.6574	233.9099	576.0341
LRRC37B2|147172	232.9703	264.672	295.302	531.4311	338.0109	723.8499	473.8443
LRRC37B|114659	70.5187	21.8642	78.14	117.2537	120.8645	114.3664	158.1509
LRRC39|127495	4.5856	1.1507	1.9463	17.7664	8.227	7.4362	4.3978
LRRC3B|116135	5.1689	0	0	0.4458	0.4097	0	0
LRRC3|81543	23.6293	29.9194	43.1448	60.1872	119.2256	15.0606	49.2701
LRRC40|55631	509.5071	530.4948	502.3969	797.5925	369.1488	807.6244	357.056
LRRC41|10489	2856.9319	2569.6203	2091.0834	1818.1008	2163.2695	3295.9172	1656.326
LRRC42|115353	959.2025	1017.2612	824.0652	1316.5403	729.6937	1175.1971	535.8881
LRRC43|254050	10.707	2.3015	5.2733	1.7833	12.2913	21.6496	12.7737
LRRC45|201255	291.3052	264.672	346.117	590.7267	300.3175	243.7934	422.1411
LRRC46|90506	32.4903	12.6582	5.7526	22.7374	11.8816	30.5918	8.5158
LRRC47|57470	1442.8651	1069.0449	1465.0048	1197.9492	1338.9327	813.2721	957.4209
LRRC48|83450	5.1689	26.4672	3.8351	49.0415	11.4719	8.4716	5.4745
LRRC49|54839	116.6697	96.6628	69.9904	246.5448	44.6584	63.0662	52.3114
LRRC4B|94030	12.9223	6.9045	33.0777	8.025	32.3671	5.6477	9.7324
LRRC4C|57689	60.5501	29.9194	23.0105	14.7124	20.4855	3.7651	7.9075
LRRC4|64101	442.3112	41.4269	654.8418	22.7374	138.8917	796.329	556.5693
LRRC50|123872	6.6457	0	9.1083	57.9581	9.833	0.4706	7.2993
LRRC52|440699	0.3692	0	1.9175	0	6.9651	0.4706	0.6083
LRRC55|219527	18.8296	57.5374	6.232	1.3375	13.9301	8.0009	7.9075
LRRC56|115399	28.0598	5.7537	70.9492	48.1498	79.4838	18.8257	75.4258
LRRC57|255252	665.6821	413.1185	539.7891	820.7757	326.1293	338.3928	545.0122
LRRC58|116064	1676.943	768.6997	1832.2148	1133.3036	2228.8231	2151.3119	2017.0316
LRRC59|55379	3634.7794	10152.313	3962.7565	2889.8752	6338.8221	5402.5415	4037.6521
LRRC61|65999	295.3664	296.893	212.8476	691.9305	231.0765	226.3796	274.3309
LRRC66|339977	0.3692	2.3015	0.9588	4.4583	3.6874	3.2945	4.2579
LRRC67|286187	1.846	0	0	1.7833	0.8194	0.4706	0
LRRC69|100130742	24.3677	57.5374	7.6702	12.4833	8.6039	0.9413	1.8248
LRRC6|23639	36.1824	5.7537	11.5053	8.9166	20.8952	41.4166	17.6399
LRRC70|100130733	16.7953	3.4522	10.0671	56.2728	12.701	25.8854	11.3017
LRRC7|57554	4.4305	0	1.4382	0	0	4.7064	97.9319
LRRC8A|56262	2672.3279	1460.2992	6793.3845	901.0254	3139.6087	3169.314	4068.7348
LRRC8B|23507	787.89	433.832	1046.5005	591.6184	532.6232	2170.1377	708.0292
LRRC8C|84230	344.4711	589.183	906.999	300.0446	1154.1534	1001.0589	560.8273
LRRC8D|55144	634.2994	652.4741	1184.0844	1030.3165	667.4178	1902.8121	796.837
LRRC8E|80131	294.9972	127.733	206.1361	96.7454	929.2226	345.923	439.781
LRRCC1|85444	1026.7676	380.8976	252.6366	656.7098	154.4607	252.7356	250
LRRFIP1|9208	1461.3255	1202.5316	5147.651	1258.5823	3922.1551	2466.6431	2861.3139
LRRFIP2|9209	384.7148	1035.6732	595.3979	366.4735	754.2763	513.4722	877.129
LRRIQ1|84125	9.5994	12.6582	1.4382	8.025	9.833	17.4138	3.6496
LRRIQ3|127255	13.2915	25.3165	8.1496	118.5912	1.6388	20.2377	10.3406
LRRIQ4|344657	4.4305	2.3015	0.4794	1.7833	1.6388	24.9441	10.3406
LRRK1|79705	520.9526	468.3544	688.3988	199.2867	597.3574	290.3871	385.6448
LRRK2|120892	207.8641	85.1554	1378.2359	172.0909	4842.364	1059.4188	389.2944
LRRN1|57633	764.9991	318.7572	70.9492	14.7124	38.5128	485.2336	66.3017
LRRN2|10446	87.8715	157.6525	116.4909	45.4748	68.8313	27.2973	60.8273
LRRN3|54674	19.9372	5.7537	8.629	17.8333	43.0196	12.7074	14.5985
LRRN4CL|221091	109.2856	14.9597	11.0259	4.4583	14.7496	17.8845	21.8978
LRRN4|164312	5.1689	0	48.418	6.2416	307.2826	43.2992	6.691
LRRTM1|347730	0.7384	0	0	0	0.4097	0	0.6083
LRRTM2|26045	2.5845	0	6.232	4.0125	10.2428	6.1184	5.4745
LRRTM3|347731	1.7907	0	0	0	0	0.4706	12.7737
LRRTM4|80059	18.4604	1.1507	0.9588	8.9166	0.8194	0.4706	0
LRSAM1|90678	244.0465	176.0644	229.6261	322.782	961.5897	274.8559	498.1752
LRTM1|57408	0.7384	0	0	0.4458	0	0	0
LRTM2|654429	0.3692	0	0	0	0	0	1.2165
LRTOMT|220074	153.7752	87.9402	161.1937	461.0388	160.1229	276.8279	140.3589
LRWD1|222229	438.6192	446.4902	363.3749	376.7276	1089.8289	377.4562	368.6131
LSAMP|4045	67.1959	271.5765	66.6347	34.7749	66.7828	123.3086	44.4039
LSG1|55341	2032.8595	1799.7699	1807.2867	1773.9634	1519.6149	3477.115	1332.1168
LSM10|84967	860.624	775.6041	484.6596	913.9545	392.0926	585.4806	340.6326
LSM11|134353	80.4874	127.733	135.6663	104.7704	139.3014	158.6069	203.163
LSM12|124801	1729.7397	1066.7434	1251.1985	1719.572	676.8411	1681.139	869.8297
LSM14A|26065	2301.643	3532.7963	2634.2282	2646.4556	1419.2359	5601.1295	4703.7713
LSM14B|149986	986.5239	1085.1554	1355.7047	954.5252	1199.6313	1869.3964	1968.3698
LSM1|27257	884.9917	651.3234	1760.7862	3083.3705	383.079	610.8954	540.146
LSM2|57819	1028.6136	1537.3993	574.3049	2985.2876	305.6438	825.5089	629.562
LSM3|27258	1034.8902	913.6939	447.2675	1080.6955	344.1565	689.4929	480.5353
LSM4|25804	2571.9033	2658.2278	1946.7881	2613.4641	2252.5863	3934.1099	1416.0584
LSM5|23658	951.4491	1359.0334	439.5973	1435.5774	201.9871	1084.8335	918.4915
LSM6|11157	361.8239	429.229	226.2704	476.5938	215.0978	341.2166	239.6594
LSM7|51690	917.482	536.2486	839.8849	1030.7624	941.9236	752.0885	642.944
LSMD1|84316	297.5817	578.8262	352.349	792.6884	334.3235	539.8282	274.9392
LSP1|4046	1078.8259	757.1922	558.4851	971.4668	1065.2463	865.5136	572.3844
LSR|51599	3816.5036	7668.5846	4236.8169	3443.1565	1605.654	6099.0705	5240.2676
LSS|4047	779.7674	570.771	1190.3164	640.214	1748.2331	713.0251	1012.7737
LST-3TM12|338821	1.846	0	0	0	0	0	0
LST1|7940	157.6518	196.7779	119.8466	349.5319	181.5016	168.9611	55.3528
LTA4H|4048	1605.6858	1263.5213	1828.8591	1489.523	2713.9199	2001.6473	1144.1606
LTA|4049	14.0299	8.0552	6.7114	16.9416	10.2428	11.2954	5.4745
LTB4R2|56413	178.7484	20.8861	127.9962	30.4592	374.4751	93.2486	478.5219
LTB4R|1241	503.9062	142.4626	323.8878	100.3745	1302.8086	287.9398	2577.5608
LTBP1|4052	1428.8351	7088.6076	3496.6443	711.9929	7749.2574	886.6926	1785.2798
LTBP2|4053	2940.7421	5544.3038	4501.4382	1365.5818	4092.5945	2939.64	3921.5328
LTBP3|4054	2224.8477	1516.8009	3417.1716	1808.3772	2343.3207	1317.8021	1814.6959
LTBP4|8425	2152.1137	856.1565	3998.5618	481.498	2879.0331	1124.3676	3388.6861
LTBR|4055	3195.8649	13130.0345	8190.7958	1622.8266	2837.2427	3416.8726	4419.0998
LTB|4050	70.1495	95.5121	92.0422	218.9033	88.0877	79.0681	43.1873
LTC4S|4056	7.3694	3.4407	5.6903	7.9715	7.3092	5.1677	5.1946
LTF|4057	373.2693	2776.7549	1001.9175	69.9955	15298.1665	2060.4777	292.5791
LTK|4058	9.9686	12.6582	21.093	36.5582	9.833	11.7661	13.9903
LTV1|84946	730.6627	492.5201	566.1553	642.4432	828.4339	788.328	978.1022
LUC7L2|51631	2080.1181	1858.458	2235.35	1867.1422	1993.6495	2193.5051	2717.1533
LUC7L3|51747	1421.451	670.8861	1649.5686	2698.6179	1874.0141	1865.1606	3452.5547
LUC7L|55692	564.8883	218.6421	319.7507	765.4926	898.4943	261.2072	840.6326
LUM|4060	13741.9236	36660.5293	9731.0642	12153.366	6384.513	11343.9228	21724.4526
LUZP1|7798	875.0231	475.2589	1599.7124	358.4485	1501.1779	555.3595	946.472
LUZP2|338645	16.6144	18.412	31.6395	1.7833	36.8739	10.8248	8.5158
LUZP4|51213	0.3692	0	0	0	0.4097	0	0
LUZP6|767558	6274.3216	7324.5109	4920.4219	7263.0406	6577.8961	8266.8549	4895.9854
LXN|56925	266.199	286.5362	364.813	293.3571	143.8083	368.9846	232.3601
LY6D|8581	2298.6893	7150.748	13454.4583	4.0125	137.6626	43.2992	1523.1144
LY6E|4061	12227.0629	4964.3268	5120.8054	8950.9585	4675.2023	1524.8853	3063.8686
LY6G5B|58496	20.2917	6.2831	25.163	68.9255	34.2845	36.9502	86.8127
LY6G5C|80741	16.9836	19.5627	11.5053	28.979	11.4719	6.1184	20.073
LY6G6C|80740	45.7818	0	1.4382	57.5123	9.4233	1.4119	38.9294
LY6G6D|58530	0	0	0	36.5582	0	0	0
LY6G6E|79136	0	0	0.4794	23.5845	0	0	0
LY6G6F|259215	0.3692	1.1507	0	6.6875	0	0.4706	0
LY6H|4062	1.1076	6.9045	0.4794	6.2416	1.6388	1.4119	0.6083
LY6K|54742	1048.9201	1301.496	446.3087	1281.3197	994.7762	236.2631	890.5109
LY75|4065	424.401	504.2232	765.9971	352.2113	1229.6794	849.8459	119.2214
LY86|9450	115.9313	100.1151	27.325	218.0116	194.6123	111.0719	75.4258
LY96|23643	125.8999	102.4166	85.3308	477.9313	109.3926	162.372	312.0438
LY9|4063	33.9671	46.0299	23.0105	211.77	38.103	57.4185	12.7737
LYAR|55646	416.4667	371.6916	494.2474	734.7303	653.0779	377.9268	344.8905
LYG1|129530	10.3378	0	6.7114	45.4748	6.1457	8.0009	6.691
LYG2|254773	0	0	0.4794	125.7245	0	0	0.6083
LYL1|4066	67.1959	19.5627	69.0316	48.5956	100.7887	67.302	37.7129
LYNX1|66004	184.2348	329.1139	271.3327	114.5787	1124.2446	191.5519	259.1241
LYN|4067	1770.7218	1094.3613	726.7498	1774.8551	1093.1066	2070.8319	418.4915
LYPD1|116372	33.0146	440.5178	330.6663	27.7887	80.9014	281.4402	1475.2616
LYPD2|137797	184.9732	0	0.4794	0	0	0	0
LYPD3|27076	8117.4082	529.3441	2098.7536	122.1578	5478.6439	1995.0582	736.618
LYPD4|147719	0	0	0	0	0	0	0
LYPD5|284348	178.6967	14.9597	150.0479	24.9666	101.1984	63.5369	26.1557
LYPD6B|130576	516.5221	149.5972	127.5168	416.4066	10.2428	48.0056	131.9951
LYPD6|130574	160.9747	43.7284	40.7478	285.778	1.2291	126.1325	12.1655
LYPLA1|10434	4468.525	3044.8792	1754.0748	13991.975	2171.8734	3338.7457	1157.5426
LYPLA2P1|653639	60.5501	87.4568	111.697	65.9831	61.8662	41.8873	43.7956
LYPLA2|11313	1522.2448	1521.2888	2276.6059	1502.8979	1204.1381	802.4473	833.9416
LYPLAL1|127018	533.5056	443.038	322.627	840.8382	181.9113	612.3073	886.8613
LYRM1|57149	524.6446	680.0921	220.5177	1410.6108	217.9658	608.0715	238.4428
LYRM2|57226	869.4665	588.2739	716.256	1734.8685	496.3679	913.0627	882.7798
LYRM4|57128	555.2889	529.3441	210.4506	1222.9157	273.2767	363.3369	362.5304
LYRM5|144363	265.4606	423.4753	141.8984	486.4021	155.2801	237.675	243.309
LYRM7|90624	378.8075	186.4212	241.6107	587.1601	230.6668	283.3275	189.1727
LYSMD1|388695	287.2439	268.1243	204.2186	580.9184	122.5033	521.9438	409.3674
LYSMD2|256586	246.2618	185.2704	185.0431	234.0615	129.0587	140.2518	264.5985
LYSMD3|116068	299.0585	330.2647	354.2665	480.6063	445.7646	562.8898	420.3163
LYSMD4|145748	312.254	61.3809	205.8725	139.0727	162.6549	130.6036	204.4769
LYST|1130	503.5998	289.9885	448.2263	493.0896	1218.0682	629.7211	1285.8881
LYVE1|10894	45.4126	72.4971	129.4343	111.9037	171.6685	110.6012	33.455
LYZL1|84569	0	0	0	0	0	0	0
LYZL2|119180	0	0	0	1.3375	0	0	0
LYZL4|131375	0	0	0.4794	0	0.4097	0	0
LYZL6|57151	0	0	0	0	0	0	0
LYZ|4069	1917.2974	4646.7204	664.4295	16716.897	5662.6037	5142.252	1517.0316
LZIC|84328	400.5907	234.7526	425.6951	1043.2457	328.1778	391.5755	306.5693
LZTFL1|54585	255.492	405.0633	248.3221	619.7058	307.6923	488.0574	310.8273
LZTR1|8216	1146.6014	452.244	1124.7603	500.2229	1747.1064	723.0686	1475.7725
LZTS1|11178	178.3275	191.0242	329.8178	134.1953	272.8669	163.3133	346.7153
LZTS2|84445	1538.1207	714.6145	1944.8706	1149.3535	1459.3875	1358.2774	2694.6472
M6PR|4074	4031.667	12664.7756	4188.1448	2937.4855	3283.1998	3781.692	2846.2348
MAB21L1|4081	5.9073	1.1507	0.4794	0	0.4097	0.4706	3.6496
MAB21L2|10586	0	0	0.4794	0	0.4097	0	0
MACC1|346389	1348.3478	138.0898	49.3768	40.5707	152.4122	1166.2549	147.8102
MACF1|23499	1649.6216	2227.8481	6716.2033	1508.6937	9224.6236	3249.3234	4376.5207
MACROD1|28992	104.1167	88.6076	124.1611	368.7026	260.5756	156.2537	149.635
MACROD2|140733	90.8252	71.3464	284.2761	53.4998	1331.5579	133.6628	32.2384
MAD1L1|8379	426.0661	321.0587	441.9942	262.1489	658.4042	337.9221	535.8881
MAD2L1BP|9587	479.9705	344.0736	406.5197	862.2381	206.9036	439.1105	578.4672
MAD2L1|4085	1159.6825	1201.3809	435.7622	2468.123	473.6249	661.7249	382.6034
MAD2L2|10459	1046.7048	1408.5155	937.6798	3271.9572	769.8453	484.7629	419.708
MADCAM1|8174	17.3528	0	0	0.4458	0.8194	0.9413	3.6496
MADD|8567	709.9871	379.7468	1056.5676	492.6438	1082.4542	561.9485	1178.8321
MAEA|10296	1473.1401	602.9919	1038.3509	1348.1944	1248.3868	887.1632	1136.253
MAEL|84944	67.9343	8.0552	1.4382	0.8917	0	1.8826	1.2165
MAF1|84232	2944.8034	3667.4338	1999.5206	4445.8315	2685.2402	1951.759	2284.6715
MAFA|389692	2.9537	3.4522	0	0.4458	0.4097	1.4119	0
MAFB|9935	1178.5121	1140.3913	748.3221	365.136	990.2694	1314.9782	1659.9757
MAFF|23764	1157.8364	878.0207	573.3461	454.7481	623.5788	533.2392	804.7445
MAFG|4097	421.6356	765.2474	1304.4104	1976.3709	1670.7979	853.2769	874.0876
MAFK|7975	752.6786	458.5846	1508.2311	415.9028	875.8005	1207.9492	2162.5608
MAF|4094	1125.7153	1075.9494	822.1477	1455.6398	3658.3018	1202.0238	3273.1144
MAGEA10|4109	535.3517	0	0.9588	0	0	0.4706	74.8175
MAGEA11|4110	261.3993	0	0.4794	0	619.4817	1.4119	595.4988
MAGEA12|4111	88.6099	1.1507	0	41.4623	0	0.4706	0
MAGEA1|4100	1186.6347	116.2255	0.9588	141.3286	0.4097	1.4119	0.6083
MAGEA2|4101	163.19	2.3015	0	168.5243	0.4097	0	594.2822
MAGEA3|4102	233.7087	688.1473	0	270.6197	1.6388	72.4791	172.1411
MAGEA4|4103	11296.6587	3202.5316	4.7939	3.1208	5194.305	439.5811	5354.6229
MAGEA5|4104	21.0449	0	0.4794	0	4.9165	2.3532	3.0414
MAGEA6|4105	446.3725	197.9287	0	264.3781	0.4097	24.9441	1566.3017
MAGEA8|4107	1.1076	0	0.4794	1.3375	6.1457	0.4706	1.8248
MAGEA9B|728269	874.6539	10.3567	0.4794	0.8917	1656.4581	6.589	53.528
MAGEB10|139422	0.3692	0	0	0	0	0	0
MAGEB16|139604	0	0	0	0	0	0	0.6083
MAGEB18|286514	0	0	0	0.4458	0.4097	0	0.6083
MAGEB1|4112	5.1689	0	0	0	0	0	0
MAGEB2|4113	7.015	11.5075	0	8.9166	0	0	1.2165
MAGEB3|4114	0	0	0	0	0	0	0
MAGEB4|4115	0	0	0	0	0	0	0
MAGEB6|158809	1.846	0	0	0.4458	0.4097	0	0
MAGEC1|9947	0	0	0	7.1333	0	0	0
MAGEC2|51438	2.5845	0	0	39.2332	0	0	0
MAGEC3|139081	0	0	0	0.8917	0	0	0
MAGED1|9500	6268.045	5321.0587	5973.6337	3098.9746	6646.7274	6901.9885	7240.8759
MAGED2|10916	2850.6553	3987.3418	2020.1342	3366.9193	2837.6524	2347.0997	2880.7786
MAGED4B|81557	1189.2265	550.9666	1222.7517	536.5805	2102.5709	1271.4578	1925.5231
MAGED4|728239	370.6775	282.1749	392.3011	193.6915	424.5212	350.38	404.7689
MAGEE1|57692	114.4545	13.809	59.9233	45.029	107.3441	121.8967	109.4891
MAGEE2|139599	23.2601	0	3.8351	0.4458	16.3884	2.3532	0
MAGEF1|64110	1052.6121	822.7848	1215.7239	1364.6901	534.6717	2776.3266	4473.8443
MAGEH1|28986	459.664	599.5397	268.9358	723.1387	275.7349	618.4257	617.3966
MAGEL2|54551	6.2765	40.2762	14.861	6.6875	4.9165	8.9422	35.8881
MAGI1|9223	141.4067	50.6329	198.9453	154.2577	431.8345	94.1287	312.0438
MAGI2|9863	140.2991	130.0345	64.2378	72.6705	96.2819	127.5444	127.129
MAGI3|260425	651.283	127.733	701.3423	189.0325	923.4866	477.7033	177.0073
MAGIX|79917	74.2108	60.9896	81.4957	160.9452	47.9361	96.4819	82.7251
MAGOHB|55110	399.1139	1159.954	245.9252	485.0646	132.3364	322.8615	373.4793
MAGOH|4116	633.1918	827.3878	779.0029	872.0464	582.1981	864.5723	541.9708
MAGT1|84061	4605.5012	4739.931	3381.1122	7847.9715	1440.1311	6039.7694	2809.6107
MAG|4099	0	0	5.2733	0	0.8194	3.7651	0
MAK16|84549	905.3831	494.7756	338.9214	453.4374	470.8676	817.5268	301.1679
MAK|4117	8.861	0	2.8763	12.9291	4.5068	8.9422	6.691
MAL2|114569	12215.2483	7230.1496	3683.1256	9291.5738	1547.8849	6464.2899	4263.382
MALAT1|378938	1556.714	396.5938	1273.0393	3936.4021	4042.3804	3539.1834	5340.8759
MALL|7851	3057.7811	790.5639	6436.2416	106.9996	2799.1396	962.4662	965.3285
MALT1|10892	590.7329	434.9827	386.3854	939.3669	1813.7867	753.5004	781.0219
MAL|4118	9.2302	10.3567	15.3404	83.3705	29.0894	16.9432	1.8248
MAMDC2|256691	110.024	14.9597	27.2387	69.9955	180.1741	47.0549	207.4209
MAMDC4|158056	53.166	3.4522	20.6136	53.4998	34.0059	19.2964	45.6204
MAML1|9794	844.7628	616.8124	1052.7948	638.0383	1081.2906	1079.6658	1378.017
MAML2|84441	255.1228	176.0644	495.6855	305.8404	274.5058	470.6436	348.5401
MAML3|55534	232.9703	123.13	449.185	176.5493	547.3727	299.8	135.6448
MAMLD1|10046	116.6697	27.618	88.6865	23.6291	86.4488	53.6534	110.7056
MAMSTR|284358	65.3498	20.7135	31.6395	33.8832	34.8254	11.7661	13.382
MAN1A1|4121	670.4818	736.4787	409.8754	839.5007	4150.7733	687.6103	475.6691
MAN1A2|10905	648.6985	423.4753	1323.5858	741.4177	794.8377	987.4103	296.2287
MAN1B1|11253	2219.6788	2781.3579	1469.3193	2724.0303	1737.5807	1479.7035	2037.1046
MAN1C1|57134	148.7908	135.7883	160.5944	87.8288	198.2997	136.016	92.4574
MAN2A1|4124	263.6145	418.8723	490.8917	410.6108	1303.6976	991.1754	318.7348
MAN2A2|4122	938.8961	1608.7457	1015.3404	1050.8248	812.0455	835.863	1680.0487
MAN2B1|4125	1397.4525	2457.9977	2444.8706	1229.1574	4053.2623	2771.6202	2257.2993
MAN2B2|23324	1113.9007	1293.4407	1172.5791	525.6353	1532.3159	1280.6212	957.4209
MAN2C1|4123	887.2069	540.8516	1382.5503	1023.1832	838.6766	534.6511	3224.4526
MANBAL|63905	1936.127	3397.0081	1872.0038	1655.3723	880.4671	2094.8347	1306.5693
MANBA|4126	757.9841	1767.5489	889.2617	694.1596	844.4126	579.8329	1225.0608
MANEAL|149175	269.1527	448.7917	189.837	445.8315	65.1439	265.9136	100.365
MANEA|79694	599.5939	487.9171	494.2474	1610.7891	356.4478	565.7136	615.5718
MANF|7873	852.8706	5844.649	796.2608	3260.3656	768.2065	876.3384	1149.0268
MANSC1|54682	792.3205	570.771	1374.4008	1067.3206	243.7775	506.8832	954.3796
MAOA|4128	2494.0004	644.4189	6154.8418	159.6077	2007.5796	2000.2353	910.5839
MAOB|4129	100.7938	230.1496	162.9914	5873.3839	174.5365	127.0738	37.1046
MAP1A|4130	127.0076	483.3142	404.1227	319.6612	681.3479	247.5585	469.5864
MAP1B|4131	156.175	1575.374	1245.4458	1132.8578	462.153	992.1167	2105.2311
MAP1D|254042	73.8416	18.412	68.5523	119.037	49.5749	38.1221	63.2603
MAP1LC3A|84557	767.9527	317.6064	357.6222	219.3491	174.1268	223.5557	194.6472
MAP1LC3B2|643246	365.516	234.7526	152.9243	464.5564	252.7912	234.8512	192.2141
MAP1LC3B|81631	3088.0561	1818.1818	931.4477	3287.1155	1323.7734	1999.7647	1331.5085
MAP1LC3C|440738	4.7997	2.3015	3.3557	11.5916	23.7632	2.3532	0.6083
MAP1S|55201	601.8091	283.084	679.7699	274.1864	828.0242	424.0499	600.9732
MAP2K1|5604	1798.3312	2173.3257	1448.3126	2020.4592	1430.3759	1395.863	1411.2895
MAP2K2|5605	2024.7369	1532.7963	1948.2263	1295.5863	3269.8965	1858.101	1605.2311
MAP2K3|5606	995.3849	1492.5201	898.3701	688.3638	795.6571	768.561	736.0097
MAP2K4|6416	490.3083	562.7158	448.2263	613.4641	650.6197	555.3595	484.7932
MAP2K5|5607	433.4502	242.8078	329.3384	271.9572	267.131	180.7271	216.545
MAP2K6|5608	128.4844	195.6272	47.9386	114.5787	54.0817	129.427	58.3942
MAP2K7|5609	738.0469	367.0886	980.3452	542.5769	1166.035	666.4313	885.6448
MAP2|4133	170.9433	234.7526	160.1151	1044.5831	172.488	128.4857	490.8759
MAP3K10|4294	199.0031	209.4361	255.9923	124.387	418.7238	224.497	633.82
MAP3K11|4296	1987.8161	510.9321	2823.1064	1162.7285	2468.5035	1640.6636	1772.5061
MAP3K12|7786	101.8903	149.3671	122.8763	105.1672	280.6596	110.7424	174.0146
MAP3K13|9175	86.1584	35.7652	95.1726	25.0201	69.917	118.9128	121.472
MAP3K14|9020	225.2169	318.7572	392.1381	203.745	503.124	371.3378	334.5499
MAP3K15|389840	1.5765	0	0.9827	2.9291	0.7703	1.0025	0
MAP3K1|4214	745.0618	304.9482	620.326	285.778	833.7601	555.3595	652.0681
MAP3K2|10746	744.6926	416.5708	991.371	522.5145	1087.7804	774.2087	777.3723
MAP3K3|4215	667.9823	513.5558	746.0259	683.6291	1330.3616	841.6567	506.8248
MAP3K4|4216	664.2053	451.0932	937.2004	356.2193	1724.4699	671.6084	1281.0219
MAP3K5|4217	1143.8065	704.2578	1813.5187	181.8992	1112.363	1487.2338	1398.4185
MAP3K6|9064	1273.7678	736.4787	2537.8715	129.2911	1703.165	506.4125	1108.8808
MAP3K7|6885	852.8706	796.3176	697.0278	1593.4017	719.0413	853.7475	1031.0219
MAP3K8|1326	381.7611	425.7768	154.8418	739.6344	422.0014	215.5548	310.8273
MAP3K9|4293	134.0225	80.5524	238.255	74.8997	231.4862	126.6031	189.781
MAP4K1|11184	100.0554	92.0598	78.6194	249.2198	86.8585	109.1893	46.837
MAP4K2|5871	803.7659	315.3049	982.2627	573.3393	1053.7745	436.7573	690.9976
MAP4K3|8491	538.3053	592.6352	745.4458	1071.7789	503.9435	937.0514	1251.2165
MAP4K4|9448	1744.8772	2509.7814	4503.8351	1808.7383	4975.5198	1471.2319	3802.9197
MAP4K5|11183	949.2339	592.6352	1450.1438	796.255	1320.9055	925.2853	1644.7689
MAP4|4134	2957.7257	5703.107	4791.4669	1694.1596	6462.3579	4360.513	4183.09
MAP6D1|79929	70.8879	27.618	47.4593	83.8163	112.2606	126.1325	251.8248
MAP6|4135	27.3214	81.7031	23.4899	154.7035	57.3594	36.7102	26.1557
MAP7D1|55700	2742.1082	1941.3119	3209.0125	1208.2033	3944.2794	2021.8849	2216.545
MAP7D2|256714	81.2258	12.6582	2.8763	249.6656	4.9165	35.7689	274.3309
MAP7D3|79649	96.7325	253.1646	333.1735	313.8654	392.5023	168.4904	291.9708
MAP7|9053	983.9394	796.3176	1077.1812	673.2055	2223.9066	1343.2168	1436.1314
MAP9|79884	353.3321	140.3913	61.8408	463.2189	416.6752	263.5604	203.7713
MAPK10|5602	445.2649	35.6732	431.9271	126.1703	105.7052	104.9535	66.3017
MAPK11|5600	461.8793	270.4258	366.2512	89.1663	417.0849	273.9146	403.8929
MAPK12|6300	606.7344	391.3809	394.8993	826.4913	468.3478	449.9965	479.6655
MAPK13|5603	2151.3753	2780.2071	2183.605	3630.4057	805.8998	2434.1687	1678.8321
MAPK14|1432	1947.2032	1397.0081	1133.7488	4580.9184	1097.6134	1688.1986	1498.7835
MAPK15|225689	26.9522	13.809	10.5465	83.8163	212.2298	8.4716	50.4866
MAPK1IP1L|93487	1824.257	940.1611	1839.8849	1871.6005	1562.2247	1936.6984	1881.9951
MAPK1|5594	4396.8987	2677.7906	4130.3931	1660.7222	3328.0754	3774.0911	3964.7202
MAPK3|5595	1240.4874	1981.588	1664.0796	1633.2412	1231.265	587.4056	771.2895
MAPK4|5596	17.3528	10.3567	9.1083	0.8917	52.8526	4.7064	7.9075
MAPK6|5597	3325.0877	2350.9781	5637.1045	2266.1614	2664.7547	1944.2287	2278.5888
MAPK7|5598	294.5283	260.069	374.0508	299.679	468.0447	317.0067	407.5426
MAPK8IP1|9479	211.5562	75.9494	101.6299	240.749	210.1813	86.1278	122.2628
MAPK8IP2|23542	162.4515	66.7434	281.8792	122.1578	350.7119	149.6647	179.4404
MAPK8IP3|23162	822.2263	181.8182	938.1592	1032.0999	1264.7752	909.7541	1799.8783
MAPK8|5599	361.4547	367.0886	234.4199	539.9019	208.5425	304.5064	301.7032
MAPK9|5601	575.2261	800.9206	499.0412	622.3807	659.2236	627.8386	607.056
MAPKAP1|79109	1897.7294	1645.5696	1251.6779	1875.613	4791.9697	1184.61	1606.4477
MAPKAPK2|9261	4115.1929	6761.7952	2848.0345	1983.9501	2924.5109	2073.1851	6152.6764
MAPKAPK3|7867	772.3832	884.9252	636.1457	545.2519	1548.7043	477.2326	586.983
MAPKAPK5|8550	705.2095	654.1887	666.1266	854.173	585.6888	588.3139	471.0341
MAPKBP1|23005	706.295	321.0587	1747.8428	198.395	1644.5765	426.4031	978.1022
