TCGA-18-3414-01A-01R-0980-07	TCGA-18-3417-01A-01R-1443-07	TCGA-34-8455-01A-11R-2326-07	TCGA-37-4132-01A-01R-1100-07	TCGA-58-8386-01A-11R-2296-07	TCGA-66-2742-01A-01R-0980-07	TCGA-NC-A5HP-01A-11R-A26W-07
ACOT12|134526	0	0	0.4794	0	0	0	0.6083
ACOT13|55856	451.0467	409.977	371.721	1303.8743	317.722	563.7416	432.6399
ACOT1|641371	163.19	286.5362	156.28	323.6737	197.0706	127.0738	319.9513
ACOT2|10965	128.8536	89.7583	175.4554	278.6447	173.7171	137.8986	317.5182
ACOT4|122970	60.5501	40.2762	36.4334	61.0789	38.9225	50.8295	27.3723
ACOT6|641372	0.3692	1.1507	0.4794	2.2292	0.4097	0	1.2165
ACOT7|11332	1244.2311	1113.9241	776.6059	897.0129	2501.6901	690.9048	583.9416
ACOT8|10005	561.7611	511.5765	457.512	499.5274	394.3337	588.3798	307.3297
ACOT9|23597	559.3502	573.0725	623.6817	755.2385	737.0685	744.0875	651.4599
ACOX1|51	2533.609	1955.1208	1189.3576	1404.9889	1973.754	1590.4318	1123.5949
ACOX2|8309	18.8296	59.8389	36.4334	25.8582	77.8449	38.5928	35.2798
ACOX3|8310	468.1558	140.3913	361.9367	276.8613	364.642	277.6797	270.073
ACOXL|55289	2.2152	1.1507	12.464	10.7	29.4991	5.1771	1.8248
ACP1|52	1174.82	3336.0184	1448.2263	3741.8636	1038.6152	1666.549	2318.7348
ACP2|53	758.3533	775.6041	910.8341	1022.2916	1222.1653	651.3707	680.6569
ACP5|54	558.2426	1630.6099	847.5551	1539.0103	4689.5421	1603.4828	1957.4209
ACP6|51205	217.8327	170.3107	476.5101	245.2073	112.6703	537.0044	276.1557
ACPL2|92370	481.4473	730.725	500	384.3067	106.1149	896.1054	664.8418
ACPP|55	316.0421	42.5777	46.0211	30.3165	305.6438	162.372	198.2968
ACPT|93650	1.1076	0	0	0	0	0	0
ACRBP|84519	13.6607	2.3015	15.3404	42.354	44.6584	16.4725	52.3114
ACRC|93953	5.1689	2.3015	12.464	15.6041	8.6039	8.9422	39.5377
ACRV1|56	1.4768	0	0.9588	3.1208	1.6388	0	1.2165
ACR|49	2.5845	4.603	3.8351	0	1.2291	0.9413	1.2165
ACSBG1|23205	14.7683	2.3015	5.7526	2.2292	4.5068	2.8239	9.1241
ACSBG2|81616	0.3692	0	0.9588	0.8917	2.4583	0	1.2165
ACSF2|80221	714.4176	934.4074	279.9616	267.0531	509.2697	291.799	175.1825
ACSF3|197322	659.4056	316.4557	322.627	319.2153	325.3098	310.6248	475.0608
ACSL1|2180	2356.655	1082.8539	1289.07	1036.1123	2053.4672	1728.674	1251.2165
ACSL3|2181	2041.7205	1422.3245	2934.3241	1368.7026	2769.2308	2554.6535	2594.8905
ACSL4|2182	1083.2564	1937.8596	1842.7613	1920.642	1527.3994	2667.1373	794.4039
ACSL5|51703	777.1829	691.5995	1233.9406	2831.4757	699.7849	731.3802	96.7153
ACSL6|23305	4.4305	6.9045	0.9588	12.0374	4.5068	11.2954	17.6399
ACSM1|116285	15.1375	0	8.629	0.8917	8.6039	0.9413	1.8248
ACSM2A|123876	0	0	0	0	0	0	0
ACSM2B|348158	0	0	0	0	0	0	0.6083
ACSM3|6296	47.3509	18.8608	66.9751	8.2122	222.6037	53.3945	9.2397
ACSM4|341392	0	0	0	0	0	0	0
ACSM5|54988	5.5381	0	5.2733	6.2416	22.9438	8.0009	7.2993
ACSS1|84532	973.9708	492.5201	662.0326	351.761	1442.5894	878.221	1934.3066
ACSS2|55902	940.3729	878.0207	802.0134	673.6514	1465.5331	921.5202	701.3382
ACSS3|79611	91.1944	143.8435	78.6194	993.7584	151.5927	43.7699	30.4136
ACTA1|58	4.4305	4.603	1.4382	17.8333	2.4583	0.4706	13.9903
ACTA2|59	1513.4502	23836.1795	6634.6357	1994.8061	3416.9538	4519.3929	5864.8054
ACTBL2|345651	7.7534	6.9045	3.3557	0	2.0486	3.2945	5.4745
ACTB|60	130156.5442	210604.1427	130555.6088	71330.807	123132.6437	131053.0651	110930.6569
ACTC1|70	0	0	7.6702	1.3375	2.0486	0.4706	6.0827
ACTG1|71	74043.1973	122894.1312	129964.046	47876.9505	113574.9257	112811.8602	61197.6886
ACTG2|72	134.3917	332.5662	483.2215	49.9331	319.1642	227.7915	495.7421
ACTL6A|86	2692.2651	5433.832	1817.3538	5232.724	1725.2894	6154.1358	2894.7689
ACTL6B|51412	0	0	0	13.3749	0	0	0
ACTL7A|10881	0	0	0	0	0	0	0
ACTL7B|10880	0	0	0	0	0	0	0.6083
ACTL8|81569	0.7384	0	0.4794	2.2292	5.7359	0	3.0414
ACTL9|284382	0	0	0	0	0	0	0
ACTN1|87	4726.2322	11017.2612	9928.092	3757.4677	12190.1055	5307.9186	11493.309
ACTN2|88	10.707	2.3015	4.3145	2.2292	13.1107	1.8826	0.6083
ACTN3|89	0.7384	0	3.8351	2.2292	15.9787	2.8239	3.0414
ACTN4|81	12973.7604	17663.9471	18004.6165	3893.7316	9654.6594	16434.4652	20524.7019
ACTR10|55860	1057.4119	1078.2509	919.9425	1991.5292	890.3001	1252.8533	1124.0876
ACTR1A|10121	2739.5237	3172.6122	2120.326	2369.5943	2347.2293	2032.2391	2570.5596
ACTR1B|10120	1868.9311	1200.2301	1606.9032	3054.8373	989.0403	1093.7757	1484.1849
ACTR2|10097	9802.1045	11040.2762	7271.8121	5183.6826	6831.5067	7787.7397	8616.7883
ACTR3B|57180	168.7281	204.8331	145.7335	362.9068	148.3151	228.7328	245.7421
ACTR3C|653857	56.4888	257.7675	47.4593	180.5617	21.3049	31.5331	27.3723
ACTR3|10096	6394.3142	7640.9666	6582.4545	6897.4588	5585.5782	6015.2959	6138.6861
ACTR5|79913	234.0779	174.9137	213.8063	208.2033	295.8107	295.0935	282.8467
ACTR6|64431	645.3757	424.626	435.2828	1206.8658	549.4213	547.8292	396.5937
ACTR8|93973	189.0345	292.29	313.0393	222.0241	357.2672	228.2621	322.9927
ACTRT1|139741	0.3692	0	0	0	0	0	0
ACTRT2|140625	0	0	0	0	0	0	0
ACVR1B|91	1248.2924	853.855	2177.8523	608.1141	1063.6075	939.4046	1443.4307
ACVR1C|130399	191.2498	85.1554	127.5168	14.7124	160.6064	290.8577	153.8929
ACVR1|90	1465.756	1074.7986	1521.093	369.1485	1114.0018	1275.9148	1574.8175
ACVR2A|92	570.4264	130.0345	271.3327	295.1404	170.4394	320.0377	347.3236
ACVR2B|93	79.0105	286.5362	253.5954	292.4654	172.8977	284.2687	243.309
ACVRL1|94	398.7447	608.7457	659.6357	496.6563	1154.5631	380.28	321.7762
ACY1|95	846.2248	1701.9563	767.7756	1045.4748	343.4559	621.2496	359.8966
ACY3|91703	6.2765	9.206	14.861	8.9166	11.8816	6.1184	3.0414
ACYP1|97	73.1032	84.0046	109.3001	263.9322	108.1635	103.5416	114.9635
ACYP2|98	236.2932	170.3107	93.4803	230.9407	65.5536	46.1231	85.1582
ADAD1|132612	0	0	0	0	0	0	0
ADAD2|161931	83.2453	0	10.5609	0.4458	19.1376	5.7277	10.292
ADAL|161823	165.036	81.7031	192.2339	308.0695	111.0314	150.606	122.2628
ADAM10|102	2447.1109	2034.5224	3750.7191	1341.9527	1928.0959	5009.0599	1055.3528
ADAM11|4185	12.1839	10.3567	8.1496	10.2541	20.0758	7.0597	10.3406
ADAM12|8038	242.9389	1727.2727	1057.047	116.362	533.8523	488.5281	2604.0146
ADAM15|8751	4987.6795	3058.6881	3194.6309	2830.584	4067.7702	3907.2832	2336.3747
ADAM17|6868	820.0111	2108.1703	1394.535	803.8342	1053.7745	2699.1411	1290.7543
ADAM18|8749	0	0	0	0	0	0	0
ADAM19|8728	230.0166	3245.1093	634.7076	254.5698	844.0029	354.8653	938.5645
ADAM20|8748	3.3229	1.1507	1.9175	0.4458	2.868	0.4706	5.4745
ADAM21P1|145241	5.1689	0	1.4382	3.5667	4.9165	3.2945	0
ADAM21|8747	16.6144	2.3015	3.8351	12.9291	14.7496	13.6487	0.6083
ADAM22|53616	6.2765	90.9091	5.2733	30.7624	3.6874	8.0009	8.5158
ADAM23|8745	36.1824	1413.1185	8.1496	104.3246	118.4062	461.7014	341.8491
ADAM28|10863	452.2799	384.3498	465.4842	183.2367	114.3091	1462.2897	62.0438
ADAM29|11086	2.5845	0	0	0	2.0486	2.3532	0
ADAM2|2515	0	0	0	0	0	0	0
ADAM30|11085	0	0	0	0	0	0	0
ADAM32|203102	1.846	10.3567	12.464	37.004	2.868	80.9507	11.5572
ADAM33|80332	92.6712	29.9194	13.9022	6.2416	33.5962	24.0028	180.7908
ADAM3A|1587	0	0	0	0	0	0	0
ADAM5P|255926	0	0	0	0	0	0	0
ADAM6|8755	16588.4696	77828.6651	118250.6472	172470.5662	23351.0929	139811.6061	8877.0073
ADAM7|8756	0	1.1507	0	0	0	0	0
ADAM8|101	872.0694	792.8654	281.3998	389.2109	695.6878	499.8235	226.2774
ADAM9|8754	4588.5176	3234.7526	20693.6721	5298.7071	4285.1583	7123.6616	2164.2336
ADAMDEC1|27299	198.2647	176.0644	12.464	650.4681	340.4691	235.3218	29.1971
ADAMTS10|81794	91.1944	35.6732	72.3873	45.4748	54.9012	38.1221	97.9319
ADAMTS12|81792	155.8058	1001.1507	375.3595	50.8248	276.5543	286.1513	374.0876
ADAMTS13|11093	35.8132	3.4522	43.6242	93.6246	45.8875	9.8835	187.9562
ADAMTS14|140766	118.885	140.3913	127.9962	248.774	152.4122	89.4223	680.0487
ADAMTS15|170689	11.8147	0	93.4803	16.0499	1319.2666	134.1334	169.0998
ADAMTS16|170690	6.2765	142.6928	244.4871	15.1583	138.482	40.946	41.9708
ADAMTS17|170691	199.7416	6.9045	46.0211	4.4583	38.5128	9.4129	57.1776
ADAMTS18|170692	5.1689	6.9045	4.3145	692.8221	2.4583	4.7064	5.4745
ADAMTS19|171019	2.5845	0	0	0	0	0.4706	0
ADAMTS1|9510	407.9749	689.298	2124.6405	530.5395	1903.923	590.1871	570.5596
ADAMTS20|80070	28.7982	8.0552	0	0.8917	121.6839	29.6505	84.5499
ADAMTS2|9509	371.7925	596.0875	364.813	91.8413	279.4223	294.6229	923.9659
ADAMTS3|9508	64.6114	23.015	28.7632	12.9291	40.5613	36.7102	21.2895
ADAMTS4|9507	256.9688	1004.603	456.3758	464.5564	1141.4524	228.7328	685.5231
ADAMTS5|11096	70.5187	123.13	23.0105	86.9371	20.8952	61.6543	127.7372
ADAMTS6|11174	9.9686	27.618	12.464	52.6081	11.8816	14.59	88.8078
ADAMTS7|11173	108.9164	138.0898	258.3893	31.2082	142.5791	92.7168	296.2287
ADAMTS8|11095	7.3842	3.4522	101.1505	74.4539	242.1387	30.5918	14.5985
ADAMTS9|56999	90.0868	112.7733	234.8993	53.4998	220.0143	99.3058	100.365
ADAMTSL1|92949	92.6712	26.4672	84.372	905.4837	15.9787	39.0634	62.0438
ADAMTSL2|9719	104.4859	173.7629	236.3375	1806.0633	290.0748	211.7896	114.9635
ADAMTSL3|57188	331.918	28.7687	822.1477	54.8373	162.2452	50.8295	66.91
ADAMTSL4|54507	119.9926	127.733	262.7037	164.9576	693.6393	243.7934	233.5766
ADAMTSL5|339366	94.1481	78.2509	152.4449	8.025	226.9794	22.1202	114.9635
ADAP1|11033	245.1541	700.1266	237.0422	591.9795	179.6087	331.6814	684.3796
ADAP2|55803	178.3275	164.557	89.1659	261.7031	541.6368	172.2556	100.365
ADARB1|104	106.3319	182.9689	220.0384	278.1988	307.6923	127.5444	365.5718
ADARB2|105	43.1973	8.0552	2.3969	13.3749	5.7359	0	6.691
