TCGA-IC-A6RE-11A-12R-A336-31	TCGA-IC-A6RF-11A-21R-A336-31	TCGA-IG-A3I8-11A-11R-A24K-31	TCGA-L5-A43C-11A-11R-A24K-31	TCGA-L5-A4OF-11A-12R-A260-31	TCGA-L5-A4OG-11A-12R-A260-31	TCGA-L5-A4OJ-11A-12R-A260-31	TCGA-L5-A4OM-11A-11R-A260-31	TCGA-L5-A4OO-11A-12R-A260-31	TCGA-L5-A4OQ-11A-12R-A260-31	TCGA-L5-A4OR-11A-11R-A260-31	TCGA-V5-A7RE-11A-11R-A354-31	TCGA-V5-AASX-11A-11R-A38D-31
ABCC6|368	0.0901	0.0981	0.1232	1.3565	3.2792	3.4119	1.6105	3.3551	0.9921	0.2537	1.2129	8.4466	1.5592
ABCC8|6833	0.0177	0	0.6309	3.3024	1.1734	1.1696	3.9057	1.1227	1.9437	0.2104	0.9786	0.7291	0.1502
ABCC9|10060	0.2233	0.7279	7.293	0.4856	0.8376	1.3952	0.7677	1.84	8.3537	32.1884	0.3666	0.2241	0.1198
ABCD1|215	1.6555	3.9816	11.4798	2.5071	3.4882	4.4872	2.8968	5.6844	8.3879	11.4792	3.0113	19.1917	5.8768
ABCD2|225	0.0858	0.0184	0.4116	0.154	0.0339	0.2607	0.0498	0.168	0.2981	0.4139	0.0983	0.3229	0.0355
ABCD3|5825	12.482	8.3108	7.1163	13.6076	24.3431	19.6042	16.3116	36.4319	10.5959	7.3068	16.6559	25.5946	6.7641
ABCD4|5826	3.8403	3.2365	3.0954	3.3759	5.7884	6.2575	5.0322	9.2904	4.5484	5.8638	4.0149	7.9229	13.7828
ABCE1|6059	8.7458	28.8259	8.7991	10.0994	17.1305	10.1503	10.0457	11.3677	10.1624	13.0101	8.6172	17.7234	23.2345
ABCF1|23	11.9102	22.8239	19.3315	16.2415	26.8905	19.0576	17.4045	22.3117	20.2794	19.9602	17.8799	30.2565	30.7024
ABCF2|10061	8.6536	22.9136	12.6843	6.4616	13.7671	7.8162	7.4855	9.4934	10.1786	13.578	6.5753	11.0795	8.5602
ABCF3|55324	12.6192	17.1286	5.5362	11.205	15.8363	13.3303	12.6368	14.3657	9.679	8.9033	11.8996	14.6468	18.5187
ABCG1|9619	1.7394	0.9984	5.3312	4.4393	8.3911	8.5219	4.7073	10.0288	6.9142	6.9061	8.8625	7.4904	9.2421
ABCG2|9429	0.3935	0.276	0.6323	0.459	1.1143	1.4115	0.6385	1.2888	0.8143	1.2407	1.1078	3.0101	0.2957
ABCG4|64137	1.3686	0.6541	0.4599	0.0131	0.0383	0.068	0.0829	0.1149	0.2196	0.2132	0.0755	0.2277	0.0197
ABCG5|64240	0.0021	0.0033	0.0276	0.0175	0.0444	0.0199	0.0362	0.0574	0.01	0.0091	0.0272	6.8711	0.364
ABCG8|64241	0	0.0138	0.0072	0.029	0.0183	0.0329	0.028	0.0741	0.0159	5e-04	0.0107	6.518	2.4818
ABHD10|55347	2.8243	3.592	5.4855	10.2859	13.894	11.1325	10.8763	10.855	6.6818	5.8474	12.0473	7.5471	17.3623
ABHD11|83451	6.5952	22.4945	2.701	3.3787	10.5748	5.9384	5.8873	13.4286	3.3691	2.7095	5.1547	21.2088	10.9939
ABHD12B|145447	0.1694	1.2328	0.1291	0.0154	0.0756	0.0833	0.0126	0.1066	0.1015	0.2492	0.0153	0.094	0
ABHD12|26090	31.0709	26.2456	8.161	20.0371	26.7549	21.5137	24.5781	24.7194	14.2719	9.8235	33.6892	24.0871	27.0759
ABHD13|84945	2.1139	4.012	3.3726	2.8113	4.9823	3.2531	3.0775	6.5777	3.5626	5.2277	3.2303	4.2592	5.2174
ABHD14A|25864	2.4849	4.5042	4.6036	7.8207	5.4531	6.5856	6.4737	4.7545	6.5211	5.5417	7.6073	5.3714	7.5796
ABHD14B|84836	21.684	17.7113	11.6091	19.4229	17.1773	19.4996	16.854	28.9965	16.6788	13.3921	18.2507	30.9143	27.5448
ABHD15|116236	3.0981	7.9119	2.2557	3.6288	7.2102	6.0241	4.3193	7.8769	3.2179	3.4399	3.7196	7.3411	17.0239
ABHD1|84696	0.0825	0.1124	0.0991	0.1709	0.2471	0.1968	0.2206	0.2102	0.1429	0.1139	0.2535	0.3434	0.2257
ABHD2|11057	11.7833	25.6856	19.2661	32.8452	128.3581	58.8894	39.7798	123.8554	40.1813	23.3302	54.5189	109.6901	196.2675
ABHD3|171586	5.406	4.4819	1.1781	6.1068	16.9385	10.4246	7.5902	24.2401	4.5442	1.9369	12.4821	18.4657	12.9569
