TCGA-IC-A6RE-11A-12R-A336-31	TCGA-IC-A6RF-11A-21R-A336-31	TCGA-IG-A3I8-11A-11R-A24K-31	TCGA-L5-A43C-11A-11R-A24K-31	TCGA-L5-A4OF-11A-12R-A260-31	TCGA-L5-A4OG-11A-12R-A260-31	TCGA-L5-A4OJ-11A-12R-A260-31	TCGA-L5-A4OM-11A-11R-A260-31	TCGA-L5-A4OO-11A-12R-A260-31	TCGA-L5-A4OQ-11A-12R-A260-31	TCGA-L5-A4OR-11A-11R-A260-31	TCGA-V5-A7RE-11A-11R-A354-31	TCGA-V5-AASX-11A-11R-A38D-31
MMP11|4320	0.4163	0.5496	1.8387	0.4746	1.2163	1.2866	2.2781	3.0137	0.5631	1.022	1.0967	2.0352	2.9622
MMP12|4321	0.2331	0.1957	1.7969	0.1157	0.166	0.3157	0.387	0.8259	0.0897	0.0628	0.1515	11.548	2.4365
MMP13|4322	0.0257	0.018	0.0076	0	0.401	0	0.0408	0.0209	0.0017	0	0.0783	0.3197	0.0286
MMP14|4323	27.4712	33.4021	23.3348	9.3012	21.2206	23.1544	10.5297	42.3307	16.6819	76.8731	10.8161	30.4511	55.0559
MMP15|4324	3.0562	4.3095	6.1716	20.2096	69.5985	29.2662	27.0603	47.6221	15.0777	2.7872	37.9342	44.2332	41.13
MMP16|4325	0.0252	0.0271	0.3947	0.0589	0.1597	0.5091	0.3171	0.7143	0.6483	1.7349	0.0403	0.0756	0.0443
MMP17|4326	0.414	0.9042	1.5746	0.2826	0.1749	0.4313	0.2671	0.4517	0.9806	0.8069	0.0667	0.1194	0.0502
MMP19|4327	0.8274	1.8722	6.4425	4.7793	7.7733	6.7552	3.1323	10.7554	15.3049	13.8953	3.106	4.7037	1.1956
MMP1|4312	0.0482	0.2975	0.0853	2.7706	42.9583	5.991	2.5084	2.469	1.5016	0.1562	3.9436	53.3771	11.7473
MMP20|9313	0.0153	0	0	0	0	0.0089	0	0.0064	0	0	0	0.0783	0.0031
MMP21|118856	0	0.0064	0.4659	0.0294	0.0552	0.031	0.1016	0.0799	0.0843	0.1188	0.0145	0.0594	0.0108
MMP23A|8511	0.0249	0.0221	0.0014	0	0.0584	0.0375	0	0.045	0.0557	0.011	0.0698	0	0
MMP23B|8510	0.1256	0.0788	0.3956	0.1688	0.2422	0.4458	0.1344	0.3951	0.1727	1.2995	0.156	0.0841	0.0056
MMP24|10893	1.7231	1.3156	2.1195	1.5213	5.1243	3.3193	2.6791	3.2622	2.336	2.8155	3.1947	2.9418	4.4468
MMP25|64386	0.3746	0.3069	0.713	0.4687	0.3574	1.0543	0.5028	1.0471	0.3488	0.594	0.3002	2.5965	0.328
MMP26|56547	0	0.0163	0	0	0.1523	0.0116	0.0207	0	0	0	0.0286	0.2597	0
MMP27|64066	0.0522	0.0447	0.1773	0.0312	0.0275	0.379	0.0435	0.0462	0.1911	0.5114	0	0.1057	0.0471
MMP28|79148	4.9705	5.4295	6.1246	1.03	2.5794	3.1876	1.5992	24.1532	5.1923	3.2943	2.0713	3.5561	7.1831
MMP2|4313	5.0609	9.8708	62.451	20.9879	35.4377	72.7632	27.4574	120.7337	77.5917	424.1736	22.4155	13.7557	12.5854
MMP3|4314	0.0109	0.0201	0.1609	0.0912	3.1504	0.4228	0.451	0.4996	0.2235	0.6113	0.2383	0.5462	1.7175
MMP7|4316	13.7065	2.7337	0.0044	0.0383	1.7454	1.734	0.6179	1.5688	0.0137	0.0051	0.728	11.0507	35.1896
MMP8|4317	0	0	0.0033	0.0041	0	0.0063	0.0974	0	0	0	0	0.0933	0
MMP9|4318	3.4472	0.9939	0.4946	0.5994	0.2065	1.6789	0.7687	2.2223	0.344	0.7935	1.0855	8.5084	1.1615
MMRN1|22915	0.8243	0.8272	5.4135	1.7179	5.2177	14.6262	4.2483	9.4663	12.0765	13.4373	1.0218	0.3718	0.581
MMRN2|79812	3.8774	6.6717	11.8203	4.0945	7.0213	8.8588	6.4973	5.71	11.3138	29.01	6.3126	2.9313	3.6083
MMS19|64210	15.6393	14.4159	8.0779	7.256	15.1855	11.1853	10.6349	15.9746	8.3479	9.6138	9.113	17.647	25.9319
MN1|4330	4.4187	1.3403	14.5967	1.7875	1.2769	2.5043	1.3239	2.4157	17.7732	7.0493	0.8103	0.2784	0.3298
MNAT1|4331	2.6923	4.5639	3.9766	3.6805	4.1791	3.6989	3.4093	4.1479	3.4226	3.6261	3.2283	4.2674	5.1097
MND1|84057	0.5825	0.7972	0.1264	0.08	2.1651	0.4406	0.86	0.4699	0.091	0.2495	0.4096	2.4069	1.5273
MNDA|4332	0.7501	0.191	1.9309	0.7248	0.2508	1.8822	0.3479	1.3343	0.4126	2.4617	0.3973	2.6713	0.4425
MNS1|55329	0.4714	0.578	0.9262	0.677	4.3416	1.7727	2.2479	3.0066	1.7806	1.3701	1.1746	2.1313	2.348
MNT|4335	11.2188	13.9229	9.6473	3.7181	8.4094	8.133	5.3703	10.635	6.5004	13.1414	3.8674	9.4354	10.2345
MNX1|3110	0.0651	0.0381	0	0.5996	0.9262	1.2531	1.4918	1.1813	0.31	0.0037	0.8504	1.602	1.4186
MOAP1|64112	4.3745	9.6509	29.2613	10.5583	13.1657	11.8979	11.0381	10.8541	23.0444	22.1489	12.1059	7.1201	13.6509
MOB2|81532	11.1576	12.9483	28.616	6.8483	10.3301	8.5124	8.3975	10.6906	12.0355	17.1507	8.9083	11.9714	7.7585
MOBKL1A|92597	0	0	0	0	0	0	0	0	0	0	0	0	0
MOBKL1B|55233	0	0	0	0	0	0	0	0	0	0	0	0	0
MOBKL2A|126308	0	0	0	0	0	0	0	0	0	0	0	0	0
MOBKL2B|79817	0	0	0	0	0	0	0	0	0	0	0	0	0
MOBKL2C|148932	0	0	0	0	0	0	0	0	0	0	0	0	0
MOBKL3|25843	0	0	0	0	0	0	0	0	0	0	0	0	0
MOBP|4336	0	0	0	0	0	0.0099	0	0	0.0053	0.003	0	0.1994	0.0056
MOCOS|55034	3.3111	20.0883	0.1901	0.566	5.4256	1.4024	0.6846	3.4551	0.8568	1.9432	1.0274	6.8407	6.9089
MOCS1|4337	1.9613	2.332	24.6743	4.6719	6.8868	5.7843	4.9295	3.4074	12.2205	14.3729	5.4449	0.8144	7.1778
MOCS2|4338	10.1865	13.5698	24.3325	15.6408	20.6471	17.1785	19.1791	13.4894	20.4686	21.5825	23.5006	13.9133	5.6185
MOCS3|27304	2.7518	4.7136	1.8601	2.1133	3.426	2.4361	2.7471	3.4152	2.436	2.784	2.1701	6.174	5.1183
MOGAT1|116255	0.1497	0.0308	0	0.4126	0.1066	0.3975	0.4075	0.0577	0.149	0.0248	0.2019	0.3671	0.4232
MOGAT2|80168	0.0325	0.0094	0	0.0709	0.2375	0.2592	0.0079	0.489	0.0313	0.009	0.0136	6.6518	2.1175
MOGAT3|346606	0	0.0087	0	0	0	0	0.0073	0.1991	0.0455	0.0042	0	4.9882	1.3954
MOGS|7841	7.3822	8.7798	2.4224	10.4071	19.0754	15.6178	16.2553	18.0693	8.2978	6.2519	14.1425	21.3637	35.2806
MOG|4340	0	0	0.0331	0	0	0.0179	0.0081	0	0.009	0.0703	0	0.7919	0
MON1A|84315	2.6521	3.12	1.8933	1.473	3.8207	1.7698	1.3579	2.6614	1.5287	2.0147	1.7904	4.8104	2.8748
MON1B|22879	9.4898	14.7302	8.3301	10.2625	22.5226	15.1413	12.5229	21.7164	12.3163	14.9029	11.6201	19.4105	30.8831
MON2|23041	4.1391	4.2706	3.7046	4.9512	8.8967	8.3295	7.2682	10.6882	7.4432	6.7192	4.9847	5.456	4.463
MORC1|27136	0	0	0.0137	0	0.008	0.0052	0	0	0	0	0	0.1174	0
MORC2|22880	5.1284	7.0798	6.5866	3.472	7.9397	5.3324	5.4897	8.803	6.2863	7.8303	4.4616	10.5339	12.459
MORC3|23515	8.1294	9.2496	8.357	4.3982	10.1364	7.8712	5.8388	14.1917	8.1634	11.0685	5.309	7.7698	12.8532
MORC4|79710	3.2327	7.0791	2.2743	3.2873	6.8849	3.2363	3.6721	4.3287	4.1098	5.0289	3.2204	6.2471	4.4702
MORF4L1|10933	9.7169	18.3731	36.4243	15.4091	19.6687	18.6522	16.2508	21.4341	27.4103	35.1135	18.333	28.7568	35.4929
MORF4L2|9643	21.6221	44.7657	42.321	24.9613	47.353	34.3096	31.8535	53.5332	46.1605	50.6185	30.8908	60.1142	57.8859
MORF4|10934	0	0	0	0	0	0	0	0	0	0	0	0	0
MORN1|79906	0.2831	0.3517	0.6917	0.5987	1.0121	0.7748	0.8104	0.9341	0.9092	0.583	0.6482	0.8996	1.2299
MORN2|729967	4.7173	6.2154	3.8781	5.2989	8.4927	6.4468	8.8232	8.9004	6.1172	6.1347	10.9202	9.5729	4.2657
MORN3|283385	0.0576	1.2366	0.1137	0.2791	0.1401	0.3157	0.1343	0.1994	0.1642	0.1212	0.1669	1.2091	0.0617
MORN4|118812	0.2562	0.3302	1.5669	1.8304	2.0722	2.1363	2.5491	0.9701	1.3157	2.0157	2.0811	0.9467	0.6052
MORN5|254956	0.0788	0.0474	0.2913	0.2025	0.025	0.0221	0.115	0.0214	0.2442	0.0598	0.1027	0.3588	0.0175
MOSC1|64757	0	0	0	0	0	0	0	0	0	0	0	0	0
MOSC2|54996	0	0	0	0	0	0	0	0	0	0	0	0	0
MOSPD1|56180	8.2457	4.5862	4.8161	2.9379	3.5715	3.1809	3.8873	3.1485	3.6986	3.5836	3.731	4.1859	4.1605
MOSPD2|158747	6.5151	3.5015	2.3345	1.8028	6.9345	3.9562	4.319	5.5872	2.274	3.6937	2.8898	6.5451	6.6733
MOSPD3|64598	19.8602	12.1768	6.4192	7.5606	11.1098	9.1873	10.776	11.3137	7.9597	6.1491	11.9358	9.5364	5.4558
MOS|4342	0	0	0	0	0	0	0	0	0	0	0	0.0586	0
MOV10L1|54456	0.005	0.0143	0.0225	0.0041	0.0101	0.062	0.0335	0.0198	0.0088	0.0308	0.0011	0.2251	0.0052
MOV10|4343	9.9648	7.7037	3.3581	4.4119	9.1903	8.4863	7.4488	14.4362	6.2439	7.1881	6.0417	30.1052	8.5808
MOXD1|26002	4.6203	0.8882	18.623	1.0702	1.1538	1.6912	13.6381	2.5579	5.1218	14.8387	0.5867	0.3332	0.4333
MPDU1|9526	10.4833	17.6251	4.3114	15.1486	29.0783	20.9698	16.927	18.9398	10.0614	6.4212	20.118	21.4832	16.1219
MPDZ|8777	0.4916	0.9853	13.932	1.057	2.516	2.5792	1.9299	2.1188	9.3385	13.4468	1.1086	0.2969	0.2582
MPEG1|219972	2.8797	0.5199	4.1196	1.7545	1.381	9.5445	1.2936	4.9393	1.9602	7.448	1.7101	7.7205	2.4531
MPG|4350	8.8852	14.1665	7.3007	10.4707	12.3361	11.2639	8.3169	16.4067	9.1307	10.6782	9.4957	11.8734	19.2957
MPHOSPH10|10199	7.3094	9.02	5.1752	6.4657	10.7201	6.9454	7.3559	7.8295	6.8261	8.0215	7.5856	9.7637	11.123
MPHOSPH6|10200	8.1052	21.9114	5.9779	5.912	11.4474	7.4468	8.016	9.5867	6.0827	9.6901	7.2781	8.1407	10.9288
MPHOSPH8|54737	6.062	9.1857	24.1437	17.8761	18.6698	17.7611	17.9296	18.5934	24.6249	19.7815	17.0151	14.9932	21.2069
MPHOSPH9|10198	1.3484	1.2299	1.9097	1.1604	3.967	2.5235	2.4031	2.4618	2.67	2.1524	1.541	4.1758	2.3818
MPI|4351	10.026	8.2018	7.2559	6.7652	8.8182	9.2113	7.1807	16.9995	8.9484	10.1924	6.3419	10.3476	17.7972
MPL|4352	0.1956	0.2667	0.689	0.1952	0.2106	0.3579	0.2706	0.2816	0.6539	0.8564	0.1758	0.5268	0.4404
MPND|84954	6.6525	4.4201	4.684	8.775	8.0698	7.9614	7.3834	7.2629	6.1281	3.5461	9.7023	9.9188	12.7898
MPO|4353	0.0062	0.0229	0.0434	0.016	0	0.0674	0.0349	0.0394	0.0395	0.0841	0.0353	0.2739	0.0024
MPP1|4354	3.2464	0.9489	9.4763	2.7808	3.1256	5.3507	2.4363	2.5652	5.6198	10.0757	2.5449	2.1675	0.3156
MPP2|4355	0.3322	0.6409	6.9784	1.1602	0.7539	1.3527	1.0368	0.7444	4.9635	4.4639	0.5117	0.2927	0.0442
MPP3|4356	0.6487	1.8322	0.6077	0.3812	1.4938	0.9397	0.6395	1.8047	2.4793	1.6954	0.4198	0.9977	0.4968
MPP4|58538	0.0025	0.0046	0.0039	0.0081	0.0038	0.0236	0.0039	0.0132	0.0053	0.0201	0	0.2066	0.0039
MPP5|64398	8.3753	5.0247	5.734	5.5263	10.6458	6.9338	6.9445	10.8687	8.6569	10.9414	5.62	7.9701	16.1997
MPP6|51678	1.0377	2.2668	1.3927	1.3793	3.8217	1.5746	2.1107	0.7534	4.7728	2.3273	1.6288	1.2012	1.7524
MPP7|143098	19.4707	13.1105	27.433	6.3716	12.3507	8.68	12.5384	4.9236	16.3043	7.5197	9.2198	6.4903	3.0416
MPPE1|65258	3.995	8.9937	6.0731	4.4991	7.3567	6.5176	4.9882	10.66	6.9777	8.0147	6.9631	43.0365	8.0703
MPPED1|758	0	1.906	0.0347	0.1209	0.0915	0.0914	0.1669	0.0404	0.0304	0.015	0.0537	0.1077	0.0095
MPPED2|744	0.2316	0.0895	0.9993	0.0662	0.0511	0.1523	0.1597	0.0899	0.6141	0.8041	0.0577	0.2565	0.0147
MPRIP|23164	17.5056	11.453	17.6158	7.418	20.4934	14.1248	11.2943	20.3955	22.3168	17.0814	8.0999	8.6892	7.3058
MPST|4357	14.0276	14.0525	3.139	8.4664	9.3948	8.9737	7.2669	15.0371	5.4897	3.386	8.8264	14.5425	30.2592
MPV17L2|84769	4.2615	7.3624	7.0199	4.8568	7.37	4.1101	4.9593	4.6	4.9225	7.0214	5.043	4.6982	5.1749
MPV17L|255027	0.2238	0.3722	3.3003	3.1594	1.5347	2.7908	1.8572	3.5769	2.7519	2.1388	1.413	1.8259	0.0135
MPV17|4358	9.8537	13.6979	10.4355	7.1893	10.8035	7.3063	9.1998	10.3253	9.029	14.7932	8.9386	13.4683	12.2017
MPZL1|9019	14.3668	27.8065	20.3328	13.6076	28.5535	22.3363	17.6781	26.4013	17.8055	37.4059	13.4258	32.9215	58.8969
MPZL2|10205	87.443	97.1378	2.9834	10.6652	25.2791	19.6068	15.764	29.1623	8.2325	15.2092	19.7185	13.3602	21.8001
MPZL3|196264	21.9967	8.0038	0.2116	1.8443	4.8687	3.2922	2.5492	8.2384	1.1216	0.2638	2.3152	4.2088	7.5732
MPZ|4359	0.7185	0.4396	10.3792	0.9341	0.5937	1.3592	9.7427	1.557	2.8692	2.7865	0.487	0.7065	0.3312
MR1|3140	2.2034	3.0332	2.8622	0.7953	1.9995	1.5824	1.2464	2.818	2.5736	5.9074	1.0128	3.2977	1.5999
MRAP2|112609	0.162	6.7894	0.3671	0.8594	8.6571	2.1319	0.9056	12.3167	1.0371	0.2738	1.7949	6.2977	4.5323
MRAP|56246	1.3961	2.0955	1.7914	0.9769	2.0582	1.4316	1.2935	1.6216	1.9305	4.9729	0.7982	1.2065	5.6298
MRAS|22808	0.4926	0.9408	12.8534	1.6363	3.464	3.1281	2.6357	1.7401	5.63	10.2801	3.3114	1.1168	3.1281
MRC1|4360	0.0269	0.0356	0.1772	0	0.0173	0.7459	0.1178	0.0024	0.0861	0.7778	0.0383	0.0131	0
MRC2|9902	15.8342	16.7479	14.9098	3.2263	8.0357	19.6576	9.328	19.0373	18.7696	61.6532	2.8345	2.1442	2.7108
MRE11A|4361	1.9377	2.2043	3.2161	1.6206	3.8177	2.8829	2.6679	4.5197	3.9401	3.9376	1.7639	5.9612	5.8702
MREG|55686	16.9468	16.7701	0.2409	0.5774	2.1688	1.3562	3.8352	3.8162	0.6241	0.2123	1.1779	4.0861	2.3441
MRFAP1L1|114932	14.391	26.1852	17.0144	19.2285	24.3476	21.4099	24.3342	21.0794	15.7048	19.7616	21.3655	22.9667	29.2191
MRFAP1|93621	47.1171	90.2875	82.3478	44.1842	58.9125	45.4637	48.6949	54.3467	62.2996	70.926	47.3698	66.8095	68.3743
MRGPRD|116512	0	0	0.1852	0	0	0.0356	0.0834	0.068	0.0508	0.2485	0	0.4369	0
MRGPRE|116534	0	0	0.2493	0.0397	0	0.0153	0.0158	0.0292	0.1388	0.1866	0	0.2376	0.0032
MRGPRF|116535	4.4385	6.5855	103.2415	1.4763	1.7405	4.7626	1.5091	5.7419	23.58	43.8647	1.0568	1.1962	1.0291
MRGPRG|386746	0	0	0	0	0	0	0	0	0	0	0	0	0
MRGPRX1|259249	0	0	0	0	0	0	0	0	0	0	0	0.0171	0
MRGPRX2|117194	0.0049	0.012	0.0839	0.0253	0.0148	0.068	0	0.0527	0.0208	0.0174	0	0.07	0
MRGPRX3|117195	0.1885	0.1646	0	0	0	0	0.873	0	0	0	0.0173	0.0908	0
MRGPRX4|117196	0	0	0	0	0	0	0	0	0	0	0	0.0775	0
MRI1|84245	6.4962	10.3806	3.6271	3.9458	7.0333	7.0719	6.0113	7.7498	4.9949	5.6524	3.5712	6.4587	1.3268
MRM1|79922	1.5648	2.1064	0.6087	1.4247	2.7178	1.7988	1.4477	1.6695	0.9927	1.0666	1.7229	2.0566	7.0483
MRO|83876	0.0149	0.0092	0.0194	0.1326	0.1981	0.2704	0.1596	0.4331	0.117	0.4201	0.3243	0.1852	0.0686
MRP63|78988	8.6211	11.9094	7.1914	7.0781	10.3404	7.509	8.3852	9.4688	7.7444	7.6722	9.1426	10.6246	12.0301
MRPL10|124995	12.604	19.9455	19.1701	17.6751	24.0592	15.4847	15.2154	17.4645	20.0099	19.4252	15.0037	16.7634	11.7622
MRPL11|65003	7.7856	12.4337	7.3264	6.9588	11.0313	8.0842	7.5402	7.4179	8.4692	7.7326	6.5541	15.6638	12.313
MRPL12|6182	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPL13|28998	15.229	22.7502	10.1583	9.4081	22.7726	13.1931	12.6655	16.952	9.9431	9.4827	15.1973	20.638	15.9238
MRPL14|64928	20.5216	34.6443	12.8359	9.8199	25.2957	13.964	11.6945	33.5933	13.0819	10.0346	15.6271	35.2782	34.3625
MRPL15|29088	10.0494	20.6061	11.4067	11.1418	20.2368	13.7442	12.9905	10.6651	9.0207	9.6598	13.5924	20.1805	24.7943
MRPL16|54948	9.9285	15.5055	16.3687	18.5913	29.5228	22.5338	20.4747	19.6767	14.5245	13.8838	24.8197	27.6901	34.1388
MRPL17|63875	7.897	14.9294	3.1153	6.9064	11.4021	6.3923	6.9323	8.8615	5.1685	5.3263	8.0186	13.5018	13.5811
MRPL18|29074	19.6593	25.9565	19.666	13.483	24.6253	16.0238	15.3796	18.1215	15.1759	14.9074	19.4931	56.4581	23.8059
MRPL19|9801	2.7734	5.111	4.6496	3.7588	9.751	5.5326	5.5721	7.2489	6.9295	5.8851	4.9253	6.8004	11.8073
MRPL1|65008	5.3131	8.3801	7.8902	8.7384	13.7134	9.7829	9.4692	8.0556	7.5869	5.9284	10.1585	15.5125	13.4863
MRPL20|55052	21.4345	39.5333	17.8908	25.5693	25.1642	19.1585	17.2208	18.5173	20.0146	15.1591	17.0611	34.8102	22.7131
MRPL21|219927	5.7297	16.4571	6.5279	8.6834	14.0684	10.6385	10.6638	10.5244	9.5784	7.512	13.134	15.786	10.6773
MRPL22|29093	4.0628	6.0747	3.41	3.9814	5.7693	4.7608	4.4141	4.2344	3.7698	2.8058	5.524	5.4064	2.8262
MRPL23|6150	38.2201	43.8467	12.4321	31.8213	40.2033	33.1134	31.1638	32.6303	19.8708	14.0203	40.8195	55.9963	25.002
MRPL24|79590	18.0081	23.9141	23.2965	26.774	29.9637	25.6668	23.5473	21.735	25.0309	22.1198	28.7212	55.183	43.8066
MRPL27|51264	7.8595	8.5031	4.588	12.3895	16.3338	12.707	11.625	9.5151	7.7987	4.9772	14.2798	11.2773	6.3255
MRPL28|10573	22.9797	39.4017	17.2677	11.3641	22.0377	15.661	17.0363	20.4981	15.4468	15.4913	18.1609	25.6302	21.4755
MRPL2|51069	4.6995	7.2728	4.5238	5.2229	8.7971	5.8064	5.6049	5.5796	4.7643	4.2311	6.3404	10.2072	7.7008
MRPL30|51263	6.0115	9.2256	5.1579	5.2539	7.8658	5.9354	6.4567	7.0418	5.6963	5.0046	5.6586	13.7253	12.038
MRPL32|64983	3.9831	8.3508	4.9512	6.503	10.3943	7.2478	7.3705	5.8764	6.233	5.3909	9.3195	7.9269	11.3787
MRPL33|9553	15.3406	22.406	48.1356	19.9366	34.5788	25.6797	28.1539	25.512	38.0761	41.3305	29.4346	32.1658	24.0627
MRPL34|64981	22.8997	22.0243	27.6529	25.0424	34.5506	29.9252	33.036	20.9186	27.4735	24.2283	45.9446	21.3684	29.2771
MRPL35|51318	6.6577	9.6639	11.3087	8.6478	15.9975	14.2908	11.0786	10.8725	10.5675	8.7435	13.0868	11.3923	13.2904
MRPL36|64979	22.6806	31.8894	13.1612	16.0829	19.8581	11.4097	16.709	17.1187	16.7721	12.689	17.5091	22.7056	10.3427
MRPL37|51253	40.392	55.5598	17.6693	23.2789	45.3207	26.0156	22.3676	29.851	17.6853	18.9864	26.5091	56.846	30.2059
MRPL38|64978	16.9603	20.7849	12.0759	14.471	23.615	16.7614	15.7359	14.4972	12.2142	9.6408	17.2178	24.1329	10.6145
MRPL39|54148	10.0616	13.1971	8.5834	7.7276	15.0729	10.0914	9.837	9.3927	7.4981	6.6815	11.5071	4.5009	11.6778
MRPL3|11222	22.8444	51.9326	16.8085	23.9673	38.0571	23.8269	22.213	26.7924	19.5279	19.4156	28.7639	44.5193	60.2745
MRPL40|64976	20.4358	21.2407	14.7585	26.7474	17.2987	20.5853	23.3855	17.8831	17.463	15.2274	28.2415	11.0206	28.0184
MRPL41|64975	26.4801	39.4124	19.2055	45.4293	50.4519	55.3393	46.2247	35.7626	32.4227	14.0819	77.632	26.9482	28.7794
MRPL42P5|359821	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPL42|28977	4.0119	8.385	8.7663	7.7962	15.4544	10.5395	10.356	11.2582	9.6967	9.5205	11.0245	14.551	8.79
MRPL43|84545	8.2445	10.6111	8.9084	9.2927	13.7613	9.7731	10.6996	17.9612	9.5146	8.1991	12.9576	17.3657	19.546
MRPL44|65080	7.322	11.8401	5.4322	6.8643	16.6743	8.3775	8.2763	12.5654	5.6989	5.9819	8.5904	16.1048	14.6077
MRPL45|84311	11.0924	18.5567	10.3126	13.6487	19.8391	9.7686	14.2994	12.5241	11.5644	11.7506	13.2704	15.5116	31.1028
MRPL46|26589	1.3936	1.5154	1.0849	1.2099	3.1432	1.8574	1.7649	1.3275	1.2026	1.2085	1.7469	2.2827	2.1879
MRPL47|57129	10.8663	24.671	12.717	10.0567	19.9614	12.1997	12.5367	13.1478	11.0584	11.2248	14.1317	22.723	18.5065
MRPL48|51642	7.2259	11.1624	5.0585	6.8319	11.4543	10.0751	6.3517	9.343	5.3011	4.8067	8.6664	16.3813	13.794
MRPL49|740	21.3336	23.4898	24.6993	13.5484	25.0905	16.3339	17.6459	21.0121	19.5758	20.4072	17.3055	24.9742	25.9418
MRPL4|51073	14.7733	31.4169	10.3505	8.5892	17.3816	10.4882	9.4852	12.2955	9.257	8.1863	10.082	17.3598	23.5166
MRPL50|54534	5.5545	12.2224	8.494	8.0457	15.1822	10.161	10.3682	9.9183	8.9374	9.2781	11.7145	10.888	15.6935
MRPL51|51258	43.8943	53.5503	25.9444	34.503	49.4585	33.5046	40.0387	31.2464	28.0861	25.4913	38.9026	81.6792	54.4609
MRPL52|122704	11.3443	11.9534	6.327	9.1741	16.497	11.2064	11.831	12.945	10.1682	6.9891	11.9657	13.2046	15.5531
MRPL53|116540	25.2523	34.9521	14.209	27.432	28.1811	25.7301	29.1886	18.8957	20.5909	14.5383	33.4395	35.3823	19.4335
MRPL54|116541	15.2176	14.6281	17.844	25.3753	26.8728	22.0214	23.6322	21.8616	25.5327	15.8379	32.8215	18.2537	29.1989
MRPL55|128308	10.9064	13.87	10.1904	15.3184	15.044	13.5287	15.5976	12.9968	11.9799	10.0109	16.0246	14.1905	13.2286
MRPL9|65005	6.4603	9.5994	6.9753	6.5255	9.1347	6.6735	8.0963	6.9037	6.7564	6.8135	7.318	16.0947	10.0163
MRPS10|55173	20.3238	28.4988	15.814	10.0521	15.8817	12.7101	12.7204	14.4495	12.4537	12.1957	12.187	19.1766	23.095
MRPS11|64963	7.0096	5.5013	5.3405	4.7584	8.7764	6.6462	5.9794	7.1299	5.3274	5.0406	7.9084	8.9881	8.734
MRPS12|6183	10.2929	19.2788	3.8554	9.389	15.7711	11.3949	10.6325	9.5538	6.6474	5.4761	12.9601	15.0201	18.6446
MRPS14|63931	4.8179	5.7858	8.4273	7.4178	8.703	9.3286	8.7759	8.3891	9.2874	9.5849	8.0366	9.2052	10.8816
MRPS15|64960	28.1028	40.1833	26.4299	31.5627	39.1577	29.3156	33.7594	22.7767	23.0482	19.6858	41.2192	35.0213	24.4735
MRPS16|51021	12.352	25.3609	11.3557	14.702	20.6938	16.0762	12.5811	15.5226	13.5433	10.6295	13.7247	24.9389	25.6704
MRPS17|51373	10.7964	23.461	11.8867	10.7344	17.0338	9.7811	10.6475	11.7865	10.3829	9.8598	11.3621	20.2398	25.7839
MRPS18A|55168	12.2295	10.2448	5.2754	9.4912	29.7178	13.3795	11.5833	13.8492	6.6384	4.837	15.7787	12.7296	12.0391
MRPS18B|28973	20.324	28.4439	12.9252	31.7022	37.9419	30.5186	28.9757	24.4016	20.0224	15.2338	32.902	38.9105	44.5552
MRPS18C|51023	12.6147	19.3198	8.9069	11.1167	14.9067	11.7381	9.5351	12.1412	10.0426	10.0388	9.4003	17.3101	13.3475
MRPS21|54460	26.9866	43.0145	20.1461	17.335	26.1753	21.3439	23.7017	27.5215	18.6348	16.7156	25.0146	43.7605	24.9894
MRPS22|56945	15.93	19.7842	12.2304	10.498	20.1018	13.7673	11.6115	14.3433	10.9719	10.8735	16.2733	18.0084	19.1832
MRPS23|51649	6.1681	14.2612	8.3393	15.5357	16.4632	14.257	16.5211	8.0318	14.8485	9.2223	24.2254	14.9732	6.4941
MRPS24|64951	47.3673	70.3328	26.6845	48.4646	53.1547	45.4871	50.8502	27.6124	33.175	22.4456	59.2441	48.5324	72.2734
MRPS25|64432	4.7939	6.9893	6.9505	6.0871	12.6992	9.611	9.9396	8.7171	7.8041	7.988	9.0201	15.0555	13.6878
MRPS26|64949	12.4409	20.5539	11.6433	13.0529	20.5197	13.0421	15.752	13.3766	13.0387	12.1722	17.7648	17.639	18.8326
MRPS27|23107	10.6615	20.1413	10.0695	7.5503	14.7693	9.2211	10.8772	11.2519	8.8746	11.7887	8.5634	17.6526	12.0866
MRPS28|28957	10.3201	18.835	9.6828	10.8714	24.2924	13.59	11.0809	12.0714	12.3685	10.4671	15.8559	13.9703	16.3628
MRPS2|51116	15.1985	28.6171	11.4573	14.3514	25.4794	15.4669	17.3987	15.8441	11.8174	11.0344	21.8814	15.3661	27.4733
MRPS30|10884	9.7266	12.8991	6.6202	6.9491	14.6848	8.2366	8.1901	10.5141	7.7161	7.6475	8.1235	9.7533	8.3589
MRPS31|10240	6.6162	7.7371	6.8199	5.4964	11.0485	7.6317	7.8168	9.9599	6.2172	5.3137	7.7191	7.1613	10.1298
MRPS33|51650	15.2936	21.5358	11.0977	14.9758	19.0609	13.6459	16.1861	14.2593	11.0173	8.9354	18.8745	17.5618	12.9766
MRPS34|65993	32.6866	51.111	13.8625	32.4335	35.534	28.3255	29.2543	30.0645	19.1675	10.7201	32.7071	45.7746	52.2464
