TCGA-2H-A9GO-01A-11R-A37I-31	TCGA-L5-A4OT-01A-11R-A28J-31	TCGA-L5-A8NF-01A-11R-A37I-31	TCGA-L5-A8NH-01A-11R-A37I-31	TCGA-LN-A5U5-01A-21R-A28J-31	TCGA-R6-A8W5-01B-11R-A37I-31	TCGA-VR-A8EU-01A-11R-A36D-31	TCGA-VR-A8EX-01A-11R-A36D-31	TCGA-VR-AA7B-01A-31R-A406-31
PIR|8544	16.3354	3.0532	8.0152	3.675	41.0463	4.1492	5.6249	16.1012	14.9469
PISD|23761	7.1294	6.1788	7.7073	10.1576	8.5812	8.4405	6.864	8.297	11.3983
PISRT1|140464	0	0	0	0	0	0	0	0	0
PITPNA|5306	24.4674	15.0046	27.6058	25.2272	50.5586	21.7194	15.795	47.8437	17.3323
PITPNB|23760	3.1662	4.1186	3.6829	8.1228	8.5552	6.5327	8.4256	7.9997	14.1625
PITPNC1|26207	2.7698	5.9723	2.7109	18.838	3.5096	8.1377	11.6095	8.4248	4.2385
PITPNM1|9600	9.5607	10.9575	35.3077	20.5654	10.4462	19.0632	11.2147	24.1173	13.5362
PITPNM2|57605	2.4961	2.5894	1.1063	2.4981	3.2802	1.9423	4.8764	4.2967	7.3149
PITPNM3|83394	0.9467	0.4053	1.7754	3.3962	1.2788	2.0679	1.5085	7.8422	2.5908
PITRM1|10531	27.5516	11.0851	16.2934	17.686	18.165	35.4136	42.0833	18.2406	12.2269
PITX1|5307	4.3707	16.9485	13.3975	27.6173	37.1838	18.6339	83.0936	441.4378	28.5117
PITX2|5308	0.2229	0.1944	0.2764	0.0055	1.7892	0.089	2.9902	4.8474	2.2046
PITX3|5309	0.0053	0.0229	0.0124	0	0	0	0.0804	0.0256	0.1171
PIWIL1|9271	0.3407	0.0993	0.035	0.0304	0.0813	0.0152	0.0044	0.0652	0.2724
PIWIL2|55124	1.9423	0.8295	1.2436	0.1	0.0036	0.1211	0.0132	0.0546	0.034
PIWIL3|440822	0.0426	0.0171	0	0.0011	0	0.0033	0	0.0278	0.0062
PIWIL4|143689	9.3934	6.0785	3.7669	4.5591	0.2712	1.7293	0.1958	0.5159	0.894
PJA1|64219	14.9746	4.7008	7.0744	5.2005	7.7513	12.1516	8.1385	7.2118	12.2096
PJA2|9867	8.4414	35.9461	28.5897	14.6957	33.9474	24.9359	14.4329	21.609	44.6472
PKD1L1|168507	0.2366	0.2175	0.1528	0.1883	0.0574	0.106	0.0594	0.0529	0.122
PKD1L2|114780	0.0289	0.0309	0.0109	0.006	0.0304	0.0995	0.5234	0.018	0.1151
PKD1L3|342372	0.1285	0.0914	0.234	0.1375	0.1308	0.0397	0.0655	0.1017	0.0557
PKD1|5310	5.9668	8.511	11.6082	5.3702	4.5033	4.7092	6.1482	8.8762	11.7295
PKD2L1|9033	0.0221	0.0705	0.073	0.0815	0.0421	0.1157	0.0159	0.04	0.007
PKD2L2|27039	1.1304	2.2828	2.2324	0.9483	1.4828	2.2033	0.9629	1.085	2.0682
PKD2|5311	2.6607	7.6858	5.2862	3.0715	2.8212	3.7214	3.7472	2.9117	5.0669
PKDCC|91461	37.0459	50.8529	30.1097	30.5484	6.1705	13.2896	0.5044	0.3339	1.9501
PKDREJ|10343	0.0949	0.0551	0.1078	0.1803	0.2257	0.0985	0.061	0.1309	0.1283
PKHD1L1|93035	0.0282	0.0584	0.1133	0.0415	0.0173	0.0571	0.0138	0.0363	0.0172
PKHD1|5314	0.5172	0.0126	0.8441	0.0428	0.2808	0.6531	0.394	0.0448	0.6171
PKIA|5569	0.2062	0.5181	0.0756	0.2605	2.736	0.8039	0.2077	0.9251	1.7096
PKIB|5570	1.0247	0.7389	1.9876	0.8528	4.1047	2.1628	0.3132	0.8276	6.5633
PKIG|11142	10.8772	22.9376	9.7199	9.2134	6.2741	12.8844	9.7619	8.0181	25.1363
PKLR|5313	0.4327	0.1897	0.3081	0.4806	0.5307	0.128	0.261	0.2463	0.0795
PKM2|5315	257.9089	214.7542	164.8245	221.5566	905.2803	623.8788	539.8434	464.5204	705.3151
PKMYT1|9088	33.8183	11.4357	14.401	10.9287	22.8174	10.1387	32.2295	19.8568	14.3411
PKN1|5585	35.1863	38.1329	12.5471	18.3154	10.5091	17.964	9.0289	9.1779	41.8997
PKN2|5586	11.6747	17.0776	17.2189	17.1174	15.3357	13.4446	12.154	9.3942	13.3111
PKN3|29941	6.8103	4.7436	5.8208	3.8629	9.1609	5.5336	5.0486	1.7738	4.1686
PKNOX1|5316	3.287	3.9694	4.0543	3.3903	3.8153	4.1257	3.3617	3.1074	2.9044
PKNOX2|63876	0.2296	0.2418	0.1113	0.0548	0.0417	0.0293	0.1368	0.0954	0.3836
PKP1|5317	0.1292	0.5505	0.0361	1.7053	68.3882	0.4042	497.0483	505.909	138.2825
PKP2|5318	27.2055	28.4203	23.5981	55.193	7.5801	17.9811	7.3716	6.7065	6.9925
PKP3|11187	73.3611	43.9045	61.2117	68.7255	58.0248	48.7697	154.4048	129.848	51.0335
PKP4|8502	17.6775	16.771	22.0131	14.6456	14.5245	18.5303	13.4154	17.7472	9.3676
PL-5283|647087	0	0	0	0	0	0	0	0	0
PLA1A|51365	1.4681	2.4904	1.4329	0.8623	0.1803	1.4793	0.2992	0.1629	0.4033
PLA2G10|8399	6.8257	1.9929	14.4372	1.1409	0.7463	1.5717	0.1928	0.3433	0.1909
PLA2G12A|81579	8.1414	5.8346	5.8768	5.0183	5.5903	7.2825	4.3746	6.0485	3.4964
PLA2G12B|84647	0.06	0.0131	0.2196	0	0	0	0	0.0219	0.0217
PLA2G15|23659	4.0345	4.8292	5.9278	5.2025	5.5034	10.9077	6.5462	4.3244	11.3196
PLA2G16|11145	7.6031	19.338	5.0826	14.2135	2.3187	85.852	0.7747	2.5063	4.3033
PLA2G1B|5319	0.1886	0.0579	0.2167	0.0815	0.0269	0.0657	0.0987	0.0273	0
PLA2G2A|5320	1.7191	1.1779	2.4879	371.9395	14.0389	0.6211	4.7945	0.5498	1.9039
PLA2G2C|391013	0	0.0323	0	0	0	0	0	0	0.0104
PLA2G2D|26279	0.0062	0.2926	0.1113	0.3363	0.3243	0.4966	0.0546	1.4971	0.1052
PLA2G2E|30814	0	0	0	0.0339	0	0	0	0	0.0121
PLA2G2F|64600	0.1768	0.5829	0.019	0.0705	0	0.6896	5.1561	0.198	1.0771
PLA2G3|50487	0.1112	0.0996	0.2181	0.0737	0.0975	0.0793	0.6307	3.8862	0.0114
PLA2G4A|5321	6.2498	14.059	5.0245	10.9375	24.5924	6.0271	5.2537	1.5397	3.9953
PLA2G4C|8605	1.0901	1.6881	0.5862	0.5812	0.7023	1.1448	0.9293	1.0403	0.7412
PLA2G4D|283748	0.0681	0.0668	0.1314	0.1293	0.1014	0.223	4.0303	0.1996	0.1302
PLA2G4E|123745	0.0124	0.0731	0.063	0.2197	0.0626	1.0048	29.0455	4.0499	0.0544
PLA2G4F|255189	2.5432	0.8591	3.6264	3.0807	0.1919	2.1586	2.6856	9.6209	1.2076
PLA2G5|5322	0.0626	0.2147	0.0605	0.0371	0.091	0.1295	0.14	0.0257	0.4752
PLA2G6|8398	4.3723	1.709	5.2624	3.9636	3.6404	1.7953	1.906	4.7551	6.4161
PLA2G7|7941	0.9965	5.7726	1.5583	3.1169	1.519	5.2113	5.5074	0.7489	1.0837
PLA2R1|22925	0.5777	2.2039	2.003	1.893	2.11	2.3213	2.441	1.9533	2.1632
PLAA|9373	6.1678	5.4567	4.8578	11.4704	11.2597	8.1069	6.7452	11.1882	8.1747
PLAC1L|219990	0.0301	0	0	0	0	0	0	0	0
PLAC1|10761	1.4629	0.2101	0.1623	0.0947	0.5132	1.4817	1.9134	0.7355	0.4929
PLAC2|257000	0.098	0.0397	0.7771	0.0423	0.3376	0.0553	2.2544	12.2478	3.3304
PLAC4|191585	0.8037	0.9006	0.8578	0.7766	0.0373	0.1329	0.0821	0.2294	0.5281
PLAC8L1|153770	0.2044	0.2574	1.3757	0.2241	0.4286	0.2598	0.4516	0.7604	0.3894
PLAC8|51316	16.8952	31.8016	40.4949	27.7744	3.1043	24.962	0.1553	40.2841	0.2368
PLAC9|219348	4.2768	5.3023	6.8545	1.6513	0.9155	1.0627	0.8607	0.6835	1.0726
PLAG1|5324	1.6954	2.401	2.6195	1.2571	1.7056	1.822	0.9775	1.0581	6.9946
PLAGL1|5325	6.0294	4.1142	1.4441	1.0457	2.3344	1.8879	0.3077	1.3058	6.1533
PLAGL2|5326	10.4207	14.8951	23.9275	29.1798	6.0288	20.9654	13.213	20.1231	35.1745
PLAT|5327	5.9475	35.1572	22.6325	13.2316	57.8138	11.4119	21.7841	110.3952	45.6681
PLAUR|5329	35.4734	41.8455	35.5256	77.9554	16.0694	37.4968	32.6262	13.2886	25.6065
PLAU|5328	11.1992	59.9779	8.5573	15.0432	79.1459	29.687	123.9895	27.3033	101.4339
PLB1|151056	0.1432	0.4477	1.1991	0.4763	0.5104	0.4815	0.2331	0.2573	1.29
PLBD1|79887	64.8563	40.0477	73.3716	74.3621	43.0582	78.5853	6.8386	29.6611	25.8535
PLBD2|196463	17.1721	39.193	11.7067	18.0791	27.3767	24.3579	24.7331	12.1115	32.3281
PLCB1|23236	7.2968	7.5546	11.8026	1.8238	3.1061	3.5554	3.3072	1.3728	3.988
PLCB2|5330	2.0351	2.8864	0.5459	1.7201	1.01	8.0253	0.7899	0.8519	1.0327
PLCB3|5331	13.8083	9.3275	10.4101	28.6837	12.1152	18.557	24.8013	19.7672	13.1419
PLCB4|5332	3.6389	9.8248	6.1579	7.3065	0.6035	3.57	0.1497	0.6091	1.2687
PLCD1|5333	5.7626	3.019	2.866	1.6172	2.4449	4.7076	5.6873	7.974	5.0624
PLCD3|113026	17.5456	15.8131	18.7678	32.2899	5.6866	26.833	15.7759	11.6071	21.7829
PLCD4|84812	0.786	0.6197	0.7692	0.6943	0.5494	1.0615	1.3379	0.9805	1.1414
PLCE1|51196	1.9927	3.2278	6.1756	4.6704	1.3159	4.1636	0.5828	0.6502	3.1024
PLCG1|5335	10.9991	15.1732	9.9707	20.8445	8.284	8.6662	8.5435	11.3158	27.5687
PLCG2|5336	0.4862	3.5966	1.1759	3.8043	2.7218	5.8908	2.0827	6.0602	4.5724
PLCH1|23007	2.7918	2.8114	7.396	3.538	0.9028	4.199	0.2718	0.4796	1.0979
PLCH2|9651	0.26	0.434	0.1336	0.3776	0.827	0.0554	0.1051	13.5771	9.655
PLCL1|5334	0.3485	1.0009	0.3851	0.6497	0.8968	0.5136	0.3884	0.1004	0.4133
PLCL2|23228	2.2382	4.3706	3.1731	3.1219	0.7434	2.1521	0.671	0.388	0.8995
PLCXD1|55344	2.9687	2.9328	13.4059	4.1414	1.7813	8.251	5.9487	3.4992	2.116
PLCXD2|257068	1.4759	1.7746	1.9375	0.4453	0.0978	0.6325	0.2067	0.7361	6.6915
PLCXD3|345557	0.4915	0.3935	0.0333	0.1203	0.0305	0.0136	0.0021	0.0031	0.037
PLCZ1|89869	0.1077	0.0243	0.0161	0.0075	0.0531	0.0044	0	0.0093	0.0046
PLD1|5337	3.8726	5.2887	5.555	2.6393	7.4894	7.9569	6.2926	6.0291	30.0746
PLD2|5338	12.1407	7.9919	7.5593	12.0265	13.2997	8.3895	16.0782	20.2715	4.9254
PLD3|23646	26.5494	36.3165	32.6999	39.1939	44.3119	55.6113	47.3353	33.1024	96.8011
PLD4|122618	0.0831	7.7847	0.0477	0.626	1.4863	0.2912	0.549	1.5618	0.36
PLD5|200150	0.0143	0.0072	0	0	0	0	0.1015	0	0
PLD6|201164	4.8757	6.6975	4.4904	7.0939	3.0797	3.0502	1.757	3.8126	3.725
PLDN|26258	16.3474	16.929	10.4893	11.0763	16.114	13.1424	12.392	10.8835	12.9684
PLEC|5339	53.5135	70.8751	56.5271	127.677	55.5439	92.8441	231.2729	100.1575	196.2628
PLEK2|26499	27.701	17.9951	21.9567	33.5089	18.2651	23.2111	44.3663	11.9005	23.0386
PLEKHA1|59338	15.4708	16.7378	23.6798	21.5751	19.247	36.1604	12.7339	32.6051	30.4842
PLEKHA2|59339	9.879	9.7382	11.797	5.8094	9.4171	10.686	5.9747	6.7549	4.919
PLEKHA3|65977	12.8248	11.9131	7.2937	7.7589	9.964	7.2584	5.7473	7.3608	8.5738
PLEKHA4|57664	5.856	9.1442	4.1541	15.0451	4.8659	4.8383	1.2315	3.7829	7.4697
PLEKHA5|54477	6.368	5.3498	8.9803	4.6115	6.9772	4.4803	4.6846	3.1812	5.1267
PLEKHA6|22874	15.6953	20.1371	29.6149	33.8848	3.6502	11.7847	0.3589	4.2257	5.4038
PLEKHA7|144100	9.9446	11.2061	14.5055	11.2343	4.9595	8.3423	2.4879	8.7851	4.9375
PLEKHA8|84725	4.389	5.6058	1.855	3.6731	1.8465	3.0487	1.6505	2.5195	2.7101
PLEKHA9|51054	0	0	0	0	0	0	0	0	0
PLEKHB1|58473	35.473	23.08	155.0089	15.3361	1.0952	15.0426	0.4286	0.6578	6.634
PLEKHB2|55041	20.5898	29.5667	28.5152	25.6144	13.6721	38.0531	17.518	17.6608	12.4097
PLEKHF1|79156	1.135	3.5801	1.1363	0.949	5.7788	6.8032	10.8585	5.5529	6.6116
PLEKHF2|79666	13.3663	19.4957	9.7886	5.7622	12.3965	10.2285	11.5913	12.3913	9.2248
PLEKHG1|57480	4.8649	7.4413	6.4806	6.77	2.0056	4.9801	2.3903	4.1475	11.8568
PLEKHG2|64857	8.7157	11.2983	3.044	5.4333	3.1788	6.4695	10.8222	9.1558	8.5499
PLEKHG3|26030	5.2446	7.8117	7.1875	6.0971	9.0023	5.614	6.2996	18.8889	37.1825
PLEKHG4B|153478	0.4518	0.0497	0.4459	0.016	0.0393	0.0224	0.3561	0.4517	0.9477
PLEKHG4|25894	4.4268	1.7051	6.0654	9.6467	1.5032	20.5035	3.4646	3.4996	17.6571
PLEKHG5|57449	4.3862	2.2845	8.3008	3.3599	3.5944	13.1968	10.1092	7.1725	22.484
PLEKHG6|55200	15.6964	4.9534	11.6614	12.5775	3.5086	9.1275	8.8201	13.1543	9.3025
PLEKHG7|440107	0.287	0.1194	0.8699	0.1014	2.9066	0.1272	0.0195	0.6327	0.0047
PLEKHH1|57475	5.3198	5.547	6.2019	11.9774	1.6385	5.6713	0.3936	1.8315	2.9527
PLEKHH2|130271	3.6588	7.5858	1.5435	4.2108	1.5105	1.5231	2.371	0.6954	0.816
PLEKHH3|79990	10.8747	8.0124	8.3574	4.7398	5.0056	4.2191	6.4931	15.5432	4.6506
PLEKHJ1|55111	23.9819	16.3456	24.2632	14.3507	9.9048	11.5339	9.816	13.6612	10.9797
PLEKHM1P|440456	3.6943	5.6074	6.8401	10.7411	2.4617	2.1365	3.6479	3.6036	3.4791
PLEKHM1|9842	3.6464	6.4972	7.223	11.7087	4.6899	7.4853	6.8229	15.1717	7.8892
PLEKHM2|23207	18.2103	21.0164	16.0742	17.1599	20.6997	25.8474	30.8216	26.0679	31.8849
PLEKHM3|389072	1.6947	2.4029	2.4838	1.4271	1.2795	2.6851	1.1174	0.9486	3.0158
PLEKHN1|84069	2.7699	0.764	1.0137	1.6958	1.2516	5.1273	6.2172	11.3955	5.8873
PLEKHO1|51177	7.5863	8.5046	2.3012	5.2132	5.8406	4.0292	3.6188	7.7954	4.7299
PLEKHO2|80301	3.2559	13.6208	2.8273	6.2449	4.7124	15.8178	5.3384	3.8821	6.8285
PLEK|5341	1.1593	5.7621	1.8726	2.9256	2.6466	16.3647	3.8401	3.5534	1.0561
PLGLA|285189	0.0234	0	0	0	0	0	0	0	0
PLGLB2|5342	0.1045	0.0802	0.0856	0.0337	0.0454	0.0144	0	0.0556	0.0039
PLG|5340	0.006	1e-04	0	0	0.0473	0	0.0038	0.0057	0.0082
PLIN1|5346	0.2096	0.1071	0.1581	0.0598	0.0629	0.0346	0.0176	0.2286	0.1476
PLIN2|123	10.3993	31.7608	5.659	37.2121	3.2576	18.3425	24.7947	2.4412	6.9528
PLIN3|10226	26.4748	34.2601	20.5648	18.6627	19.1961	32.5139	64.054	84.0104	29.542
PLIN4|729359	1.9286	1.4808	0.2739	0.1015	0.3736	0.1383	0.3618	0.5083	0.548
PLIN5|440503	2.9758	3.2741	0.9245	0.3371	0.3359	0.3819	0.0421	0.5129	0.038
PLK1S1|55857	4.8387	5.1965	5.2567	5.942	18.9736	3.3897	6.1624	2.565	8.4001
PLK1|5347	61.2686	18.1831	36.9271	28.3016	43.5895	83.2323	49.4252	30.9773	36.3922
PLK2|10769	9.0202	31.4581	7.7515	8.3416	11.0495	12.0878	15.1826	7.7174	20.6322
PLK3|1263	6.0189	16.4301	15.2785	21.3181	2.7459	23.3677	10.4826	10.9421	14.754
PLK4|10733	5.5088	3.4573	4.2542	4.3079	4.3389	8.8412	7.1216	3.7377	4.207
PLK5P|126520	0	0	0	0	0	0	0	0	0
PLLP|51090	53.7394	16.4134	115.9669	70.4257	1.4927	15.6975	0.6458	13.2008	5.6971
PLN|5350	0.3011	4.8452	3.3207	0.4999	1.9498	0.6967	1.618	0.3496	1.8475
PLOD1|5351	44.5466	44.4208	36.8984	29.8876	55.9672	76.0969	43.6119	17.7086	107.443
PLOD2|5352	7.1918	27.0097	10.6746	4.3725	32.8982	13.9901	22.8598	5.8789	29.6835
PLOD3|8985	187.7986	62.2788	98.9941	39.8837	17.958	23.5808	51.7778	15.1051	40.0863
PLP1|5354	0	0.1048	0.0143	0.0142	0.0795	0.0092	0.0894	0.0537	0.0977
PLP2|5355	314.3044	125.9589	98.0211	184.0437	174.9753	128.8172	211.6034	497.7289	354.8868
PLRG1|5356	13.8476	10.3734	11.4868	14.3699	13.3662	18.3202	14.3608	13.8067	11.6959
PLS1|5357	44.1479	40.8831	63.5112	51.2526	20.8069	35.5971	1.3944	4.9838	13.8288
PLS3|5358	58.2908	40.3015	24.7412	24.1842	68.4407	31.417	205.4447	109.9525	69.3176
PLSCR1|5359	47.5367	43.3762	18.9577	33.7712	87.1347	20.0194	70.5832	23.1893	26.3249
PLSCR2|57047	0.4744	0.142	0.1313	0.0715	0.0592	0.1682	0.1114	0.0463	0.0543
PLSCR3|57048	12.954	7.6776	6.5318	7.6949	20.257	9.9756	25.2634	17.1564	13.7635
PLSCR4|57088	2.4901	8.9071	10.6907	3.8777	16.9807	3.3847	7.8102	2.8414	8.6679
PLSCR5|389158	0.0154	0	0	0	0	0	0	0.0344	0.0057
PLTP|5360	59.2411	34.3206	11.0596	18.1192	62.7834	97.8994	74.3227	62.1111	91.9718
PLUNC|51297	0	0	0	0	0	0	0	0	0
PLVAP|83483	69.4298	82.5058	57.4554	75.7436	28.1182	68.3749	32.8444	13.9561	23.761
PLXDC1|57125	2.9712	4.4455	1.4067	2.0411	0.8434	3.2171	2.1752	0.3631	2.8456
PLXDC2|84898	0.4402	16.178	2.7069	2.8857	7.4924	9.2205	4.7351	3.9135	15.0175
PLXNA1|5361	12.8652	8.5432	8.1662	7.1899	7.0843	20.8429	59.4494	21.0863	56.7372
PLXNA2|5362	4.5291	6.833	8.5951	13.8627	2.8776	8.1043	1.3747	17.434	10.0324
PLXNA3|55558	27.335	19.9851	12.4265	16.3342	5.4623	13.4831	8.968	7.0001	32.3345
PLXNA4|91584	0.0435	0.7001	0.3313	0.0707	0.0991	0.1048	0.1036	0.046	0.4945
PLXNB1|5364	11.068	21.004	12.3671	26.6371	8.7205	12.43	10.3282	22.6909	16.2778
PLXNB2|23654	56.8602	72.3733	131.0969	116.3627	71.9766	83.6243	80.2618	97.8326	226.9363
PLXNB3|5365	6.0827	0.8214	7.5254	0.1455	1.3997	3.7446	9.0323	3.7937	12.157
PLXNC1|10154	0.7896	4.0749	1.0095	2.2194	1.742	6.1435	3.0248	0.6724	4.4378
PLXND1|23129	16.6462	19.7295	19.9361	14.7758	6.9042	42.8643	8.0397	2.579	37.2475
PM20D1|148811	0.0622	0.6317	0.1079	0.2616	0.0323	0.0593	0.0439	0.2365	0.1485
PM20D2|135293	13.8213	8.8743	12.3415	9.6133	15.1583	5.6306	3.1433	6.0153	7.2504
PMAIP1|5366	4.6871	17.8055	2.2997	13.0064	16.4286	5.3445	11.5485	7.569	19.4803
PMCHL1|5369	0.0735	0	0	0	0	0	0	0.0107	0.0428
PMCHL2|5370	0	0	0	0.0033	0	0	0	0	0
PMCH|5367	9.9295	4.1955	3.3761	4.1398	8.4494	4.8797	2.2682	4.0354	1.7398
PMEPA1|56937	21.449	32.156	46.1632	31.7793	20.7574	38.8264	30.1049	5.8495	63.9854
PMF1|11243	0	0	0	0	0	0	0	0	0
PMFBP1|83449	0.1653	0.156	0.4932	0.3435	0.3055	0.0752	4.5173	0.2096	0.7377
PML|5371	5.5398	11.5568	7.4792	13.1638	22.5861	11.9439	28.855	18.9513	14.4428
PMM1|5372	13.8342	6.3736	7.1496	4.9013	10.7215	2.5908	11.4434	9.5495	15.3142
PMM2|5373	50.9522	29.5797	40.3415	21.2751	22.745	12.7717	16.0924	21.8705	17.341
PMP22|5376	8.1978	39.2404	7.6322	90.5394	13.4163	15.0558	18.3614	10.3203	24.5984
PMP2|5375	0.0358	0.0093	0.0358	5e-04	0.0257	0	0.0745	0.0034	0.0355
PMPCA|23203	7.0733	5.1191	4.734	9.7364	12.2324	7.423	4.8437	5.2324	3.5073
PMPCB|9512	22.8449	22.2232	37.0521	11.509	16.7389	8.7095	18.4354	14.603	17.8635
PMS1|5378	6.452	3.8169	5.5351	5.2182	5.434	5.0742	4.7129	3.5967	3.8774
PMS2CL|441194	2.7943	2.0341	1.7734	3.0619	1.6642	1.3001	1.5599	1.5347	2.585
PMS2L11|441263	0	0	0	0	0	0	0	0	0
PMS2L1|5379	0	0	0	0	0	0	0	0	0
PMS2L2|5380	0	0	0	0	0	0	0	0	0
PMS2L3|5387	0	0	0	0	0	0	0	0	0
PMS2L4|5382	0	0	0	0	0	0	0	0	0
PMS2L5|5383	0	0	0	0	0	0	0	0	0
PMS2|5395	4.8105	2.3831	2.8307	3.1796	3.7369	3.7717	3.8485	3.3249	2.7656
PMVK|10654	41.0039	18.1642	25.4094	25.6509	13.8633	24.4593	12.9991	49.5386	12.7722
PNCK|139728	0.1797	0.1253	0.0951	0.0102	0.982	0.1738	0.0771	1.9218	3.8242
PNKD|25953	42.24	63.6812	51.6439	28.6301	14.0995	27.5379	3.7913	5.2712	11.6968
PNKP|11284	18.321	13.423	11.0317	11.0502	8.3295	5.6181	8.8144	12.5738	12.8994
PNLDC1|154197	4.9478	0.0141	0.0476	0	0.0369	0.0286	0.0578	0.6635	1.153
PNLIPRP1|5407	0.0995	0.0163	0.3139	0.0412	0	0.021	0	0	0.0285
PNLIPRP2|5408	1.0526	0.0384	4.5633	1.8212	0.0303	0.0685	0	0	0.0119
PNLIPRP3|119548	0	0	0.0086	0	0.6077	0	18.7918	0.2428	0
PNLIP|5406	0.0057	0	0	0	0	0	0	0	0
PNMA1|9240	18.7336	19.724	4.0653	21.5795	7.4121	13.2564	14.3588	9.9031	16.6494
PNMA2|10687	10.0637	8.2706	2.9451	0.3118	0.1303	1.2726	0.1397	0.0098	0.246
PNMA3|29944	0.0524	0.2705	0.0046	0.0265	0.1035	0.0198	0.0382	0.0606	1.1912
PNMA5|114824	0.1439	0.0144	0.03	0.0083	0	0.0036	0.1792	0.0278	0.0404
PNMA6A|84968	0	0.0095	0	0	0	0	0	0	0
PNMAL1|55228	0.0133	0.7997	0.349	0.1423	0.1215	0.2661	0.1534	0	0.3217
PNMAL2|57469	0.1669	0.3011	0.1461	0.1364	0.1112	0.2315	0.1231	0.1444	0.4055
PNMT|5409	0.255	0.0933	0.3117	0.0736	0.0592	19.5928	0.0534	0.2068	8.028
PNN|5411	37.9123	32.6304	41.3403	43.6697	31.46	21.7604	15.3841	31.4597	23.2551
PNO1|56902	18.797	13.493	14.4826	18.7937	19.9684	18.3212	20.1553	15.9678	18.991
PNOC|5368	0.0642	0.2104	0.0503	0.3721	0.0185	0.731	0.0271	0.6996	0.0063
PNPLA1|285848	0.1081	0.0795	0.1373	0.0841	0.1583	0.2587	0.4568	0.41	0.0402
PNPLA2|57104	128.9764	95.7172	173.383	82.1717	51.5962	30.0524	39.527	33.1511	22.5915
PNPLA3|80339	1.1878	0.6032	1.4709	1.1945	1.6543	1.7106	1.2514	2.1451	5.0239
PNPLA4|8228	6.0336	1.0549	6.6339	2.824	5.5065	1.2341	1.8415	5.446	1.3537
PNPLA5|150379	0.0017	0	0	0	0.0066	0.0283	0	0.0091	0.5523
PNPLA6|10908	8.1534	12.0942	12.0815	17.4042	11.7558	16.0516	14.2447	15.959	13.6807
PNPLA7|375775	1.1068	1.2966	1.3399	0.7307	0.0964	0.1225	0.1162	0.2366	0.1148
PNPLA8|50640	13.0023	25.8569	6.4099	7.6771	18.4423	6.3827	17.9996	9.2126	14.9647
PNPO|55163	14.9317	12.6815	12.7646	11.0995	15.4541	9.7092	23.3078	9.0826	16.7511
PNPT1|87178	15.7461	9.9321	6.8803	14.7949	12.6861	13.3363	11.3923	9.0081	8.4221
PNP|4860	21.7738	31.4024	13.6373	40.4897	15.5972	27.0712	24.5755	28.8294	17.416
PNRC1|10957	46.536	63.057	32.175	31.3476	78.8014	24.5235	28.8312	28.441	14.7274
PNRC2|55629	5.868	0.0183	5.0147	1.879	2.2328	0.0134	0.9505	1.288	0.6712
POC1A|25886	6.5741	3.3159	4.5185	3.9525	3.2777	11.7466	5.539	4.7284	3.2429
POC1B|282809	0	0	0	0	0	0	0	0	0
POC5|134359	5.6102	4.8829	6.4178	3.5967	4.3904	4.4106	6.1129	2.6232	3.9931
PODNL1|79883	0.413	1.0462	0.5832	0.3585	1.1363	1.9587	3.4485	0.707	4.1317
PODN|127435	0.3965	41.2649	6.8913	3.5119	1.9129	5.1257	1.9835	0.2906	11.0589
PODXL2|50512	49.5839	24.3369	13.8327	30.776	11.5465	9.2915	6.6758	19.2886	48.549
PODXL|5420	7.0372	22.1196	9.5151	23.6035	9.2904	29.8181	7.56	2.184	9.0741
POF1B|79983	21.635	16.7113	32.2699	35.1984	7.7028	18.2291	0.3066	24.9694	5.1509
POFUT1|23509	18.0149	17.5399	25.1116	39.6777	17.03	22.4292	15.5568	14.6652	24.6545
POFUT2|23275	9.1865	5.1984	5.9804	4.6205	3.9154	3.6076	2.3762	2.1436	3.8796
POGK|57645	16.1026	18.4417	26.5092	28.6668	19.8083	21.7283	15.3991	25.5809	23.1906
POGZ|23126	12.6907	18.0389	13.8711	16.0924	8.8129	13.6887	6.5007	10.3385	12.6597
POLA1|5422	7.4117	4.9447	8.4979	5.3623	4.9434	7.4944	3.3683	3.3521	24.4287
POLA2|23649	11.0503	4.317	3.7688	5.615	11.4612	7.363	9.0197	9.6032	7.7943
POLB|5423	21.7737	16.4565	4.981	5.3218	10.6004	9.5768	11.0723	57.5992	4.7963
POLD1|5424	13.2435	4.7295	5.7818	11.1476	14.5797	9.2677	15.7092	12.3343	8.9131
POLD2|5425	50.786	26.3835	25.6516	48.2121	49.4803	29.6409	73.0037	60.5625	37.9329
POLD3|10714	16.6366	9.8433	47.6216	33.1521	7.9142	10.1664	4.0318	3.6478	24.1316
POLD4|57804	109.1262	35.9291	158.5664	44.7352	49.0203	45.0588	41.4095	63.83	30.5053
POLDIP2|26073	51.096	25.5056	39.4032	39.4459	43.5962	48.6185	72.3031	50.7157	27.3975
POLDIP3|84271	13.6283	15.9067	19.6366	19.9287	21.7826	36.5772	14.3438	26.4645	29.7434
POLE2|5427	6.3175	2.623	3.9721	4.8619	5.6824	4.8387	6.5228	4.1739	3.8028
POLE3|54107	27.0842	21.4388	51.1692	25.2823	72.8252	26.7029	33.7073	27.7608	18.8085
POLE4|56655	14.4195	13.9598	6.9627	11.3722	27.1142	12.124	25.4305	28.3428	26.5628
