TCGA-2H-A9GO-01A-11R-A37I-31	TCGA-L5-A4OT-01A-11R-A28J-31	TCGA-L5-A8NF-01A-11R-A37I-31	TCGA-L5-A8NH-01A-11R-A37I-31	TCGA-LN-A5U5-01A-21R-A28J-31	TCGA-R6-A8W5-01B-11R-A37I-31	TCGA-VR-A8EU-01A-11R-A36D-31	TCGA-VR-A8EX-01A-11R-A36D-31	TCGA-VR-AA7B-01A-31R-A406-31
ABHD14B|84836	13.3882	16.1175	19.1014	21.5012	13.8262	33.1548	10.0374	19.5273	10.4888
ABHD15|116236	10.5566	5.7667	9.72	5.9565	7.9807	5.3912	8.8993	5.9884	8.7396
ABHD1|84696	0.488	0.2193	0.1426	0.1956	0.1412	0.1588	0.1864	0.4167	0.3452
ABHD2|11057	14.5214	49.1052	79.0235	42.8949	45.825	46.9419	16.1242	13.1406	23.7211
ABHD3|171586	11.8705	12.1662	15.4682	7.9688	26.0775	6.8076	7.2608	4.854	5.6774
ABHD4|63874	8.5374	24.1503	8.1298	11.6388	67.9732	12.4801	13.9686	20.2316	11.926
ABHD5|51099	5.9027	6.3454	4.2305	3.6341	4.7156	4.9028	4.7474	9.3997	3.882
ABHD6|57406	3.624	4.8785	3.8064	2.6352	2.9176	3.8454	3.5575	4.2605	2.1527
ABHD8|79575	5.2315	4.7997	2.3128	3.7113	6.1938	9.5577	3.8051	5.3358	6.7564
ABI1|10006	27.3874	21.2355	21.2638	27.2708	15.4441	20.9517	33.7321	32.1826	17.9589
ABI2|10152	8.2638	8.2841	8.23	5.1521	6.272	6.6411	10.9281	2.8346	7.0448
ABI3BP|25890	0.0792	5.5846	1.3265	0.5607	1.2273	0.2266	0.5038	0.515	0.6541
ABI3|51225	1.2462	7.6949	1.6013	4.8151	3.8065	5.6743	3.9209	3.7283	1.4182
ABL1|25	12.5001	26.2712	14.8587	22.2378	31.4609	17.3661	20.5153	14.9874	17.3571
ABL2|27	3.6073	6.9772	2.9595	5.5537	3.0133	3.9451	5.6146	2.2048	8.8615
ABLIM1|3983	11.8212	22.49	87.1253	43.0085	14.2874	38.0693	25.3697	53.3703	15.2219
ABLIM2|84448	1.6473	0.9994	1.3434	4.195	1.0439	0.2681	2.738	2.2308	2.014
ABLIM3|22885	1.2413	2.6611	1.4185	1.2218	0.983	1.5884	7.8301	5.9634	4.4627
ABO|28	3.0327	2.2931	7.8469	4.8887	22.3821	4.6127	4.0869	2.852	15.5449
ABP1|26	4.8941	14.6003	11.7218	31.6866	4.7498	9.0334	0.057	0.6271	3.4064
ABRA|137735	0.0327	0.219	0.0489	0.0025	0.0055	0.0045	0.0116	0.0043	0.0172
ABR|29	14.6736	11.3169	20.8326	30.0792	18.8525	17.2705	15.4162	31.9265	14.0806
ABT1|29777	13.4494	8.1499	12.5216	10.0385	11.5517	12.7873	10.3721	15.5498	5.3926
ABTB1|80325	15.8961	11.3222	20.7904	12.3809	2.9697	6.0882	8.5003	9.1087	12.0209
ABTB2|25841	3.4678	20.9648	3.3234	16.8753	4.4789	5.9661	1.9582	2.8423	3.9481
ACAA1|30	84.7865	23.8455	13.9684	17.5639	19.6444	16.7761	11.1026	23.2359	10.691
ACAA2|10449	14.5581	17.3151	17.627	75.6048	3.0326	31.4215	14.8033	4.18	28.2478
ACACA|31	3.2616	6.6636	9.3132	8.8898	10.1834	30.1658	14.7025	13.1463	17.5487
ACACB|32	4.0366	5.8309	6.0121	3.0946	1.9043	1.2111	0.7102	0.3959	1.0138
ACAD10|80724	6.7709	3.685	6.7678	6.0048	6.9376	15.3656	2.9081	3.8173	2.8802
ACAD11|84129	0	0	0	0	0	0	0	0	0
ACAD8|27034	5.2376	3.8937	3.7002	3.5945	1.9156	3.927	1.1327	2.4245	2.3878
ACAD9|28976	25.3858	8.787	15.7802	9.2759	16.3233	10.864	13.9541	13.3059	13.6854
ACADL|33	0.1429	0.0401	0.1714	0.0095	0.078	0.111	0.0106	0.4218	0.8073
ACADM|34	22.5503	11.9756	14.0402	8.3183	39.5975	12.6551	9.0179	9.7852	9.3981
ACADSB|36	6.8616	4.1815	7.2606	4.2026	4.8181	6.7895	1.2929	6.9236	4.459
ACADS|35	12.9574	4.9083	6.9043	11.3283	14.4236	7.4703	4.4267	7.0663	10.0266
ACADVL|37	105.4799	34.6235	54.8018	60.0358	103.2493	37.8408	47.9803	51.8358	19.5141
ACAN|176	0.4276	0.8984	0.5795	1.9282	0.3768	1.219	0.4777	0.0731	0.2553
ACAP1|9744	1.563	2.7149	0.6746	2.28	1.4614	1.3027	1.0158	3.493	0.6267
ACAP2|23527	17.9663	12.026	17.1387	8.2071	22.6688	10.4203	20.103	11.9476	16.8697
ACAP3|116983	9.0407	5.1014	6.8406	6.2005	4.9135	5.0976	7.5201	14.8301	11.9224
ACAT1|38	17.3726	11.0446	3.8402	5.7139	7.4566	14.5242	3.1486	2.517	5.1136
ACAT2|39	26.289	11.7879	26.5096	17.2098	55.0069	20.3758	31.7643	23.5473	27.5068
ACBD3|64746	43.3977	50.307	45.094	34.4474	30.6563	34.2429	12.6677	27.6976	21.7574
ACBD4|79777	1.3911	1.5809	3.322	1.6335	1.5323	1.2696	0.5202	0.7967	2.3869
ACBD5|91452	21.9186	13.4627	13.1403	21.6683	8.9825	15.0547	8.6245	7.492	4.5542
ACBD6|84320	14.9359	11.604	6.6674	16.2156	17.8646	19.2562	12.3703	16.2576	15.6616
ACBD7|414149	0.4088	0.1004	0.7586	0.2027	1.0662	2.0505	0.2097	0.3965	0.5006
ACCN1|40	0	0	0	0	0	0	0	0	0
ACCN2|41	0	0	0	0	0	0	0	0	0
