TCGA-2Y-A9GS-01A-12R-A38B-07	TCGA-BW-A5NP-01A-11R-A27V-07	TCGA-DD-A119-01A-11R-A131-07	TCGA-DD-A1EK-01A-11R-A213-07	TCGA-DD-A3A9-01A-11R-A266-07	TCGA-FV-A2QQ-01A-11R-A22L-07
IL20RA|53832	8.8714	1.4641	0	0	4.1294	0
IL20RB|53833	61.1138	13.6652	19.6526	1082.0084	21.3352	18.159
IL20|50604	0	0	0	1.6736	0	0
IL21R|50615	24.1498	4.3924	9.1244	12.5523	21.3352	11.8973
IL21|59067	0	0	0	0	0	0
IL22RA1|58985	643.6668	383.6018	273.0304	1314.6444	262.2161	501.5654
IL22RA2|116379	0	0	0.7019	0	0.6882	0
IL22|50616	0	0	0	0	0	0
IL23A|51561	6.4071	7.8087	4.2113	7.5314	7.5705	15.0282
IL23R|149233	0	0	2.1056	0.8368	0	0
IL24|11009	0	0	0	6.1674	1.0599	2.0914
IL25|64806	0	0	0	0	0	0
IL26|55801	0.9857	0	0	0	0	0
IL27RA|9466	247.9054	63.4456	101.0704	192.4686	200.2753	358.7977
IL27|246778	106.9492	16.1054	56.1502	225.1046	41.2939	179.712
IL28A|282616	0	0	0	0	0	0
IL28B|282617	0	0	0	0	0	0
IL28RA|163702	207.9842	357.2474	121.4248	210.0418	2.7529	252.9743
IL29|282618	0.4929	0	0	0	0	1.2523
IL2RA|3559	11.8285	1.4641	0.7019	43.5146	10.3235	13.1497
IL2RB|3560	130.6062	22.938	36.4976	254.3933	84.6524	152.7865
IL2RG|3561	381.4687	62.4695	227.4083	389.1213	925.671	476.5185
IL2|3558	0	0	0	0	2.7529	1.2523
IL31RA|133396	0.4929	0	0	2.5105	0	0
IL31|386653	0	0.488	0	3.3473	0	0.6262
IL32|9235	15545.0961	1111.7618	65569.3981	9246.8619	5521.6793	57005.6356
IL33|90865	66.5352	95.1684	174.0656	76.1506	212.6635	132.1227
IL34|146433	161.656	44.9	188.8051	1123.0126	596.6965	142.7677
IL3RA|3563	105.9635	55.1489	273.0304	118.8285	493.4618	211.0207
IL3|3562	0	0	0	0	0	0
IL4I1|259307	97.5554	22.8062	39.8035	495.4979	64.6318	119.1547
IL4R|3566	1804.3371	835.0415	1285.8396	3953.9749	2193.393	2232.9368
IL4|3565	0	0	0	0	0	0
IL5RA|3568	0	0	0	0	0	0
IL5|3567	0	0.488	0.7019	0	0	0
IL6R|3570	771.3159	1077.1108	197.2276	1071.1297	109.4288	1371.9474
IL6ST|3572	1002.9571	270.8638	14.0376	1034.3096	13.0764	154.0388
IL6|3569	0.9857	2.4402	4.2113	19.2469	8.947	4.3832
IL7R|3575	4.4357	5.3685	0.7019	13.3891	4.8176	28.804
IL7|3574	64.5638	13.1772	102.4741	143.9331	35.0998	68.8791
IL8|3576	187.7772	53.1967	87.7347	280.3347	11.0117	140.8892
IL9R|3581	3.9428	0.488	0	0	0.6882	0
IL9|3578	0	0	0	0	0	0
ILDR1|286676	246.9197	7.3206	1.4038	56.9038	15.1411	8.7664
ILDR2|387597	31.0498	1.9522	7.0188	37.6569	0.6882	1.8785
ILF2|3608	3523.4105	6258.6628	6091.595	3050.2092	4626.2904	4459.6118
ILF3|3609	3755.0517	5950.2196	1994.7359	2921.3389	3435.6504	3572.3231
ILKAP|80895	511.5821	967.3011	583.2602	343.9331	779.766	617.4076
ILK|3611	2431.7398	2109.8097	1648.7103	2082.8452	4052.3056	1983.0933
ILVBL|10994	2095.1207	2420.205	3933.3216	2056.0669	4866.4831	3562.3043
IMMP1L|196294	77.2154	178.57	206.5626	62.728	80.2134	113.4565
IMMP2L|83943	153.2775	220.1074	407.089	282.0084	160.3579	1180.9643
IMMT|10989	3094.6279	1939.9707	2668.5383	2140.5858	2358.5685	2633.6882
IMP3|55272	1527.8462	1935.0903	3305.8431	1808.3682	1758.4308	1952.4108
IMP4|92856	1198.62	983.4065	1226.8819	1099.5816	1622.161	2665.623
IMP5|162540	0	0	0	0	0	0
IMPA1|3612	644.1597	745.7296	1462.0109	387.4477	289.0571	693.8009
IMPA2|3613	2108.4278	423.6213	1803.8252	2551.4644	1250.5162	2767.0632
IMPACT|55364	712.6663	255.7345	595.894	335.5649	229.8692	599.8748
IMPAD1|54928	2337.6047	2210.8346	3329.0051	5408.3682	1208.5341	3552.9117
IMPDH1|3614	866.9295	367.9844	141.7793	723.8494	615.967	447.0883
IMPDH2|3615	3551.5032	4741.3372	4440.7791	1214.2259	4860.2891	1716.3431
IMPG1|3617	0.4929	0	0	0	0	0
IMPG2|50939	1.9714	0.488	2.1056	5.0209	2.0647	2.5047
INADL|10207	2134.0562	842.3621	656.9574	1023.431	67.4467	733.876
INA|9118	6.4071	0	0	8.3682	1.3765	1.2523
INCA1|388324	10.8428	29.2826	13.3357	11.7155	46.7997	26.9255
INCENP|3619	440.6111	166.4226	80.7159	213.3891	74.329	71.3838
INE1|8552	10.3499	6.8326	4.9131	2.5105	0	5.0094
INE2|8551	7.5407	7.9453	8.0505	1.7573	13.3586	18.7539
INF2|64423	3780.1873	3421.6691	2740.8317	5389.1213	6413.627	4822.7927
ING1|3621	203.1543	324.8951	289.1735	706.1757	207.8458	260.5761
ING2|3622	99.5564	132.2596	218.2839	205.0209	222.2987	196.6187
ING3|54556	140.9561	264.5193	74.399	77.8243	67.4467	77.6456
ING4|51147	311.4835	356.7594	588.8752	349.7908	816.2423	440.2004
ING5|84289	485.4608	948.7555	407.7908	159.8326	265.6573	564.809
INGX|27160	0.9857	0	0	0	0	1.2523
INHA|3623	2.4643	134.6999	5.615	0.8368	5.5058	0.6262
INHBA|3624	106.4564	4.8804	9.1244	255.2301	38.5409	12.5235
INHBB|3625	124.1991	1845.7784	924.3727	1135.5649	4512.7323	631.8096
INHBC|3626	903.4007	571.0102	155.8168	2573.2218	716.4487	358.1716
INHBE|83729	1249.3839	5518.7897	292.6829	11706.2762	13737.0957	494.0513
INMT|11185	123.7063	76.0371	633.7954	62.7615	598.7612	403.2561
INO80B|83444	665.0616	372.4207	807.1592	359.5397	581.81	559.7182
INO80C|125476	306.555	132.7477	376.2064	273.6402	176.1872	502.8178
INO80D|54891	397.3731	764.49	187.0363	223.2469	251.2595	212.4796
INO80E|283899	753.445	425.5393	1042.4145	448.4937	1074.1913	755.6168
INO80|54617	1013.307	722.3036	330.5843	498.7448	549.8968	577.9587
INPP1|3628	593.3958	506.5886	513.7743	589.9582	210.5988	489.042
INPP4A|3631	413.997	276.2323	137.568	355.6485	278.7337	334.377
INPP4B|8821	15.2785	5.3685	1.4038	6.6946	26.841	21.9161
INPP5A|3632	393.79	1123.9629	616.9503	561.5063	1022.7116	530.9956
INPP5B|3633	512.0749	258.1747	256.8872	461.9247	141.0874	132.7489
INPP5D|3635	262.1981	173.2552	155.1149	299.5816	325.5334	244.8341
INPP5E|56623	115.3277	252.3182	187.4013	153.9749	339.298	217.9086
INPP5F|22876	145.8847	339.6779	98.9647	108.7866	199.5871	112.7113
INPP5J|27124	17.7427	16.1054	8.4225	8.3682	92.223	12.5235
INPP5K|51763	415.4756	559.2972	496.2274	273.6402	1214.0399	617.4076
INPPL1|3636	1743.2233	886.286	1379.1893	2435.9833	1757.0544	1284.9092
INS-IGF2|723961	0.4929	0.4978	0	106.6611	17.8045	0
INSC|387755	9.3642	11.225	2.8075	11.7155	0	8.7664
INSIG1|3638	5757.516	4240.1171	38763.9937	8178.2427	1926.3593	34786.4746
INSIG2|51141	586.9887	846.7545	1143.3585	833.4728	271.8513	885.4101
INSL3|3640	1.4786	0.488	0	0	1.3765	2.5047
INSL4|3641	0	0	0	0	0	0
INSL5|10022	0	0	0	0	0	0
INSL6|11172	0	0	0	14.2259	0	0
INSM1|3642	0	20.9858	0	0	8.2588	0.6262
INSM2|84684	0.4929	0	0.7019	0	0	1.2523
INSRR|3645	0.9857	16.1054	0	0	6.8823	0
INSR|3643	1869.3938	2445.5832	4159.3262	6861.9247	6621.4728	5291.1709
INS|3630	0	0	0.7019	0	0	0
INTS10|55174	876.2937	543.6798	381.8214	829.2887	1065.382	638.0714
INTS12|57117	310.9906	313.3236	244.2534	291.2134	221.6105	425.7984
INTS1|26173	5423.3613	1253.7823	2517.6347	3763.1799	2205.7811	4767.6894
INTS2|57508	225.2341	150.3172	75.1009	246.0251	119.064	79.5241
INTS3|65123	1433.7112	2448.5115	1113.8796	1456.0669	2318.6511	1905.4477
INTS4L1|285905	19.7141	19.0337	1.4038	13.3891	2.7529	5.0094
INTS4L2|644619	11.3356	5.8565	0	5.0209	0.6882	3.757
INTS4|92105	633.8098	514.3973	374.8026	291.2134	434.9621	307.4515
INTS5|80789	1043.3711	535.8712	1024.7412	987.4477	708.19	518.4721
INTS6|26512	536.7176	1543.1918	420.4246	451.046	366.8273	651.8472
INTS7|25896	975.8502	983.8946	473.0655	723.8494	1066.7584	544.1453
INTS8|55656	521.9369	942.2548	501.5687	457.6234	280.1101	557.6456
INTS9|55756	150.3204	102.489	61.0633	173.2218	236.7515	122.7301
INTU|27152	6.9	15.1293	4.2113	11.7155	8.947	32.5611
INVS|27130	186.7915	398.243	123.5304	97.9079	123.1934	128.3657
IP6K1|9807	1567.2745	1057.101	1177.7505	1035.1464	914.6593	1169.6932
IP6K2|51447	1061.1138	1448.0234	1491.4897	594.1423	1026.1528	1309.33
IP6K3|117283	3.45	20.9858	2.8075	1062.7615	41.2939	6.8879
IPCEF1|26034	7.8857	7.8087	15.4413	18.41	24.7763	24.4208
IPMK|253430	27.1069	22.938	2.8075	55.2301	0.6882	4.3832
IPO11|51194	488.6644	564.3094	532.0232	309.6234	459.7385	305.2223
IPO13|9670	1061.6067	437.7745	907.5276	1297.0711	622.8493	494.0513
IPO4|79711	1604.554	1223.8214	850.2474	1323.4644	591.8789	1436.5686
IPO5|3843	1657.4667	7050.2684	1759.6069	2051.8828	1343.4274	2019.4114
IPO7|10527	3904.8793	3070.2782	2347.7803	2215.0628	1408.8094	1323.732
IPO8|10526	833.4155	1169.8389	832.4267	805.8577	905.0241	730.119
IPO9|55705	2406.1114	2627.6232	821.8986	2355.6485	2434.9621	1346.2743
IPPK|64768	128.4032	200.1513	106.3976	119.5565	158.7268	92.7426
IPP|3652	242.484	86.8716	114.406	272.8033	35.0998	57.608
IPW|3653	137.5752	1260.9175	136.838	14.0669	202.925	683.7821
IQCA1|79781	9.3642	8.7848	3.5094	5.0209	10.3235	2.5047
IQCB1|9657	358.7974	442.655	81.4178	66.9456	128.6992	243.5817
IQCC|55721	78.3637	26.8424	27.3732	27.6151	44.0468	32.5611
IQCD|115811	76.8852	2.4402	32.2864	51.046	7.5705	8.7664
IQCE|23288	558.4032	342.6061	108.0891	277.8243	468.6855	538.5097
IQCF1|132141	0	0	0	0	0	1.2523
IQCF2|389123	0	0	0	0	0	0
IQCF3|401067	0	0	0	0	0	0
IQCF5|389124	0	0	0	0	0	0
IQCF6|440956	0	0	0	0	0	0
IQCG|84223	51.2568	34.163	40.7089	78.6611	64.6937	61.9912
IQCH|64799	24.6427	59.5412	2.1056	4.1841	0.6882	3.1309
IQCJ|654502	0	0	0	0	0	0
IQCK|124152	68.9995	46.8521	87.7347	36.8201	99.1053	149.0294
IQGAP1|8826	1665.3524	738.409	499.7368	1111.2971	1130.7639	659.3613
IQGAP2|10788	4169.0488	4998.5359	2533.076	6066.9456	2370.9566	2849.092
IQGAP3|128239	580.5816	353.3431	188.1032	337.2385	278.7337	737.6331
IQSEC1|9922	3471.1681	4448.0234	1709.7736	4166.5272	3929.8004	3257.3575
IQSEC2|23096	56.1853	28.7945	25.9695	46.0251	96.3524	29.4302
IQSEC3|440073	1.4786	0	0.7019	5.0209	0.6882	3.757
IQUB|154865	0.4929	0	0	0	0.6882	0.6262
IRAK1BP1|134728	14.8398	11.225	2.1056	6.6946	6.1941	18.3594
IRAK1|3654	5877.7723	2562.7135	1624.1446	2474.477	4767.3778	4340.0125
IRAK2|3656	1245.934	1000	500.4387	671.1297	238.8162	728.8666
IRAK3|11213	59.6353	21.9619	39.3051	83.682	42.6703	41.9537
IRAK4|51135	271.5623	238.165	225.3027	190.795	248.4515	196.6187
IREB2|3658	1293.2479	1585.1635	734.1639	865.272	639.3668	784.5961
IRF1|3659	1996.274	650.9956	977.0135	886.9958	1317.2264	1061.3024
IRF2BP1|26145	693.9379	1073.2064	1182.6636	1089.5397	2784.5836	939.2611
IRF2BP2|359948	6385.4115	12158.614	6589.2262	8693.7238	11502.4088	7524.1077
IRF2|3660	682.1094	59.0532	385.3308	1181.59	434.2739	625.5479
IRF3|3661	1192.8093	1162.7038	2100.3755	1349.6485	2599.7109	1512.1165
IRF4|3662	9.8571	3.4163	5.615	0.8368	21.3352	10.645
IRF5|3663	592.4101	187.8965	214.7745	304.6025	760.4955	589.856
IRF6|3664	1355.3475	289.8975	353.7463	2969.8745	887.8183	1139.0106
IRF7|3665	1150.8132	240.1171	1360.2386	760.6695	889.883	874.7652
IRF8|3394	810.7442	330.4051	245.6571	457.7406	212.6635	649.9687
IRF9|10379	966.1804	753.0844	2353.3953	1142.2594	1379.9036	1213.5254
IRGC|56269	0	0	0	0	0	0
IRGM|345611	27.5998	0	0	2.5105	1.3765	0.6262
IRGQ|126298	530.8034	605.6613	606.4222	362.3431	934.618	854.1014
IRS1|3667	2310.0049	2593.9483	1068.9595	2464.4351	298.6924	1477.1446
IRS2|8660	940.3647	1028.3065	3305.8431	2343.9331	255.3338	3902.3168
IRS4|8471	0	0	0	0	0	0
IRX1|79192	0	0	0	0	0	0
IRX2|153572	0.9857	0	1.4038	1.6736	0.6882	0
IRX3|79191	0.4929	381.1615	4.2113	2.5105	126.6345	212.8992
IRX4|50805	0	0	0	0	0	0
IRX5|10265	18.7284	5.8565	2.1056	5.8577	11.6999	2.5047
IRX6|79190	0	3.4163	0	0.8368	0	0.6262
ISCA1P1|389293	46.8211	96.1445	84.2253	47.6987	64.0055	67.0006
ISCA1|81689	388.8615	1047.6428	869.6263	461.0879	844.4597	660.6137
ISCA2|122961	352.3903	502.1962	799.4385	476.1506	551.2732	565.4352
ISCU|23479	1161.656	1227.428	3163.362	1445.1883	1907.777	1770.1941
ISG15|9636	864.4653	1556.857	6441.8319	809.205	773.5719	905.4477
ISG20L2|81875	585.5101	878.4773	385.3308	580.7531	549.8968	542.2668
ISG20|3669	226.2198	133.2357	1142.6566	101.2552	646.2491	352.536
ISL1|3670	0	0	0	0	0	0
ISL2|64843	2.4643	0.9761	0.7019	0	11.6999	0
ISLR2|57611	25.6284	3.9043	10.5282	10.0418	15.1411	15.0282
ISLR|3671	658.9453	53.1967	896.2976	49.3724	1180.3166	385.7232
ISM1|140862	122.7206	59.5412	9.1244	432.636	20.6469	68.8791
ISM2|145501	0.4929	0.488	0	8.3682	2.7529	0
ISOC1|51015	1165.106	1299.1703	2578.698	2041.0042	786.6483	1462.1165
ISOC2|79763	1394.2829	1711.5666	3864.5376	4107.9498	4993.8059	5221.6656
ISPD|729920	18.7284	14.1532	45.622	165.6904	23.3999	125.861
ISX|91464	453.4253	70.7662	44.2183	95.3975	124.5699	306.1991
ISY1|57461	551.0103	576.3787	485.6992	338.0753	631.7963	387.6018
ISYNA1|51477	245.934	789.6535	645.7273	96.2343	920.8534	246.7126
ITCH|83737	2595.86	1393.8507	1584.8394	1864.4351	1131.4522	1144.02
ITFG1|81533	1546.5747	468.5212	1921.7407	1738.9121	707.5017	1139.6368
ITFG2|55846	116.8063	256.7106	113.0023	251.046	496.2147	201.6281
ITFG3|83986	2503.5485	1082.9868	2228.4611	2930.0753	3362.5671	1888.541
ITGA10|8515	41.3997	6.8326	16.8451	0.8368	28.2175	26.9255
ITGA11|22801	88.7137	27.3304	66.6784	143.9331	328.2863	89.5429
ITGA1|3672	2472.9423	1413.2113	709.5982	3556.9289	688.9195	931.8535
ITGA2B|3674	0	1.4641	1.4038	17.5732	2.0647	1.2523
ITGA2|3673	162.6417	396.2909	90.5422	37.6569	566.4143	54.4771
ITGA3|3675	215.8699	55.1489	185.2957	517.1548	721.9546	140.263
ITGA4|3676	169.0291	37.2962	37.4101	84.7699	62.8562	69.0106
ITGA5|3678	2796.9443	3233.2845	1209.335	5352.3013	10977.2884	1979.9624
ITGA6|3655	2315.9192	3534.407	906.8258	1649.3724	2027.5292	1022.5423
ITGA7|3679	1248.8911	93.2162	193.0163	415.8996	734.3427	579.8372
ITGA8|8516	0.4929	0.9761	0	2.5105	0	1.8785
ITGA9|3680	38.9354	11.713	49.1314	25.1046	69.5114	157.7959
ITGAD|3681	3.9428	4.8804	6.3169	5.8577	2.0647	11.2711
ITGAE|3682	61.6067	1379.2094	96.8591	40.1674	207.1576	151.5341
ITGAL|3683	1521.932	208.8824	396.5608	920.5021	392.98	1313.087
ITGAM|3684	762.9374	18.5456	114.406	554.8117	50.9291	188.4784
ITGAV|3685	4427.7969	1251.8302	1119.4946	1811.7155	600.8259	959.9249
ITGAX|3687	470.6752	43.4358	178.2769	430.9623	103.9229	207.8898
ITGB1BP1|9270	812.2228	991.7033	578.3471	579.0795	1008.2588	768.9418
ITGB1BP2|26548	57.171	2.9283	33.6901	15.0628	14.4529	47.5892
ITGB1BP3|27231	0.9857	0	0	9.205	0	0
ITGB1|3688	8299.655	15127.8673	9422.0039	13036.8201	12489.3324	6940.5135
ITGB2|3689	1509.6106	277.6964	605.7203	2316.318	722.6428	1370.6951
ITGB3BP|23421	189.2558	148.8531	105.2816	108.7866	198.8988	148.4033
ITGB3|3690	175.9487	20.9858	10.5282	136.8703	13.0764	21.2899
ITGB4|3691	685.0665	357.2474	195.8238	197.4895	2189.2636	130.8704
ITGB5|3693	5422.3756	4319.6681	2328.8296	5707.9498	15803.1659	3947.4014
ITGB6|3694	32.0355	5.3685	9.8263	5.8577	4.1294	5.6356
ITGB7|3695	231.6412	99.0727	45.622	176.569	105.2994	298.0589
ITGB8|3696	15.7713	1.9522	3.5094	24.2678	10.3235	11.2711
ITGBL1|9358	151.3061	59.5412	210.5633	105.4393	213.3517	130.2442
ITIH1|3697	49917.2006	12044.4119	52713.8094	48502.9289	21671.7137	61180.9643
ITIH2|3698	67324.7905	99846.2665	32573.4339	54348.1172	120701.3076	60764.5585
ITIH3|3699	25579.5959	17127.8673	54232.6724	42805.8577	150838.9539	44108.3281
ITIH4|3700	38374.0759	5485.6027	74928.9349	109363.1799	42643.4893	59063.8698
ITIH5L|347365	0	0	0	0	0	0
ITIH5|80760	247.4125	872.1327	10.5282	100.4184	685.4783	18.7852
ITK|3702	30.5569	13.1772	11.23	20.9205	35.788	57.608
ITLN1|55600	0.4929	1.4641	0.7019	2.5105	0	1.8785
ITLN2|142683	0	13.6652	12.6338	1.6736	0.6882	121.4778
ITM2A|9452	123.2134	79.063	169.8544	9.205	304.8864	155.2912
ITM2B|9445	9171.5131	15616.3982	18104.2288	11857.7406	8060.5643	21523.4815
ITM2C|81618	2853.1296	2397.755	1376.3818	323.0126	2234.6869	1795.2411
ITPA|3704	1034.9926	1233.7726	1572.2057	350.6276	1506.5382	1123.3563
ITPK1|3705	3844.7511	2245.4856	4148.0962	2649.3724	4843.0833	4224.7965
ITPKA|3706	197.6343	210.8346	72.9953	241.0042	955.265	50.0939
ITPKB|3707	236.5697	134.2118	172.6619	212.5523	346.1803	251.722
ITPKC|80271	1033.0212	848.7067	998.0698	1133.8912	1421.8858	1457.1071
ITPR1|3708	453.4253	123.9629	119.3192	461.0879	222.9869	207.2636
ITPR2|3709	2289.3051	1953.6359	2144.9377	3492.0502	2358.5685	3615.5291
ITPR3|3710	101.6511	156.7545	41.509	155.1548	144.68	73.1371
ITPRIPL1|150771	7.8857	1.4641	1.4038	3.3473	6.1941	7.5141
ITPRIPL2|162073	1502.7107	427.0376	713.1076	417.5732	705.437	974.953
ITPRIP|85450	272.0552	145.4368	361.4669	719.6653	534.7557	415.1534
ITSN1|6453	972.4002	621.2787	312.3355	1936.4017	577.426	1395.1158
ITSN2|50618	1533.7605	1020.9858	543.9551	1232.636	864.4184	772.0726
IVD|3712	5354.3618	2737.4329	3338.1295	4730.5439	2963.5237	8666.8754
IVL|3713	0.9857	0	0	0.8368	89.4701	0
IVNS1ABP|10625	999.5071	1809.1752	1678.891	1265.272	807.2953	1056.9818
IWS1|55677	1168.5559	1637.8721	868.2225	1065.272	1257.3985	1338.134
IYD|389434	684.5737	30.2587	482.1899	144.7699	61.9408	373.1997
IZUMO1|284359	1.9714	0.488	2.8075	0.8368	1.3765	0
JAG1|182	521.932	1252.8062	751.7108	326.3598	1507.9147	350.6575
JAG2|3714	282.4051	186.4324	421.1265	310.4603	998.6235	387.6018
JAGN1|84522	1260.2267	2144.9488	1542.7268	874.477	836.8892	1485.2849
JAK1|3716	4852.1439	1591.02	1819.9684	2787.4477	1586.373	3517.846
JAK2|3717	118.7777	131.2836	78.6103	187.4477	77.7701	61.3651
JAK3|3718	129.6205	30.7467	128.4436	91.2134	324.8451	206.0113
JAKMIP1|152789	6.4071	0.9761	6.3169	4.1841	11.6999	16.2805
JAKMIP2|9832	9.3642	3.4163	2.1056	35.6151	7.5705	28.0589
JAKMIP3|282973	24.6427	2.4402	7.0188	1.6736	6.1941	19.4114
JAM2|58494	56.1853	35.6271	138.2699	8.3682	230.5575	46.9631
JAM3|83700	213.8985	245.9736	306.7205	169.8745	671.0255	213.5254
JARID2|3720	220.3056	751.0981	248.4646	284.5188	200.9635	245.4602
JAZF1|221895	767.3731	131.7716	229.5139	527.1967	243.6339	981.2148
JDP2|122953	345.9832	272.816	148.0962	357.3222	216.7928	286.1616
JHDM1D|80853	445.5397	710.5905	289.1735	538.9121	264.2808	446.4621
JKAMP|51528	591.4243	868.2284	1186.8749	800.8368	616.6552	715.717
JMJD1C|221037	771.8679	1729.6242	525.0044	849.3724	382.6566	510.958
JMJD4|65094	771.0892	878.3943	1616.3327	510.7866	2098.6098	1711.0958
JMJD5|79831	351.8975	59.5412	138.2699	454.3933	88.7818	410.144
JMJD6|23210	671.7595	456.3202	605.0184	404.1841	407.4329	648.7163
JMJD7-PLA2G4B|8681	494.825	325.0366	198.6313	263.5983	531.3145	415.7796
JMJD8|339123	1875.8206	605.5344	1666.4257	2056.3347	1651.4659	2437.2949
JMY|133746	417.447	775.0122	395.157	309.6234	178.2519	423.2937
JOSD1|9929	1367.6688	980.9663	977.7154	974.8954	918.1005	1038.1966
JOSD2|126119	401.6757	344.5583	886.4713	400	1211.9752	939.8873
JPH1|56704	31.5426	9.2728	76.5046	41.0042	28.9057	6.2617
JPH2|57158	11.3356	1.9522	23.162	18.41	24.0881	5.0094
JPH3|57338	0.4929	0.9761	0	0.8368	3.4412	2.5047
JPH4|84502	5.9142	2.9283	7.0188	7.5314	9.6352	5.6356
JRKL|8690	271.5623	349.9268	97.561	461.0879	82.5877	81.4026
JRK|8629	296.6979	628.1113	286.366	87.0293	77.7701	321.2273
JSRP1|126306	0.9857	1.9522	4.2113	1.6736	0.6882	4.3832
JTB|10899	3166.5845	6121.0347	11214.5991	4577.4059	7690.2959	6126.4872
JUB|84962	1694.4308	1740.3612	295.4904	1923.8494	1335.8568	1686.2868
JUNB|3726	1117.792	1198.1454	4171.2581	3210.0418	4919.4769	2425.1722
JUND|3727	1852.1439	3348.4627	8115.1079	2520.5021	5458.362	4542.8929
JUN|3725	3354.3618	1682.7721	2036.8486	6626.7782	1611.1493	2562.9305
JUP|3728	7037.4569	2929.2338	5699.9474	3087.8661	6993.1177	5599.8748
KAAG1|353219	2.277	98.5359	4.9131	3.3891	57.5705	22.0163
KAL1|3730	22.1784	7.3206	32.2864	11.7155	30.9704	28.1778
KALRN|8997	636.274	258.6628	483.5936	585.7741	173.4343	427.0507
KANK1|23189	1477.0823	4628.5993	1008.598	5601.6736	1130.0757	864.7464
KANK2|25959	1464.761	2058.0771	1718.8981	4596.6527	1934.618	1311.2085
KANK3|256949	106.9492	88.3358	200.737	91.2134	441.1562	208.516
KANK4|163782	0.4929	8.7848	5.615	13.3891	2.0647	1.8785
KARS|3735	3475.6037	2014.1532	2893.1391	2163.1799	2813.4893	3795.2411
KAT2A|2648	1592.9029	1483.1625	785.4009	646.0251	887.1301	1345.6481
KAT2B|8850	1126.1705	1091.7521	727.1451	1510.4603	560.2202	680.025
KAT5|10524	900.3647	820.776	718.6173	796.1674	1120.1583	912.2292
KATNA1|11104	301.6264	169.8389	182.4882	81.1715	378.5272	239.8247
KATNAL1|84056	319.3691	193.7531	91.2441	200.8368	61.2526	191.6093
KATNAL2|83473	72.9423	11.225	19.6526	15.8996	13.0764	36.3181
KATNB1|10300	519.9606	219.6193	323.5655	441.841	587.0613	522.2292
KAZALD1|81621	4.4357	17.9453	29.3806	94.4854	35.4301	10.645
KAZ|23254	23.9576	177.389	41.4108	36.2092	80.9566	41.5967
KBTBD10|10324	17.9251	7.9844	2.1618	2.5105	9.6352	10.4759
KBTBD11|9920	17.7427	25.8663	110.8966	67.7824	139.7109	9.3926
KBTBD12|166348	0.4929	0	0	0.8368	0	0.6262
KBTBD13|390594	0	0	0	0	0	0
KBTBD2|25948	1058.1567	1061.0054	620.4597	692.887	933.9298	794.6149
KBTBD3|143879	71.4638	162.6013	143.8849	27.6151	117.6875	60.1127
KBTBD4|55709	399.7831	296.0957	58.691	285.3054	194.4529	171.3212
KBTBD5|131377	0	0	0	0	0	0
KBTBD6|89890	225.727	730.6003	326.373	172.3849	114.9346	225.4227
KBTBD7|84078	85.7565	178.1357	38.6033	71.1297	9.6352	38.1966
KBTBD8|84541	92.6565	3.9043	11.23	40.1674	12.3882	36.9443
KC6|641516	0.4929	0	0	4.1841	0	0
KCMF1|56888	1253.8196	1916.0566	1485.1728	1279.4979	1872.6772	1544.7714
KCNA10|3744	0.4929	0	0.7019	0	0	0
KCNA1|3736	0	0	0.7019	0	0	0
KCNA2|3737	0.4929	0	2.1056	0	0	0
KCNA3|3738	9.3642	0.9761	1.4038	1.6736	2.0647	5.6356
KCNA4|3739	1.4786	0	0	0	0	0
KCNA5|3741	6.9	1.9522	22.4601	5.0209	36.4763	2.5047
KCNA6|3742	2.4643	1.9522	3.5094	0.8368	4.8176	1.2523
KCNA7|3743	0	0	0	0	0	0
KCNAB1|7881	18.7284	96.1445	35.7958	18.41	64.6937	21.9161
KCNAB2|8514	1559.8817	188.8726	167.0469	2061.0879	128.6992	168.4408
KCNAB3|9196	5.4214	0	0.7019	0	0	6.2617
KCNB1|3745	5.4214	0.488	7.0188	67.7824	1.3765	13.1497
KCNB2|9312	0	0	0	0	0.6882	0
KCNC1|3746	2.4643	0.9761	1.4038	0	0	0
KCNC2|3747	1.9714	0	0	0.8368	0	0.6262
KCNC3|3748	69.4924	256.7106	110.8966	277.8243	13.0764	136.5059
KCNC4|3749	103.0064	59.0532	84.9272	43.5146	125.9463	63.2436
KCND1|3750	90.1922	22.45	18.2488	32.636	35.0998	40.7013
KCND2|3751	7.3928	0.488	2.1056	1.6736	4.8176	1.8785
KCND3|3752	38.4426	2.4402	11.23	144.7699	2.7529	52.5986
KCNE1L|23630	26.1212	12.2011	32.9882	4.1841	15.8293	1.8785
KCNE1|3753	0.4929	0.9761	0.7019	25.1046	0	0.6262
KCNE2|9992	0.9857	4.8804	19.6526	5.8577	8.947	5.0094
KCNE3|10008	112.3706	355.2953	141.0774	347.2803	51.6173	79.5241
KCNE4|23704	44.8497	35.1391	190.9107	55.2301	306.9511	86.412
KCNF1|3754	0	35.1391	293.3848	0.8368	479.6972	5.6356
KCNG1|3755	2.9571	28.7945	4.9131	11.7155	49.5526	0.6262
KCNG2|26251	2.9571	0.488	0	3.3473	0	0.6262
KCNG3|170850	0	0	0	2.5105	0.6882	0
KCNG4|93107	0	0	0	0.8368	0	0
KCNH1|3756	0.9857	1.9522	0	3.3473	0.6882	0.6262
