TCGA-5L-AAT1-01A-12R-A41B-07	TCGA-A2-A0CS-01A-11R-A115-07	TCGA-A2-A0SV-01A-11R-A084-07	TCGA-A2-A0SW-01A-11R-A084-07	TCGA-A2-A0T2-01A-11R-A084-07	TCGA-A8-A07W-01A-11R-A00Z-07	TCGA-A8-A08J-01A-11R-A00Z-07	TCGA-A8-A08O-01A-21R-A056-07	TCGA-A8-A08T-01A-21R-A00Z-07	TCGA-AC-A62V-01A-11R-A31O-07	TCGA-AN-A0FJ-01A-11R-A00Z-07	TCGA-AO-A0J5-01A-11R-A034-07	TCGA-B6-A0I9-01A-11R-A034-07	TCGA-B6-A0IB-01A-11R-A034-07	TCGA-B6-A0X1-01A-11R-A109-07	TCGA-BH-A18J-01A-11R-A12D-07	TCGA-BH-A1FH-01A-12R-A13Q-07	TCGA-LL-A73Z-01A-11R-A32P-07	TCGA-PL-A8LX-01A-11R-A41B-07	TCGA-UU-A93S-01A-21R-A41B-07
LRRC37A4|55073	187.3594	38.7633	150.4609	96.9586	78.9122	94.2973	168.5595	142.4555	130.995	16.2246	234.0936	54.9481	62.7788	48.8041	88.599	59.643	291.6634	119.8026	97.8703	26.7728
LRRC37A|9884	379.7881	257.4988	356.4185	512.433	244.7615	363.2319	574.8503	498.5942	377.0383	142.6937	258.7035	233.8099	367.7502	203.2967	426.1449	488.2008	284.8518	140.4959	344.9427	146.8886
LRRC37B2|147172	331.7033	387.6327	431.8093	109.6817	224.2532	444.9035	338.9887	678.9545	205.6572	370.2548	339.7359	308.3824	716.6985	614.0918	415.8174	532.9321	513.0428	392.562	478.914	447.178
LRRC37B|114659	98.6145	143.0549	181.7256	86.4292	86.0455	143.6403	359.2814	61.6474	166.0566	33.2813	116.4466	77.3759	68.8337	118.2935	132.0832	87.7154	180.1997	123.5078	141.0927	123.7337
LRRC39|127495	20.8231	2.3073	4.0002	16.3952	5.72	2.5423	5.02	17.8777	6.7121	4.2059	1.9148	9.6552	4.1587	5.6949	3.8592	6.7761	6.6507	1.483	4.896	3.9001
LRRC3B|116135	0.815	0	0	0	0.4458	0	1.6633	5.8315	0.6656	0	0	1.6821	0.3187	0.3232	1.6307	0.3495	13.0041	6.4279	3.1156	0
LRRC3|81543	33.4148	61.8366	76.7974	24.5687	65.0914	27.012	40.5855	31.2402	67.5541	20.3848	77.431	52.425	16.5711	10.989	73.9231	109.0327	47.6817	38.5675	8.9017	18.8133
LRRC40|55631	228.1989	150.8999	244.7388	330.8001	387.8734	270.12	268.7957	529.0014	475.208	121.8929	528.8115	247.8273	207.1383	178.0866	609.3219	340.7271	378.6671	327.3646	137.9771	291.6064
LRRC41|10489	2181.7441	1754.4993	1590.2397	2076.4942	3992.4209	1507.905	1332.0027	1696.1366	1789.0183	1961.1024	2810.3241	1836.277	2482.4729	2141.5643	4351.1347	2749.231	1958.9752	1787.8788	3858.9073	2311.1433
LRRC42|115353	740.8313	736.9635	802.5745	562.8866	1154.2577	495.114	429.4744	798.0839	732.7787	869.0588	977.1909	363.8912	324.7291	586.2961	2392.7164	1115.4881	471.5535	666.6667	419.2723	1091.8958
LRRC43|254050	61.9397	56.7605	15.7533	0	13.8208	0.9534	6.3207	4.5819	17.3045	3.3281	3.0012	3.6445	0.3187	4.8481	100.0136	15.3764	6.8117	17.4472	117.9481	0.7236
LRRC45|201255	512.6324	367.7896	598.3442	1258.7074	338.8319	523.7149	536.5935	362.8033	378.0366	4282.4753	228.0912	211.6625	612.8107	622.1719	338.633	550.4053	130.041	573.921	634.2495	971.0564
LRRC46|90506	409.943	516.8436	319.2857	99.1523	40.1248	101.0566	228.8756	75.8096	30.6156	88.6115	23.4094	18.5029	68.1963	287.9767	14.6759	34.9464	19.5062	31.2213	291.9773	23.8784
LRRC47|57470	1681.3366	922.9349	1272.6419	1807.1159	2029.8707	1055.6924	995.3426	927.6268	1158.4027	1127.8211	2240.096	971.1242	962.7151	1258.2418	1674.1405	824.3849	1083.9848	1356.2902	1864.0258	1150.5065
LRRC48|83450	268.1337	299.9539	59.6375	10.0907	8.9166	35.9101	51.1277	75.3931	81.4176	39.9376	38.4154	31.3989	18.1644	170.0065	18.4808	30.7528	70.2841	103.7649	181.5956	3.6179
LRRC49|54839	140.9943	100.5999	77.9226	16.2329	75.3455	71.1846	41.5835	92.4711	97.1714	37.8575	271.9088	48.2198	56.4054	81.1248	109.254	124.4091	131.8988	77.135	206.5205	32.5615
LRRC4B|94030	33.4148	9.6908	5.0636	2.1936	8.4708	3.4957	5.6554	7.0811	4.6589	4.9922	6.0024	10.6532	7.9669	10.6658	1.6307	1.0484	49.2298	35.3535	22.2544	9.4067
LRRC4C|57689	110.8394	49.377	116.7432	415.4743	8.4708	11.7582	49.9002	99.5522	77.8702	53.6661	1.8007	338.0992	30.9114	113.4454	3.2613	123.0112	156.6685	60.6061	1.3353	3.6179
LRRC4|64101	123.8794	50.3	83.8301	36.4143	34.7749	31.1432	36.2608	21.6599	61.8968	15.3926	181.8727	47.3787	48.7572	15.8371	34.2438	90.5111	60.3762	68.8705	110.8267	14.4718
LRRC50|123872	114.0994	59.5293	154.1573	14.0393	0.4458	14.936	29.6075	23.7426	23.2945	1.6641	2.401	5.0463	0.956	38.4615	2.7178	2.7957	14.2426	26.1708	23.5896	2.1708
LRRC52|440699	0	0	0.5626	3.9485	0.4458	1.9067	1.996	0	0	0	0	0.5607	0.6373	1.9392	7.0662	0.6989	0.6192	8.2645	0	0
LRRC55|219527	19.5599	10.1523	12.0963	5.7034	25.4124	10.8048	12.3087	9.5803	21.6306	4.9922	44.4178	30.8382	7.3295	15.5139	84.7941	17.8226	26.0082	36.7309	10.6821	629.5224
LRRC56|115399	390.383	204.8916	323.7866	149.6059	126.6161	224.3585	128.4098	181.6099	227.6206	506.2923	75.6303	153.0698	73.9324	408.8559	46.7455	187.3125	59.4473	111.1111	595.972	52.0984
LRRC57|255252	356.9682	251.0383	393.5513	210.1502	199.2867	410.5823	284.7638	336.145	446.9218	245.8658	739.4958	342.3045	244.7419	236.5869	237.5323	186.9631	322.9352	412.3049	454.8793	203.3285
LRRC58|116064	629.1769	1096.9082	1337.9055	1457.0119	1445.8315	1085.2467	1533.9321	1354.5767	1891.8469	397.7119	2362.545	1744.6033	2412.0459	1198.1254	4420.7093	1138.9022	2048.4558	735.9963	1001.8916	820.5499
LRRC59|55379	2285.3545	3520.3092	5430.8106	7372.4495	5299.7905	6677.3941	8306.4737	3750.4571	2603.3943	4318.103	4117.8691	2983.4819	2555.7903	4678.6361	6151.8956	3041.6762	6982.3082	2807.0845	4858.2797	4773.7627
LRRC61|65999	459.6577	329.4878	370.4839	341.3295	402.5858	356.8761	325.682	393.2105	310.4825	761.3105	452.581	392.767	150.4143	676.4706	1013.1811	243.9257	136.5431	299.3572	902.1921	464.5441
LRRC66|339977	12.2249	2.3073	0.8439	2.6324	13.8208	0.6356	6.6534	7.4977	7.3211	2.0801	2.401	3.6445	3.8241	2.9089	10.3275	3.1452	14.5522	7.8053	8.4567	2.1708
LRRC67|286187	15.4849	7.8449	10.4084	0	0	7.6269	0	2.4992	3.9933	0	4.8019	0	0	5.8177	0	0	1.2385	1.3774	2.2254	0
LRRC69|100130742	0	0	0.8439	124.1597	1.7833	6.6736	5.3227	2.4992	6.6556	23.2969	1.2005	0.841	6.6922	0	2.1742	1.0484	1.8577	1.8365	2.6705	1.4472
LRRC6|23639	138.5493	278.7263	373.8596	574.7322	78.0205	331.1353	135.7285	109.9656	49.2512	228.8092	2.401	28.0348	58.9547	192.3077	138.6058	123.3607	90.7191	126.7218	226.9945	0.7236
LRRC70|100130733	49.6577	18.4033	19.6916	25.9375	21.7432	11.0463	15.3027	24.5757	19.3012	14.5606	18.6074	46.4676	10.8859	17.7214	5.4355	19.57	103.3671	77.3737	37.0268	31.1143
LRRC7|57554	0	0	0	0	0	0.3178	0	0	0.6656	0	6.0024	0	0	0	2.7178	11.1828	1.8577	0	0	0.7236
LRRC8A|56262	1427.8729	1175.3576	1471.246	1464.0315	1275.5239	1494.2401	1156.0213	1487.0353	1105.1581	693.9158	1546.2185	1364.7323	1949.3308	1559.1467	604.4299	2181.003	2513.1976	1628.5583	1897.8525	1542.6918
LRRC8B|23507	373.2681	361.7905	320.1296	915.1842	916.1837	496.7029	310.0466	1201.2913	885.1913	150.182	1717.8872	617.3255	527.0873	603.7492	1094.1704	265.5924	662.2804	423.7833	188.717	626.6281
LRRC8C|84230	468.6227	118.1357	211.263	456.2759	260.8114	218.0027	218.8955	380.7144	300.4992	93.6037	821.7287	513.5969	200.7648	106.3348	872.9447	189.7588	746.1878	437.5574	213.6419	209.8408
LRRC8D|55144	735.9413	586.9866	522.1095	258.4101	1375.8359	717.248	437.4584	1493.2833	609.3178	216.7447	1028.8115	532.3802	652.645	577.5695	1237.6682	501.4804	842.4801	652.8926	398.3532	1993.4877
LRRC8E|80131	308.0685	852.7919	460.2215	410.2096	23.1832	442.3612	486.3606	329.0638	510.8153	698.908	78.6315	679.2823	373.805	698.7718	392.4446	721.6425	359.1609	508.7236	166.9078	440.6657
LRRCC1|85444	455.5827	383.4795	1142.9584	1583.804	107.8912	1294.9869	585.8283	799.7501	834.9418	511.7005	954.982	1000	414.2766	978.6684	1243.1037	939.7079	605.31	623.9669	239.9021	253.9797
LRRFIP1|9208	2833.7408	2883.7102	3878.1257	4188.5253	1982.1667	2946.8499	4313.7059	4116.6302	4889.5175	1178.9912	1432.7731	4644.5192	4397.7055	3330.6399	2153.0099	3404.8249	2965.5546	2371.9008	4169.1332	2125.9045
LRRFIP2|9209	954.3602	2935.856	1578.1434	579.5582	662.0597	717.248	1155.0233	863.0636	1698.8353	1042.5377	1110.4442	534.6229	617.2721	694.8933	2535.6706	400.8349	660.4226	1016.0698	772.6716	823.4443
LRRIQ1|84125	52.9747	179.5108	36.0076	1.3162	13.8208	24.4697	7.3187	77.8923	28.9517	0	50.4202	19.344	8.9229	35.5527	8.6968	63.9519	29.7237	6.8871	6.2312	4.3415
LRRIQ3|127255	23.6349	6.922	4.5009	17.5491	15.1583	9.5336	5.988	22.0764	9.6506	22.4649	7.2029	12.0549	6.0548	7.1105	51.0939	7.6882	11.1464	5.5096	32.9365	6.5123
LRRIQ4|344657	0.815	0	0.5626	1.3162	0	0.3178	3.6593	0.8331	11.3145	0.416	6.0024	0.5607	0.6373	1.616	15.763	1.7473	1.2385	0.9183	0.4451	0
LRRK1|79705	506.9275	259.3447	257.9603	384.7635	538.5644	228.4897	262.1424	238.6754	498.1697	41.1856	895.5582	340.0617	243.4672	53.0058	690.8547	235.5385	492.6078	336.0882	478.0238	168.5962
LRRK2|120892	166.2592	188.2787	283.2781	322.903	25.8582	204.02	193.6128	94.1372	204.6589	18.3047	15.006	236.6134	184.5124	17.1299	260.3615	75.1347	489.8212	140.955	222.9888	140.3763
LRRN1|57633	441.7278	293.9548	3.657	28.956	20.9541	24.1519	43.5795	564.407	163.7271	4.9922	2874.5498	182.226	51.3066	20.6852	1044.7072	139.7855	2241.6596	353.0762	3.1156	11.5774
LRRN2|10446	306.4385	1872.635	776.6941	85.113	337.9403	354.3338	1721.8896	406.9562	991.6805	681.8513	4.2017	231.8475	482.4729	1871.3639	183.7206	1264.3597	473.1016	1027.5482	806.4983	1857.453
LRRN3|54674	39.9348	913.7056	7.0327	33.782	5.35	13.9827	10.978	11.2465	4.3261	7.4883	5.4022	151.3877	6.6922	7.7569	13.5888	18.871	430.3739	49.5868	3.5607	13.0246
LRRN4CL|221091	148.3293	8.3064	28.4122	23.2525	6.2416	14.3005	11.6434	45.819	35.6073	28.7051	16.8067	37.0059	9.8789	15.5139	29.8954	21.6667	185.4633	70.7071	0	1.4472
LRRN4|164312	0.815	1.3844	1.4065	0	2.675	0.3178	0.998	0.8331	0.3328	0.832	15.6062	0.5607	0.3187	0.3232	18.4808	5.5914	0.9289	0	0.8902	1.4472
LRRTM1|347730	0.815	0	0	0.4387	0.4458	0	0	0	1.3311	0.416	0	0	0	0	3.2613	0	1.2385	1.8365	0	0
LRRTM2|26045	4.89	1.8459	0.8439	5.7034	1.7833	2.8601	4.3247	10.8299	5.3245	0.832	7.2029	9.5318	9.5602	1.2928	2.1742	5.9409	31.2718	21.1203	6.2312	3.6179
LRRTM3|347731	0.815	0.4615	0	0	0	0	0	0	0.3328	0	5.4022	0.2803	0	0	0	2.0968	1.2385	0	0	0
LRRTM4|80059	0.815	0	0.8439	0	0	0.3178	0.6653	0	0	0	3.0012	0.841	6.0548	0.9696	4.3484	0	2.477	18.8246	0	0
LRSAM1|90678	656.0717	774.8039	845.8877	661.6001	379.4026	583.7769	868.5961	722.2743	683.8602	738.0135	306.7227	607.5133	571.383	688.7524	431.0368	689.1424	439.9721	677.2268	753.978	909.5514
LRTM1|57408	0	0	0	0.4387	0	0	0	0	0	0	0	0.2803	0	0	0	0	0.3096	0	0	0
LRTM2|654429	32.5998	2.7688	10.6897	1.7549	1.7833	2.2245	395.8749	2.0827	0.3328	2.4961	0	1.4017	2.2307	57.8539	2.7178	0.3495	2.1674	1.3774	3.5607	21.7077
LRTOMT|220074	402.2983	623.4656	573.0714	415.7463	135.136	375.7814	508.3234	403.7072	338.8186	620.5679	119.4898	248.7973	148.499	922.8927	246.0497	506.9251	241.867	216.8825	1135.2175	425.3618
LRWD1|222229	605.542	307.3373	524.36	672.1295	522.5145	424.8828	292.0825	384.4632	244.2596	580.7592	391.9568	257.9198	225.6214	890.4331	467.4548	626.5884	204.9694	380.1653	556.8043	682.3444
LSAMP|4045	60.3097	2.7688	4.2196	7.8971	6.2416	0.9534	5.6554	5.8315	1.6639	4.1602	1.2005	29.9972	7.6482	6.7873	15.763	12.5807	118.2754	20.6612	1.3353	0
LSG1|55341	982.8851	952.9303	1078.82	1314.8644	1339.7236	1719.5519	1113.7725	948.4536	1180.6988	786.6875	1000.6002	938.3235	1613.1294	901.7453	1569.7785	1496.753	1221.7664	854.4536	1216.8688	638.2055
LSM10|84967	634.8818	447.162	532.2366	668.6197	788.23	422.0227	333.666	274.4976	450.5824	1202.7041	635.054	300.2523	349.267	430.8339	691.3983	834.8688	352.9685	655.6474	580.3939	479.7395
LSM11|134353	145.8843	202.1228	185.1013	217.1698	143.1119	189.084	186.2941	312.8189	277.5374	122.3089	276.7107	245.8649	152.9637	109.8901	288.6262	192.5545	362.5668	157.0248	125.5146	49.9276
LSM12|124801	1378.1581	1605.9068	1897.9917	625.6245	1258.1364	1304.5205	809.3812	1150.0573	1128.4526	1237.6495	1130.8523	532.6605	877.9477	1127.6665	2509.5801	895.6755	675.5941	841.5978	1237.3428	841.534
LSM14A|26065	2660.9617	2987.0789	3168.6644	2127.3865	5610.3433	2684.3569	2867.9308	5126.7312	3234.2762	1151.118	3929.1717	3575.5537	3914.5953	2288.9463	4460.9322	3027.0546	3068.6586	2843.8935	2106.5984	1738.0608
LSM14B|149986	1281.1736	1355.3299	1185.7174	2089.656	1641.5515	1788.1942	2298.4032	1068.8327	1050.2496	2673.7389	2306.7227	1023.8295	2207.1383	2110.8597	872.4011	1474.0379	927.9356	1529.8439	1625.0139	1471.78
LSM1|27257	707.4165	768.3433	1824.5701	1091.9912	1051.2706	1089.3779	576.8463	748.5161	1933.1115	1647.0099	486.7947	357.1629	473.55	914.3504	835.4396	379.867	980.2616	638.2002	521.1973	1409.5514
LSM2|57819	714.7514	671.4352	844.2083	643.1736	1748.9969	681.0201	564.5376	476.5178	550.7488	1475.195	783.3133	568.545	753.0274	1091.7906	1044.1636	889.0357	462.5745	840.6795	603.0934	2376.9899
LSM3|27258	1136.9193	1211.3521	1227.3511	966.954	894.7838	858.0281	1086.8263	715.1932	832.2795	1740.6136	492.1969	707.3171	779.796	682.2883	1484.9844	905.8099	467.2188	1122.5895	1034.8281	1315.4848
LSM4|25804	1738.3863	2186.8943	3806.1106	2070.7908	2146.6786	1669.977	1338.9887	771.8421	1183.6938	4855.3302	1412.9652	939.7253	2858.8273	2235.2941	1671.9663	3356.5989	792.9406	2067.034	2662.5125	4713.4588
LSM5|23658	476.7726	835.2561	689.207	841.4781	1123.0495	270.7555	350.9647	550.6613	566.0566	1144.0458	779.1116	249.229	944.232	1463.4777	370.159	560.5398	444.6165	754.3618	505.6192	1635.3111
LSM6|11157	258.3537	140.2861	176.3807	223.312	235.399	140.7802	224.2182	143.2886	188.6855	213.0005	222.6891	125.5957	179.4136	182.2883	217.9644	111.4789	155.7396	388.8889	170.4685	235.1664
LSM7|51690	666.6667	477.6188	724.652	527.3497	854.2131	489.7116	368.2635	153.2854	312.1464	1569.6308	379.952	325.4836	492.6705	553.0058	381.03	352.2594	301.881	700.6428	715.2554	1465.9913
LSMD1|84316	1110.0244	834.3332	416.6186	242.616	425.7691	337.1733	470.6487	252.0046	509.5774	2593.0317	240.096	330.5299	267.6864	788.2999	381.8019	389.652	182.0574	748.393	1232.7807	674.3849
LSP1|4046	2491.4425	1015.6899	2679.1868	2088.3398	1471.2439	1159.9269	1041.2508	821.41	820.2995	1550.91	1534.2137	2160.9195	529.6367	546.2185	328.849	620.997	1979.4102	1424.7016	802.4925	371.2012
LSR|51599	1687.8566	3212.7365	1860.8589	3354.9443	13506.9104	2908.0798	3172.9874	2105.592	1808.3195	3371.3989	3022.8091	3430.614	2970.3633	2796.0569	4742.4922	3024.9578	1204.118	3850.3214	1799.4881	5650.5065
LSS|4047	811.7359	1161.0521	2329.5197	1100.7657	2190.37	1030.2693	905.855	763.5114	831.2812	1868.7467	1145.8583	2596.2994	1942.0013	849.0627	566.9249	898.4712	985.8348	1243.3425	1153.2213	2730.8249
LST-3TM12|338821	0	0.4615	0	0	0	1.2044	0.3327	0	0	0	4.8019	0	0	0	0	0	0.3096	82.1855	0	0
LST1|7940	529.7474	254.2686	122.3694	168.4711	88.2746	105.5057	87.8244	32.0733	69.218	191.7837	58.8235	69.5262	72.6577	27.4725	98.9265	83.8713	66.8782	168.0441	112.6071	68.741
LTA4H|4048	2360.2282	2019.8431	1551.7004	2453.7993	1444.0481	1621.3554	2047.5715	2198.4796	2535.7737	1594.1758	1498.1993	1530.4177	1490.1211	1734.6477	2091.5885	1616.2696	1307.8412	1629.0174	2220.0957	792.33
LTA|4049	42.3798	9.6908	17.4412	30.2722	13.3749	10.1692	8.3167	1.2496	8.3195	1.6641	13.8055	1.1214	11.7909	2.2624	22.2856	8.7366	3.4058	27.5482	3.1156	8.6831
LTB4R2|56413	45.5909	19.0725	22.4513	75.0925	47.1601	17.7612	39.3147	28.0246	63.7105	23.5549	21.6387	46.3751	31.1345	37.0039	39.4836	32.0214	49.7871	41.2443	30.849	27.5543
LTB4R|1241	136.4629	109.8846	104.7735	198.2519	335.6398	39.4057	108.4731	48.3182	157.9168	201.0234	97.7371	114.208	68.0625	208.2482	160.7827	103.8431	169.7593	193.214	135.084	163.6541
LTBP1|4052	916.8704	370.5584	973.0478	1046.3636	6396.3442	2866.1317	1462.0758	2030.1989	3296.173	445.1378	12138.0552	1195.4023	614.7228	959.276	1733.3877	2646.4886	2301.1069	1828.2828	236.3414	638.2055
LTBP2|4053	2436.8378	3452.2381	5551.3515	4722.0172	2304.5029	5360.4513	2614.7705	7555.139	3826.9551	1471.4509	2489.1957	4350.4345	2940.7266	754.6865	376.1381	3936.0097	5688.6756	8056.4738	760.2092	310.4197
LTBP3|4054	2652.4531	1894.7854	2374.2366	1745.9135	1251.5069	1785.8139	2314.2781	1725.0568	2231.2812	6368.9818	4760.4022	4582.2512	1191.2333	2724.3827	2203.1689	4842.4312	3928.1802	2608.0808	7071.392	2963.9291
LTBP4|8425	821.5159	574.9885	405.3663	912.9906	947.8377	216.4138	366.2675	884.7235	698.8353	767.1347	2555.2221	1687.6927	388.7827	646.0892	1116.9996	573.4699	1346.2342	1357.2084	956.0476	582.4891
LTBR|4055	1511.8174	1838.0249	1779.2793	1736.0422	2111.012	2371.0177	2248.503	1593.6686	1889.5175	3416.3287	1923.7695	3019.6243	1418.1007	1833.872	8198.3965	2311.7024	1894.2643	2240.1286	2538.7782	2102.026
LTB|4050	578.6471	77.988	79.0478	228.5767	41.4623	34.3211	30.9381	63.3135	53.9101	37.8575	57.623	12.3353	57.0427	126.0504	28.8083	50.3228	36.845	348.4848	48.0694	54.9928
LTC4S|4056	54.238	75.9206	17.354	17.5184	4.8819	13.452	11.9461	10.3134	27.8569	236.0894	5.9964	22.6072	2.3136	10.5753	3.5222	17.7563	20.692	42.135	60.8345	19.4501
LTF|4057	1085.5746	165504.8454	5942.9337	115.8239	35358.4485	6.9913	520.9581	1666.9791	2516.4725	12.4805	457.9832	29.1562	1144.3595	40356.4964	91409.1589	18548.8345	3479.8359	14983.9302	36.0521	2268.4515
LTK|4058	12.2249	0.9229	1.1252	21.9363	1.3375	0.6356	1.6633	0.8331	1.3311	3.7441	24.0096	2.2428	71.7017	2.5856	1.0871	2.4462	4.3347	8.7236	1.3353	7.2359
LTV1|84946	547.6773	479.9262	457.1271	496.2001	645.564	585.3659	353.9587	364.886	542.7621	606.1362	456.1825	440.9868	833.9707	435.682	602.2557	566.4807	563.2015	699.7245	755.3132	456.5847
LUC7L2|51631	1987.7751	1692.6627	2123.6015	2058.9451	1797.5925	2219.2643	1979.7073	2836.3053	2197.005	1888.961	2799.6819	2474.6285	1763.8815	1434.7123	3041.1904	1920.3031	2155.783	1847.1074	2257.0379	1375.2822
LUC7L3|51747	2121.4344	1650.2077	2703.942	2749.9399	1903.2546	1903.5513	3738.523	4835.9888	2258.9018	2295.5798	1529.4118	1061.9568	1987.253	1108.5973	1938.8504	1549.8715	2487.1894	2283.7466	2826.3047	1486.2518
LUC7L|55692	1046.4548	503.461	641.3845	704.1566	511.8145	548.1846	764.8037	839.7376	752.7454	1752.2621	337.3349	509.9523	809.4328	784.0983	256.013	590.9431	445.2357	929.2929	818.0705	848.7699
LUM|4060	14938.0603	39445.3161	29621.2737	20232.7665	6379.8484	9693.1755	24104.4578	17551.5985	12564.0599	10507.3323	7171.6687	39947.2946	4322.8171	2986.1021	1062.1008	26047.2772	30973.2951	11774.1047	1357.9615	1125.1809
LUZP1|7798	714.7514	538.994	722.4015	892.3704	855.9964	988.6391	692.6148	1246.6937	947.0882	292.4597	1599.0396	1213.0642	897.0682	430.5107	750.6455	706.6156	2050.6231	832.4151	609.7697	321.2735
LUZP2|338645	3.26	32.3027	8.158	187.3364	0.4458	0.3178	1.6633	2.0827	18.9684	0.832	11.4046	30.5579	6.6922	3.5553	0.5436	8.3871	71.2129	132.2314	3.1156	2.1708
LUZP4|51213	0	0	0	0.4387	0	0	0	0	0	0.416	0.6002	0	0	0	0.5436	0	0.3096	0	0	0
LUZP6|767558	2138.5493	4244.1163	3762.5077	3792.355	3764.1551	4610.1533	4323.0206	5306.675	4015.6406	2283.9314	4497.599	3642.8371	3480.2422	2898.19	9923.6309	3921.6817	4896.6638	2653.3517	2935.7961	2429.0883
LXN|56925	354.5232	216.8897	271.4632	232.5252	678.5555	173.5124	4008.3167	294.4913	362.7288	154.3422	149.4598	268.8534	126.5137	115.0614	625.0849	133.1457	310.86	514.6924	642.7061	188.8567
LY6D|8581	7.335	0	0	0	311.6362	0.9534	0.3327	2.0827	0	0	3.6014	0	3.1867	0.3232	261.4486	2.0968	7.1213	84.022	0	388.5673
LY6E|4061	4817.4409	2387.6327	22128.8902	5646.4147	29119.4828	1968.3801	5509.98	1745.2879	560.0666	12832.0333	1640.4562	889.8234	1335.8827	5280.8662	25662.1824	4505.985	3183.2185	21731.8641	4293.7576	28445.7308
LY6G5B|58496	30.1548	7.8449	37.9767	28.82	15.1583	21.4729	19.2947	23.2219	20.2995	44.5138	29.964	21.5952	48.1644	18.0995	43.7668	14.7229	30.4544	38.5124	13.7977	67.2938
LY6G5C|80741	61.1247	32.3027	14.3468	74.5836	20.0624	6.038	35.9281	20.8268	18.3028	106.5003	13.2053	43.7342	56.724	35.5527	6.5226	18.1721	29.414	35.3535	92.5782	13.0246
LY6G6C|80740	9.78	203.5072	2.2505	2.6324	63.3081	0.6356	18.6294	34.9891	26.6223	0.416	16.8067	34.4828	3.1867	0.9696	6.5226	7.6882	21.9831	1.3774	0.4451	0
LY6G6D|58530	0	0	0	0	0	0	0	0	0.3328	0.416	0	0	0.3187	0.3232	0	0	0.1208	0.4591	0	0
LY6G6E|79136	0	0	0	0.4387	0.4458	0	0	0	0	0	0	0	0.3187	0	0	0	0	0	0.4451	0
LY6G6F|259215	0	0	0	0.4387	0	0	0	0	0	0	0	0.2803	0.6373	0	0	0	1.1177	0	0.8902	0
LY6H|4062	44.0098	24.9192	15.7533	7.0196	55.7289	6.6736	48.9022	9.9969	28.2862	59.9064	6.0024	18.2226	0.6373	14.2211	1.0871	67.796	2.477	7.3462	24.9249	4.3415
LY6K|54742	61.1247	1.8459	470.9112	1531.1567	20.0624	63.2399	145.7086	7.9142	1.3311	17.4727	315.7263	7.289	16.8897	22.9476	618.5623	188.0115	92.2672	14.2332	22.2544	5.7887
LY75|4065	295.8435	110.7522	135.5178	699.3306	68.658	234.2099	101.7964	904.3632	411.1747	14.9766	1864.3457	119.8963	452.1893	27.4725	275.0374	365.7941	1501.432	473.3701	232.7807	31.1143
LY86|9450	356.9682	170.743	224.7659	131.1793	142.2202	163.0253	185.9614	62.897	94.8419	272.9069	48.6194	141.0149	58.9547	55.2683	98.3829	145.0274	118.8947	210.2847	203.85	83.9363
LY96|23643	281.1736	87.2174	146.8433	215.8536	99.8663	88.3451	128.0772	80.3915	74.5424	120.2288	25.2101	94.1968	59.2734	35.2295	197.853	73.0379	154.8107	270.8907	68.9885	60.0579
LY9|4063	119.8044	9.6908	13.2215	187.3364	17.8333	13.0293	16.6334	10.4134	21.6306	3.7441	17.407	14.0174	22.3072	1.2928	19.0243	5.242	37.4642	65.6566	7.5665	7.9595
LYAR|55646	231.4588	106.599	354.7306	279.9077	315.2029	245.9681	171.9894	180.7768	453.5774	320.3328	331.3325	172.9745	268.9611	186.8132	536.4859	367.6358	203.1117	274.1047	182.0407	356.7294
LYG1|129530	17.1149	2.3073	2.2505	3.9485	8.025	3.4957	4.3247	5.8315	3.9933	2.9121	6.0024	2.2428	20.7138	1.2928	16.8501	8.0377	3.4058	16.0698	3.5607	19.5369
LYG2|254773	0	0.4615	0.2813	0.4387	0	0.3178	0.3327	0.4165	1.6639	0	0.6002	0.841	0.956	0	0.5436	0	1.2385	0.4591	0	0
LYL1|4066	189.8941	51.2229	81.017	92.1326	53.9456	53.0706	59.2149	25.4087	45.9235	162.2465	57.0228	59.1534	28.0433	41.3704	44.5713	80.3767	59.7569	186.8687	152.665	46.3097
LYNX1|66004	210.2689	46.1467	1410.202	47.3825	1126.1703	74.3624	46.9062	158.2839	11.98	67.8107	35.4142	88.8702	502.8681	1044.9257	1556.1897	119.5166	449.2608	1628.5583	1122.0652	2005.7887
LYN|4067	749.7963	390.8629	948.8552	549.7248	1145.3411	459.5217	505.3227	254.5038	313.4775	159.3344	227.491	465.9378	225.9401	82.4176	3478.7335	451.5071	574.0382	993.5721	374.3185	286.5412
LYPD1|116372	66.6667	14.4624	60.2086	27.8416	140.9764	31.6009	36.191	37.2509	50.6789	51.5237	161.0624	30.0841	46.6189	17.7893	80.0652	102.5676	55.3417	200.404	165.439	81.013
LYPD2|137797	0	0	0	0	0.4458	0	0	0	0	0.416	0	0	0	0	0	0.3495	0	0.4591	0	0
LYPD3|27076	259.1687	2570.3738	185.9452	1781.231	1127.062	219.5916	2939.7871	1895.2411	450.9151	3455.0182	510.8043	2345.6686	1557.3614	635.7466	765.8649	1544.2801	521.093	1040.404	134.4164	714.1823
LYPD4|147719	0	2.7688	0	0	0	0.6356	0.998	0	1.3311	0	0	0	0	1.9392	0	3.8441	0	0.9183	0	0.7236
