TCGA-5L-AAT1-01A-12R-A41B-07	TCGA-A2-A0CS-01A-11R-A115-07	TCGA-A2-A0SV-01A-11R-A084-07	TCGA-A2-A0SW-01A-11R-A084-07	TCGA-A2-A0T2-01A-11R-A084-07	TCGA-A8-A07W-01A-11R-A00Z-07	TCGA-A8-A08J-01A-11R-A00Z-07	TCGA-A8-A08O-01A-21R-A056-07	TCGA-A8-A08T-01A-21R-A00Z-07	TCGA-AC-A62V-01A-11R-A31O-07	TCGA-AN-A0FJ-01A-11R-A00Z-07	TCGA-AO-A0J5-01A-11R-A034-07	TCGA-B6-A0I9-01A-11R-A034-07	TCGA-B6-A0IB-01A-11R-A034-07	TCGA-B6-A0X1-01A-11R-A109-07	TCGA-BH-A18J-01A-11R-A12D-07	TCGA-BH-A1FH-01A-12R-A13Q-07	TCGA-LL-A73Z-01A-11R-A32P-07	TCGA-PL-A8LX-01A-11R-A41B-07	TCGA-UU-A93S-01A-21R-A41B-07
AAK1|22848	692.7465	578.2187	651.2303	854.6399	950.5127	1172.6384	852.9607	930.9591	599.3344	305.7722	819.928	983.4595	1706.8196	815.4493	1571.9527	1282.5318	1550.5844	562.4426	330.2548	822.7207
AAMP|14	3097.7995	1976.9266	2951.2126	2380.5319	2371.8235	1982.045	1690.6188	1418.3068	2287.8536	2841.8097	1954.3818	2259.3216	2688.6552	3322.2366	2049.1915	2773.6934	1797.3527	2717.6309	3885.6126	2678.7265
AANAT|15	1.63	0	0	0.4387	1.3375	0	0	0.4165	1.3311	0.832	0.6002	0.2803	0.3187	0	0.5436	0	0.3096	0	0.4451	0
AARS2|57505	535.4523	278.7263	433.2074	370.2811	925.0869	612.3588	289.7538	598.513	549.6972	255.4342	380.5462	454.4211	853.7189	469.9192	343.5249	547.2392	444.2666	628.0808	620.8657	365.4052
AARSD1|80755	780.7661	517.7665	722.1202	289.5597	578.6893	547.5491	419.4943	557.7424	460.8985	772.9589	847.539	269.1337	253.9834	497.4144	508.7648	289.3559	310.86	578.5124	907.088	586.1071
AARS|16	2221.6789	2507.1527	5506.3421	4100.7799	3016.4958	9943.9104	6417.1657	2212.6419	2399.0017	7336.4535	2185.4742	4141.8559	8916.1887	3456.6904	4557.1409	2503.9074	3147.3024	2813.5904	4864.8047	6162.0839
AASDHPPT|60496	687.8566	1116.7513	965.7338	1533.7891	597.86	717.8645	1104.7904	900.1354	1161.7304	332.8133	675.8703	469.3019	671.4468	536.1991	887.077	439.9748	900.6889	682.7365	485.1452	596.2373
AASDH|132949	276.2836	149.5155	292.28	193.0398	135.9786	300.9454	321.3573	453.1917	496.173	101.5081	105.042	360.5271	362.6514	197.479	272.3196	256.1569	425.1103	268.595	239.9021	126.6281
AASS|10157	327.6284	423.1657	66.3889	121.0886	65.0914	88.9807	87.4917	284.4944	195.0083	39.1056	111.0444	268.8534	107.3932	50.4202	232.0968	153.764	480.2229	293.3884	277.7345	44.1389
AATF|26574	1253.4637	1202.1228	2175.925	981.8707	1796.7008	1696.0356	5390.5522	1153.8061	1253.9101	1334.1654	1135.6543	806.2798	7694.3913	1505.1713	1232.7762	682.8521	722.6566	1117.0799	1396.239	982.6339
