TCGA-2Z-A9J7-01A-11R-A38C-07	TCGA-A4-A57E-01A-11R-A26U-07	TCGA-AL-3466-01A-02R-1351-07	TCGA-AL-7173-01A-11R-2139-07	TCGA-BQ-5877-01A-11R-1592-07	TCGA-BQ-5889-01A-11R-1592-07	TCGA-BQ-5893-01A-11R-1592-07	TCGA-BQ-5894-01A-11R-1592-07	TCGA-F9-A8NY-01A-11R-A36F-07	TCGA-G7-6789-01A-11R-1965-07	TCGA-G7-6793-01A-11R-1965-07	TCGA-G7-A8LB-01A-11R-A36F-07	TCGA-GL-6846-01A-11R-1965-07	TCGA-SX-A7SM-01A-11R-A355-07
MAX|4149	1153.8766	1620.2203	647.3399	1236.8359	1720.1559	1679.2529	1102.8487	1173.7262	1043.3055	691.8787	597.9398	943.1579	1188.2818	1518.623
MAZ|4150	3880.2113	5866.2216	3112.9914	5495.5696	4858.3889	6771.4657	5702.4972	6302.7665	2889.0392	6211.5583	5807.5094	7384.6737	4275.8953	4179.8589
MBD1|4152	1526.3505	620.8684	1149.4106	902.1559	801.9837	1129.1108	986.6815	732.965	795.6272	976.1736	826.9584	1585.1012	1042.7913	694.6953
MBD2|8932	1663.7168	858.0687	3212.4881	1397.3456	807.6514	1814.4539	1941.9164	1557.6018	1049.1491	906.8235	1447.8959	1465.2632	1048.3871	883.1828
MBD3L1|85509	0	0	0	0	0	0.406	0	0	0	0	0	0	0	0
MBD3L2|125997	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MBD3L5|284428	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MBD3|53615	2836.0851	2932.5988	537.7509	3753.1963	2504.2862	5162.4036	1622.2716	3472.478	1994.4621	1850.9581	2055.418	2549.6356	2028.9664	2248.8713
MBD4|8930	579.0516	349.9676	973.5585	523.0797	321.3603	670.7268	422.8635	484.9601	409.9503	288.756	716.4417	696.3563	539.8288	715.5756
MBD5|55777	295.3375	296.1763	765.849	332.4032	582.0758	258.2217	482.4269	193.5748	298.0231	775.0177	481.6737	158.0567	500.9875	253.386
MBD6|114785	1120.5917	933.2469	865.2437	2548.8039	2693.305	2249.6955	1115.7973	1522.8156	1300.4234	2366.42	1367.0846	2434.332	1869.3219	1869.0745
MBIP|51562	271.0342	425.1458	313.4756	195.7991	412.0439	349.9797	383.2778	277.0616	438.7187	285.106	245.628	262.996	303.4891	331.8284
MBL1P|8512	5.2833	0.6481	1.2743	5.6918	0.8502	21.5185	1.1099	0.4092	0.4495	0	0.3194	5.1822	2.9625	0.5643
MBL2|4153	0	0	0	2.8459	0.5668	4.0601	0	0.4092	0.4495	1.2167	0.9582	0	0	5.079
MBLAC1|255374	193.3694	38.2372	14.0172	62.6102	24.3712	75.9237	23.3074	39.2879	50.3448	53.1279	25.8724	118.5425	36.5372	38.3747
MBLAC2|153364	138.9513	222.2942	540.2995	123.5128	203.7549	125.8628	191.6389	112.5435	161.373	90.8446	97.4207	101.0526	136.603	95.3725
MBNL1|4154	1290.1651	1318.4835	2624.9251	1756.5801	2427.9136	3455.1238	3141.5205	2664.9274	1444.886	2663.9075	4650.1924	3404.9814	2392.2383	1944.0688
MBNL2|10150	779.8177	1214.5172	2716.7888	1562.978	3327.8073	1689.8092	1952.6452	1013.7098	1873.0952	1534.2188	1073.5447	1666.7206	1204.4108	1661.9639
MBNL3|55796	3.6983	51.8471	114.6862	13.0912	204.8884	64.9614	72.512	27.8289	84.9568	194.2614	487.4231	1.9433	117.1824	25.395
MBOAT1|154141	44.3799	191.8341	382.2874	75.7014	209.1392	218.0268	286.7185	272.1506	219.8089	566.5619	201.5491	40.1619	40.4872	129.2325
MBOAT2|129642	168.0095	66.7531	549.2195	88.2235	204.605	251.7255	675.5457	573.7671	680.5534	506.134	872.9538	121.1336	275.8394	57.5621
MBOAT4|619373	4.2267	4.5366	6.3715	1.7076	1.9837	2.4361	2.9597	4.0925	0.4495	4.4611	5.7494	1.9433	0.9875	2.2573
MBOAT7|79143	1851.8029	1123.1367	1395.3488	3305.8181	2070.9883	3378.4003	2423.2334	5419.2756	2103.2427	3011.6597	13617.5038	2280.1619	1943.0546	2346.5011
MBP|4155	692.1146	802.9812	685.5687	992.6561	1013.1066	1260.2517	2158.7125	1096.7874	1595.7495	876.8123	1330.0327	581.0526	2140.2238	1357.2235
MBTD1|54799	500.8585	421.2573	1227.1424	199.2142	459.9362	290.7024	685.9046	460.4052	476.4773	486.6673	350.0759	815.5466	853.8512	288.9391
MBTPS1|8720	1835.4246	2787.4271	1959.8598	1783.8212	3186.1141	2400.3248	1421.3836	2736.239	3276.4557	4933.9957	2784.6363	2428.502	4474.6544	2079.0068
MBTPS2|51360	243.561	843.0071	902.402	388.3255	1193.057	293.0207	320.3848	438.3057	414.1172	1953.653	1032.6599	175.5466	635.2864	444.1309
MB|4151	10.5666	1.9443	0	5.1227	3.9674	2.8421	23.6774	0.8185	2.2475	1.2167	0.3194	3.8866	0	2.8217
MC1R|4157	378.798	33.7006	389.9331	344.8626	86.9996	300.5156	65.2571	259.0137	1245.5341	1061.9811	86.6438	722.4356	177.5444	205.4176
MC2R|4158	0	0	0	0	0	0	0	0	0	0	35.1354	0	0	0
MC3R|4159	0	0	0	0	0	0	0	0.4092	0	0	0	0	0	0
MC4R|4160	0	0	0	0	0	0	1.8498	8.185	0	0	2.5553	0	0	0
MC5R|4161	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCAM|4162	2561.3525	3101.1017	1275.5655	1718.3651	1703.7194	3581.8108	1992.6008	5594.025	2611.635	3353.9491	3420.5861	847.2874	629.0323	584.6501
MCART1|92014	158.4995	180.1685	285.4412	108.1449	168.8983	124.2387	243.4332	225.4962	204.9751	132.6169	138.3055	147.6923	163.9236	161.9639
MCART2|147407	2.1133	5.8328	7.6457	2.2767	5.101	4.4661	10.7288	6.548	5.3941	4.8667	2.5553	1.2955	5.925	7.9007
MCART3P|442229	0.5283	0	0	0	0.5668	0	0	0.4092	0.4495	0	0.6388	0.6478	0.3292	0
MCART6|401612	32.2282	11.6656	76.4575	12.522	28.3386	21.5185	5.9193	52.7931	7.6416	10.1389	30.3442	12.9555	36.208	9.0293
MCAT|27349	663.5847	816.5911	121.0577	841.8225	352.8162	502.233	385.8676	302.0258	209.4702	374.3283	128.0843	1005.9919	495.7209	362.3025
MCCC1|56922	599.6566	714.8412	281.6183	439.4097	649.5218	413.7231	749.9075	469.8179	950.2576	190.6114	958.2368	897.166	1418.0382	1146.7269
MCCC2|64087	1740.3249	2898.2502	1280.6626	1899.9347	1933.5459	1314.6569	2709.5819	1441.3751	1516.1867	1635.6078	1945.5402	1795.6275	2566.8203	2003.9503
MCCD1|401250	12.68	803.6293	322.3957	0	0.2834	31.2627	0.37	1.2277	0	0	0	0	5.5958	50.7901
MCC|4163	106.1947	123.1367	495.6993	244.1797	354.2331	341.8595	375.5087	376.0999	120.0183	105.039	412.3613	33.6842	69.1244	133.1828
MCEE|84693	190.1994	73.882	117.2348	93.3461	80.4818	86.8859	85.0906	55.2486	110.5787	106.6613	56.536	146.3968	69.1244	93.1151
MCF2L2|23101	3.6983	5.8328	12.7429	1.1384	8.2182	17.4584	6.6593	15.1668	8.5406	6.8945	37.0646	0.6478	5.925	5.079
MCF2L|23263	716.4179	276.0855	303.2813	352.3246	635.6358	525.3756	317.0884	439.7667	396.1549	120.5353	224.8662	2314.4939	654.707	989.2777
MCF2|4168	0.5283	1.2962	3.8229	2.2767	1.7003	6.9022	0	3.274	0	0	1.2776	5.1822	12.5082	1.1287
MCFD2|90411	2403.3813	2093.9728	5871.9337	2911.3739	5071.147	1782.3792	4978.1613	5314.7043	5889.0437	8373.5172	6519.2238	843.4008	3922.9756	2939.8363
MCHR1|2847	0.5283	1.9443	0	22.7673	0	12.1803	0	3.3804	0	47.4501	3.175	0	1.4154	2.2573
MCHR2|84539	0	0.6481	10.1943	0	0	0	0	0	0	0	0	0	0	0
MCL1|4170	6109.1005	2074.5301	11347.5629	6102.786	7707.5452	8893.6257	7537.9208	4728.4633	5747.3951	13998.9861	8512.3373	2017.8138	5437.1297	9987.0203
MCM10|55388	13.2083	141.9313	173.3036	26.7516	36.5569	44.661	135.4051	290.1576	17.0813	16.2222	105.4061	7.1255	47.7288	24.2664
MCM2|4171	275.2609	898.2502	713.6031	677.3284	539.0011	812.8299	802.4417	1847.3501	436.0217	521.1396	1534.4566	353.6842	969.3878	380.3612
MCM3APAS|114044	36.1326	6.4938	127.0213	5.7601	19.1484	4.9127	41.0507	24.0065	20.0255	6.9837	23.9048	17.9887	34.4733	15.7957
MCM3AP|8888	1508.1812	955.917	1425.0653	947.6223	1900.7949	1234.2266	1102.8635	1395.2691	1765.4158	1152.5013	1448.2664	1605.9789	1476.7182	1626.9808
MCM3|4172	2513.8027	2905.3791	1697.3558	2497.5774	1716.4718	1629.7199	2672.956	3485.9832	1003.2994	1190.3072	975.1657	1562.4291	2360.1053	1343.6795
MCM4|4173	310.1308	1115.3597	902.1982	313.051	632.2352	330.4913	1026.2671	2665.0297	666.6187	461.5229	1001.3575	114.0081	811.7182	411.3995
MCM5|4174	517.2368	2002.5924	514.8136	1141.7822	673.3262	1670.3207	1159.0825	2047.0636	189.2424	655.3787	502.1161	1739.2713	1453.9171	482.5056
MCM6|4175	256.2409	1674.0117	988.85	746.1996	653.4892	758.0187	950.0555	2037.2417	618.971	633.8842	805.2384	220.8907	631.9947	444.6953
MCM7|4176	5609.7583	3260.9008	642.2428	1828.1208	893.1463	1894.7341	1256.552	3953.5953	1329.6908	1173.6024	1272.4587	3559.8057	2556.2574	1503.1546
MCM8|84515	112.5347	175.6319	304.5556	73.4247	115.6217	82.8258	93.9697	280.7448	93.9469	154.9224	159.3867	310.9312	201.4483	75.0564
MCM9|254394	22.1899	37.5891	138.8977	19.9214	46.4754	26.3906	61.4132	35.6047	36.8596	25.1445	20.123	40.1619	30.2831	38.3747
MCOLN1|57192	491.3486	403.1108	400.1274	389.3215	695.9972	507.9172	253.4221	419.4803	436.9207	547.9063	682.584	511.0931	405.2008	485.3273
MCOLN2|255231	2.6417	10.3694	59.8917	10.8145	37.407	68.6155	262.3011	33.9677	474.2298	10.5445	193.8833	7.7733	3.6208	7.9007
MCOLN3|55283	6.34	5.1847	138.8977	0.5692	74.2473	34.5108	5.5494	3.6832	0.4495	8.5167	33.5383	1.2955	0	157.4492
MCPH1|79648	311.1029	336.1504	289.2004	207.0121	374.0163	263.1181	331.8535	293.4111	118.6339	287.734	257.6954	191.1255	292.133	302.1953
MCRS1|10445	1905.6928	1569.6695	735.266	2057.5985	1310.0956	1842.0625	880.5031	1353.7958	1554.3948	865.8623	794.3783	2439.5142	1911.7841	2071.1061
MCTP1|79772	3.17	7.7771	282.8926	48.9498	273.1846	88.1039	236.774	234.4997	247.6783	76.2446	246.2669	3.8866	5.925	34.4244
MCTP2|55784	165.8962	305.2495	383.5616	461.0387	950.4782	235.0792	310.0259	207.4893	318.7004	233.1948	221.6721	274.0081	120.1448	853.8375
MCTS1|28985	809.4043	909.2677	963.3641	812.2249	439.249	638.6521	496.1154	471.4549	547.9489	853.6956	556.7356	572.6316	487.8209	649.5485
MDC1|9656	600.1849	786.1309	1062.7588	652.8535	1064.1162	576.9387	1037.7358	953.9595	537.1607	1000.5069	564.0821	790.2834	907.8341	624.7178
MDFIC|29969	981.6405	656.5133	916.2154	1928.963	1009.4226	1181.892	802.4417	1154.4915	867.9978	1592.6189	647.4487	305.1012	842.9888	466.14
MDFI|4188	3.17	11.0175	35.6802	48.3806	8.785	298.8226	19.9778	329.4455	20.2278	164.2502	64.8407	1.2955	13.8249	16.93
MDGA1|266727	17.9633	59.6241	86.6518	96.7612	30.6057	195.2903	113.2075	174.3401	125.8619	165.4669	141.1802	22.6721	16.129	9.0293
MDGA2|161357	0.5283	0	2.5486	0.5692	0.5668	0.406	12.9486	170.2476	46.7487	0	70.9095	0.6478	0.6583	0.5643
MDH1B|130752	411.0421	146.4679	271.424	146.8494	102.5859	29.6387	49.9445	29.8752	74.1686	126.128	44.0789	660.7287	96.445	27.088
MDH1|4190	3623.8278	2898.2502	5246.2568	4115.1971	2680.836	2416.1592	3775.8047	2660.5279	5165.2837	2680.7259	3039.5273	2026.2348	2856.1554	4897.2912
MDH2|4191	12551.0501	6511.3415	2195.6037	4092.9989	3143.3227	2488.0227	3712.5416	3988.541	8188.667	6342.8977	4436.6366	1025.4251	4331.7972	4465.0113
MDK|4192	723.8146	980.5574	1304.8742	3489.0952	742.4725	2090.946	125.0462	498.4653	121.8164	1846.497	157.1508	7182.5101	3149.7696	470.0903
MDM1|56890	234.5793	184.057	178.4008	205.4753	272.9012	199.7564	179.8002	142.4187	230.597	145.5946	151.082	548.664	370.9677	215.0113
MDM2|4193	852.1992	976.6688	3277.4769	2431.5521	2678.0021	1686.1551	2098.7791	2680.5811	3756.0796	2091.4529	2429.1304	1372.6316	2373.6011	2966.7043
MDM4|4194	874.3891	571.6137	3913.3482	438.2713	435.2816	638.6521	754.347	335.9935	527.2716	734.4621	455.8013	1260.5668	501.3167	835.2144
MDN1|23195	339.189	620.2203	686.8429	299.9597	791.215	304.9127	631.5205	787.3951	441.4158	479.7729	425.1377	509.7976	889.0718	416.4786
MDP1|145553	253.4355	225.3597	78.3689	154.687	128.8615	180.4547	64.6763	94.0904	107.5985	290.5688	120.6197	248.4729	115.8065	186.8623
MDS2|259283	0	0.6481	0	0.5692	0	5.6841	1.1099	0.4092	0	1.6222	2.8747	0.6478	0	0
ME1|4199	8.4533	1155.5412	1210.5766	265.8087	269.7839	203.8165	1039.2157	601.1868	13.4852	310.2504	590.9127	5.1822	42.133	23.702
ME2|4200	492.4052	562.5405	1084.4218	703.5109	681.2611	852.2127	1032.1865	884.7964	1060.8363	445.7062	1057.2547	358.8664	634.628	361.1738
ME3|10873	373.5306	393.3895	262.504	302.2365	138.0092	291.1084	169.8113	331.901	581.6619	242.5226	150.7626	787.0445	271.8894	446.3883
MEA1|4201	2028.7729	1314.3033	1007.5948	2313.105	740.4888	1482.7446	1611.1728	1537.5486	1027.5548	1094.5595	767.8671	1676.3725	843.2818	1348.0982
MEAF6|64769	1076.2119	1139.987	1705.0016	1519.7201	628.2678	1309.3788	1557.8986	1036.6278	1598.4465	890.1957	1274.1356	865.4251	1185.3193	1069.4131
MECOM|2122	134.1963	97.2132	488.0535	264.6704	947.6443	1280.1462	950.7954	1408.6352	971.3844	1423.9075	8794.3783	395.1417	315.6682	33.2957
MECP2|4204	946.7706	823.72	965.9127	1527.6886	1692.6674	1517.2554	1346.2819	942.9098	967.7883	2299.5032	1631.8773	1075.9514	1479.2627	1050.7901
MECR|51102	692.643	458.1983	145.2692	738.2311	282.5363	367.8441	458.3796	435.8502	569.0757	494.3729	530.8632	454.0891	462.4753	497.1783
MED10|84246	555.2767	674.0117	500.7964	411.5197	422.8126	580.1868	496.4854	360.1391	478.2753	325.6616	160.0256	302.5101	226.7939	378.6682
MED11|400569	868.0491	313.0266	234.4696	607.888	332.9791	442.5497	305.2164	290.9761	454.002	242.9281	141.8191	1198.3806	421.3298	482.5056
MED12L|116931	0.5283	1.9443	31.8573	0.5692	2.2671	2.8421	9.249	2.8647	0.4495	0.8111	42.1624	1.2955	7.8999	3.9503
MED12|9968	726.9845	528.1918	1094.6161	825.3161	1640.2409	1021.9245	632.2605	763.2494	336.2312	1876.1026	895.9514	1037.085	1243.2521	862.3025
MED13L|23389	1004.8871	847.6993	1889.7738	1992.1424	3659.3695	1470.1583	1733.6293	1449.9693	1613.2802	2057.3862	2318.2943	2276.9231	3211.3232	1831.8284
MED13|9969	1011.7554	1274.7894	5522.778	928.9076	2626.4258	1058.0593	1955.9748	1515.0399	1170.9655	1974.2472	4155.2344	763.0769	2216.2607	1033.86
MED14|9282	636.1115	769.2806	945.5241	582.2748	1198.7248	798.2136	913.411	862.697	942.616	1393.4908	1822.8699	803.8866	997.0375	713.3183
MED15|51586	2069.4756	2205.4439	1374.9602	3354.1987	1556.9253	3832.3183	2619.6818	2676.0794	1132.7574	3113.8599	1571.5084	3771.336	2031.2706	1499.4357
MED16|10025	1267.468	1220.9981	554.3167	1504.3521	1894.7219	1827.0402	988.9012	1381.2155	1190.7438	1089.3237	1071.6282	1197.085	1241.9355	1566.0271
MED17|9440	717.4746	772.5211	426.8875	439.9789	418.8452	427.1214	600.444	470.6364	492.21	285.106	157.4703	371.1741	686.3068	706.5463
MED18|54797	291.1108	577.4465	201.338	237.3495	157.5629	256.5976	367.3696	223.8592	360.055	149.2447	401.8207	430.7692	377.551	270.316
MED19|219541	360.3223	326.6364	257.4068	303.3748	225.0089	252.9436	213.8365	239.4107	213.5158	106.6613	210.1733	174.8988	237.6564	235.3273
MED1|5469	988.5088	886.5846	3045.5559	620.4101	1849.3801	667.8847	1709.5819	1177.4095	1140.399	1493.2576	1211.2114	514.332	1839.368	972.912
MED20|9477	319.1124	326.6364	219.1781	328.9881	387.3893	316.687	508.694	355.2282	281.3913	225.0836	235.4069	384.7773	443.713	261.851
MED21|9412	249.9009	266.3642	381.0131	441.1173	629.9681	363.784	456.8997	382.2386	338.4787	333.3671	505.3102	228.664	522.3831	560.3837
MED22|6837	1166.0283	1010.3694	454.9219	972.7347	818.1367	1084.8559	587.4954	1451.6063	604.5868	746.6288	906.4921	454.7368	1032.5872	627.5395
MED23|9439	412.0988	571.6137	1075.5018	326.7114	990.4357	415.7531	707.7321	436.2595	458.497	404.745	328.9946	869.3117	832.7847	629.7968
MED24|9862	2176.1987	2206.7401	4546.6709	1729.7488	1887.6373	1724.3199	1956.7148	1702.476	1793.083	3568.8938	1513.6948	2852.1457	2630.0197	1758.465
MED25|81857	922.7896	1364.8736	721.2488	1731.4564	1528.751	1919.6102	1414.2767	2038.2198	1188.0467	1097.8404	1065.24	2266.5587	1439.1047	1375.412
MED26|9441	223.4843	252.1063	284.1669	231.6577	237.1945	339.0175	258.9715	307.7553	190.1414	234.0059	240.5174	264.9393	171.1652	205.4176
MED27|9442	236.1643	263.7719	226.8238	449.655	196.1034	377.5883	176.1006	290.5668	258.017	98.9557	177.2738	211.1741	199.1442	202.0316
MED28|80306	321.7541	475.0486	683.0201	487.2211	561.1052	537.1498	722.1606	414.16	496.2556	562.5063	619.3404	286.9636	331.7972	499.4357
MED29|55588	2292.96	2634.4783	1628.5441	2253.3977	1897.8392	1826.6342	1588.9752	1663.188	2012.4424	1689.9523	1673.0815	3217.4899	1886.7676	1922.6862
MED30|90390	97.7414	73.882	59.8917	110.4216	113.3546	101.0962	109.138	112.1342	132.155	111.1224	99.3372	49.8785	63.1995	110.0451
MED31|51003	284.2689	91.7498	162.3957	131.2594	69.8179	90.6415	149.8853	119.9714	125.0933	54.5676	53.2333	165.6745	103.8479	93.0474
MED4|29079	1043.4553	797.1484	876.7123	1355.7952	899.1853	995.9399	1026.2671	709.6378	752.025	497.2118	421.3048	1002.1053	755.7604	822.7991
MED6|10001	338.6607	347.3752	268.8754	117.821	280.2692	203.4105	369.9593	305.2998	257.5674	249.417	175.9962	132.1457	209.0191	250
MED7|9443	285.2992	421.9054	1362.2173	211.7363	125.2568	172.5538	154.273	167.3829	226.102	114.7724	176.635	341.3765	186.3068	208.8036
MED8|112950	629.7715	609.2029	925.1354	613.5799	268.367	620.3816	537.9208	566.8099	513.3369	450.9784	600.8145	440.4858	435.813	716.14
MED9|55090	837.9342	410.2398	271.424	596.5044	522.848	662.2006	846.0969	536.5255	701.2307	695.9343	234.768	584.2915	736.6689	512.4153
MEF2A|4205	1039.7728	1011.4841	1772.1822	935.8459	1950.3592	1315.5217	1333.8513	1129.1958	1111.7115	1208.7276	1794.7169	864.2073	1168.1567	1030.9876
MEF2B|100271849	50.0964	19.6954	60.5543	34.003	35.6075	103.9423	11.5131	98.4367	40.2578	38.7428	30.0663	156.1652	31.2673	31.1512
MEF2C|4208	176.4628	306.5457	460.0191	224.2583	981.9341	906.2119	513.1336	792.7154	275.9972	609.9564	497.0055	107.5304	467.0836	174.9436
MEF2D|4209	512.4818	639.0149	602.7397	1429.2199	1572.5115	1971.9854	1603.0337	1340.6998	840.1284	2643.8203	2272.299	491.6599	1149.7696	757.3363
MEFV|4210	3.17	3.2404	29.3087	4.5535	8.785	32.8867	7.0292	5.3202	2.697	2.4333	8.6241	3.8866	2.3041	9.5937
MEG3|55384	1.585	2.5924	6.3715	14.2296	2.2671	113.2765	5.5494	12.6867	4.0456	41.7723	28.4277	16.8421	7.2416	41.1964
MEG8|79104	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEGF10|84466	0.5283	0	24.2115	1.1384	8.785	8.9322	0.37	0.4092	0.4495	0.8111	0.9582	0	0	1.693
MEGF11|84465	8.9816	2.5924	68.8117	72.2863	282.8197	253.7556	1.4798	416.2063	17.0813	230.3559	378.5036	6.4777	2.9625	82.3928
MEGF6|1953	468.6303	36.941	100.669	251.0099	508.6787	874.1372	406.5853	455.9034	203.1771	922.6402	703.0264	540.2429	1321.5932	515.237
MEGF8|1954	2745.7403	1878.1594	721.2488	2457.7346	2218.0659	2189.2002	1658.1576	3515.0399	2508.698	2253.2698	3363.0919	1812.4696	2734.6939	1409.7065
MEGF9|1955	368.2473	925.4699	486.7792	797.4262	1051.6472	804.3037	850.5364	670.3499	960.5962	720.2677	1973.0097	281.7814	1080.6452	1031.6027
MEI1|150365	1.585	18.1465	48.4231	64.3177	10.7687	153.0654	15.9083	47.4729	14.8337	12.9778	8.9435	11.0121	12.1791	8.465
MEIG1|644890	4.755	0	0	3.4151	1.9837	2.8421	0.37	0	0.899	0	0.6388	3.2389	0.3292	2.2573
MEIS1|4211	16.9066	123.7848	313.4756	63.1794	99.1853	208.2826	272.66	136.6892	175.7572	268.4782	132.2367	15.5466	59.2495	79.5711
MEIS2|4212	7.925	398.5742	178.4008	124.6512	286.2203	347.1376	291.158	308.5738	260.2645	237.2503	231.8933	66.0729	128.7031	50.2257
MEIS3P1|4213	1241.0514	246.9216	470.2134	589.105	737.0882	473.4064	83.6108	149.7851	53.4913	276.1837	75.7007	452.7935	1049.0454	363.9955
MEIS3|56917	430.5904	14.2579	16.5658	750.7531	39.3907	179.862	922.6785	1520.7694	913.8475	321.606	853.4696	492.9555	761.027	61.5124
MELK|9833	32.2282	390.7971	203.8866	134.3273	111.6543	93.7881	256.7518	572.5394	61.1329	34.8778	96.1431	65.4251	128.7031	94.8081
MEMO1|51072	236.1485	157.4854	963.3641	218.8397	178.9727	372.3792	436.2597	566.1715	234.5032	207.8759	258.5994	273.7943	140.6715	192.1783
MEN1|4221	1661.0752	1030.4601	1018.1586	943.1371	802.8339	868.8591	1248.2427	1597.299	1055.8917	702.8288	1407.6499	1348.0162	1093.1534	704.2889
MEOX1|4222	0	1.9443	6.3715	15.368	3.1173	10.1502	5.5494	3.6832	1.798	4.8667	2.2359	0	14.4832	0.5643
MEOX2|4223	2.1133	1.2962	5.0972	11.9529	9.9185	3.6541	0.37	13.5052	10.7882	25.1445	7.9853	0.6478	42.133	3.9503
MEP1A|4224	0	0	0	1.1384	0	0	0.37	1.637	0	0	0.6388	0	0.6583	0
MEP1B|4225	0	0	0	0	0	0.406	0	0	0	0	0	0	0	0
MEPCE|56257	3117.6859	1782.8905	755.6547	2164.0359	1586.1141	1667.4787	1114.3174	1984.0393	2308.2179	1390.6519	955.6815	1673.1984	1595.7867	1518.623
MEPE|56955	0	3.8885	0	2.8459	0	2.4361	0	0	0	1.2167	0	0	0	0
MERTK|10461	138.4229	438.1076	355.5272	109.8524	248.2465	344.2956	229.3748	207.08	86.3053	302.5449	463.7866	156.1134	99.4075	250
MESDC1|59274	211.861	405.0551	463.842	545.2778	465.0372	1139.6671	314.4654	868.0172	331.2866	362.9727	219.7556	190.4453	222.1856	432.8442
MESDC2|23184	798.8377	2097.2132	1713.9216	1456.5407	1471.6259	1094.1941	1451.7203	1042.7665	1600.694	1674.9468	1616.865	617.3279	1458.8545	1343.6795
MESP1|55897	77.1364	84.8995	63.7146	83.67	100.6022	50.3451	20.7177	19.644	3.1465	55.1556	24.5947	69.9595	7.2416	49.0971
MESP2|145873	21.1333	53.1432	25.4858	20.4906	3.9674	28.8266	2.9597	3.6832	0	2.8389	0.9582	9.7166	3.2916	3.9503
MESTIT1|317751	0.5283	27.2197	0	22.1982	0.2834	1.624	0.37	0	128.559	0.8111	13.4153	1.9433	0.3292	0
MEST|4232	334.434	818.5353	815.5464	413.2273	128.0907	968.7373	420.6437	325.7622	2997.7615	710.1288	4306.9552	698.9474	204.4108	158.5779
METAP1|23173	678.9064	642.2553	1164.7021	813.3633	951.3284	779.1311	1729.5597	1102.1076	1042.4065	846.8012	1103.5694	630.9312	891.3759	1063.7698
METAP2|10988	1171.8399	1535.3208	1220.7709	1206.6691	2178.1084	1063.3374	1218.6459	1444.6491	1655.9834	1794.5858	1253.6932	659.4332	1323.8973	1590.8578
METRNL|284207	1080.9668	968.2437	182.2236	369.9693	556.8544	2591.555	777.2845	1089.4209	1104.4384	547.9063	1715.244	611.498	517.4457	422.6862
METRN|79006	694.7563	95.269	85.3775	1142.3514	310.3082	247.2594	1433.9623	871.2912	2168.8707	524.3841	986.9839	1011.8219	174.4569	382.0542
METT10D|79066	891.2957	526.2476	471.4877	774.0896	930.0744	457.9781	1131.3356	815.2241	1121.0702	800.9733	466.0225	621.2146	1115.5365	894.4695
METT11D1|64745	1366.266	1009.0732	457.4705	352.8938	542.1183	553.3902	489.4562	389.1958	783.041	317.1449	208.2568	1112.8745	513.8249	913.6569
METT5D1|196074	336.5474	368.7622	360.6244	377.3687	229.8264	279.7402	523.8624	313.0755	508.3923	255.9059	339.8547	641.2955	600.0658	350.4515
METTL10|399818	193.2426	180.525	142.7206	300.2443	222.2543	170.2842	181.3873	211.6349	249.6831	86.7728	172.7925	310.7368	160.7637	285.2201
METTL11A|28989	558.7531	688.0687	225.5495	434.6229	375.0053	445.7125	444.7096	496.1326	526.8446	410.9946	661.6977	115.6211	281.3858	558.4989
METTL11B|149281	0	0.6481	0	0	0	0	0	0	0	0	0	0	0	0
METTL12|751071	66.6808	60.9851	17.9038	45.5688	47.9603	46.3297	31.8831	79.4884	48.6052	49.198	36.7867	40.4664	21.4154	64.5147
METTL13|51603	736.4945	656.5133	1262.8226	425.7493	913.9214	427.5274	1082.131	568.4469	641.8958	844.3678	681.6258	234.4939	721.5273	707.1106
METTL14|57721	169.5945	121.8406	147.8178	96.192	313.9922	150.6293	215.6863	191.1193	200.4801	181.6891	168.0109	69.9595	270.2436	291.7607
METTL1|4234	558.975	740.1167	386.1102	885.6496	394.474	637.434	252.3122	452.2202	409.0513	317.1449	192.2862	597.247	303.16	902.9345
METTL2A|339175	799.366	578.7427	1046.1931	240.7646	416.0113	227.365	421.7536	381.0108	390.172	387.7116	565.6792	209.8785	543.1205	369.6388
METTL2B|55798	711.6629	355.1523	172.0293	142.8651	253.3475	129.1108	192.3788	310.2108	256.2189	201.5614	316.2182	86.1538	317.314	259.5937
METTL3|56339	1266.2	689.475	711.373	228.2312	211.2788	386.2079	224.3063	296.0262	386.6928	222.9666	179.0593	1276.8972	416.6722	512.0993
METTL4|64863	135.2529	107.5826	324.9442	132.0506	101.169	191.6362	180.1702	155.9239	169.4641	56.7779	206.6597	192.3887	176.761	66.5914
METTL5|29081	643.9097	992.8516	917.7318	1069.6723	291.4403	414.1941	833.3333	899.7094	979.2373	300.294	327.3465	357.9077	326.8631	665.9876
METTL6|131965	262.5809	141.9313	340.2357	180.4312	112.221	162.8096	254.902	257.8269	219.3594	152.8947	196.4386	292.1457	316.9849	220.6546
METTL7A|25840	1789.9881	1836.6818	1841.3507	3861.9104	6016.0113	2082.8258	1012.5786	855.3305	3846.4305	2424.0089	1452.0482	5384.9393	6370.3094	5075.0564
