TCGA-2Z-A9J7-01A-11R-A38C-07	TCGA-A4-A57E-01A-11R-A26U-07	TCGA-AL-3466-01A-02R-1351-07	TCGA-AL-7173-01A-11R-2139-07	TCGA-BQ-5877-01A-11R-1592-07	TCGA-BQ-5889-01A-11R-1592-07	TCGA-BQ-5893-01A-11R-1592-07	TCGA-BQ-5894-01A-11R-1592-07	TCGA-F9-A8NY-01A-11R-A36F-07	TCGA-G7-6789-01A-11R-1965-07	TCGA-G7-6793-01A-11R-1965-07	TCGA-G7-A8LB-01A-11R-A36F-07	TCGA-GL-6846-01A-11R-1965-07	TCGA-SX-A7SM-01A-11R-A355-07
ABCC6P2|730013	132.0829	147.7641	674.1	277.7616	31.7393	91.352	7.7691	20.0532	10.7882	36.5001	26.1918	823.9676	278.8018	164.7856
ABCC6|368	161.6695	876.8633	768.3976	482.6676	716.401	356.0698	27.007	61.3874	239.1377	226.7059	214.6451	2034.0081	1644.1738	1260.158
ABCC8|6833	17.4349	0.6481	0	0.5692	1.7003	1.218	17.0181	0.8185	0.899	0	1.5971	0	0.3292	7.3363
ABCC9|10060	63.9281	570.9657	323.67	155.9563	1411.548	356.0698	356.2708	234.9089	61.1329	460.3062	420.3466	31.0931	83.2785	81.2641
ABCD1|215	588.5616	850.2916	141.4463	670.4982	884.4492	1064.9614	340.7325	474.7289	417.1424	976.9847	689.9305	500.7287	326.8598	474.605
ABCD2|225	0.5283	1.2962	19.1144	1.7076	14.7361	20.7065	8.879	16.37	4.4951	0.4056	2.2359	1.9433	3.95	0.5643
ABCD3|5825	1235.7681	1255.3467	1460.3377	1370.0248	1592.632	1040.1949	932.6674	902.8034	1610.5832	657.0009	1536.0537	1174.413	1899.2758	1562.6411
ABCD4|5826	1298.1112	1152.9488	366.9959	402.982	1016.7906	723.5079	595.2645	469.4086	772.7023	567.373	430.2483	1636.9231	900.5925	1448.6456
ABCE1|6059	994.8488	848.9955	1548.2638	1046.7285	1258.5193	952.903	2000	1655.8216	1183.1021	946.568	1144.7736	574.5749	919.684	1309.2551
ABCF1|23	1795.7998	1755.6708	895.8267	1050.7128	2196.5285	1139.2611	2132.8154	1641.0886	1320.2017	1377.2686	1053.1023	807.1255	1406.5174	1824.4921
ABCF2|10061	2626.3373	1593.0006	751.8318	1817.9723	1630.6057	1497.767	1238.9937	2105.177	1232.9974	1204.5017	1456.2006	983.9676	1460.8295	1496.0497
ABCF3|55324	1261.6563	1261.8276	779.8662	1368.8864	1512.4336	1084.4499	1005.1794	1077.5527	1246.0331	785.9678	1299.6886	1743.1579	1508.8874	1449.2099
ABCG1|9619	891.2957	672.0674	186.0465	363.7083	1231.0308	624.4417	111.7277	345.8154	459.8455	289.1615	1022.7581	58.9474	385.7801	336.3431
ABCG2|9429	16.3783	95.917	53.5202	39.8428	37.407	68.2095	195.7085	130.5504	22.9249	32.4445	93.9072	32.3887	70.1119	14.1084
ABCG4|64137	12.1516	0.6481	0	4.5535	1.7003	9.7442	7.0292	11.0497	6.7426	4.0556	12.7765	7.7733	14.154	1.693
ABCG5|64240	14.265	1.2962	1.2743	3.9843	4.8176	3.2481	3.3296	1.2277	2.2475	1.6222	0.6388	42.1053	8.8874	7.3363
ABCG8|64241	2.6417	0	0	0	13.6026	0.406	0	0	0	0	0	35.6275	2.9625	2.8217
ABHD10|55347	699.5113	316.9151	1051.2902	1086.5714	517.7471	855.0548	791.7129	587.2724	733.1457	380.8172	968.1386	3227.8543	1250.8229	1181.7156
ABHD11|83451	8819.9709	1162.022	898.3753	2335.9293	367.5522	1447.0158	742.1384	1249.4373	792.0311	605.0897	555.1385	8362.753	1588.5451	1034.9887
ABHD12B|145447	2.1133	0.6481	6.3715	0.5692	3.684	2.8421	0.37	2.0462	0	1.6222	0.6388	1.2955	1.6458	2.2573
ABHD12|26090	2494.2544	1471.1601	499.5221	1880.5824	1549.5572	2240.7633	1499.4451	2431.7577	3123.1739	1879.7526	1695.4404	2422.6721	1114.2199	1492.0993
ABHD13|84945	244.6176	351.9119	431.9847	290.8528	537.8675	362.16	381.0581	356.8652	307.9122	204.8058	282.041	152.8745	331.1389	279.9097
ABHD14A|25864	821.5559	470.512	279.0698	809.379	164.0156	534.7138	493.5257	372.2079	347.0418	339.9777	282.4467	3687.1255	1152.8374	546.3713
ABHD14B|84836	5642.0552	2322.7479	1878.3052	4476.6286	1516.401	2330.0853	3768.0355	2833.6403	3678.3149	3316.6379	2333.9455	6200.4858	5052.3371	2455.4176
ABHD15|116236	614.4499	621.5165	350.4301	312.4818	591.1442	437.6776	534.5912	602.0053	769.5558	867.4845	1050.8664	301.8623	803.16	381.4898
ABHD1|84696	166.4245	22.035	91.749	44.9655	19.2703	12.9923	0.7399	4.911	1.798	19.4667	1.5971	122.4291	26.9914	21.4447
ABHD2|11057	1169.7266	1826.9605	1532.9723	1518.0125	5509.0329	1664.6366	1612.6526	2349.4987	1707.6767	3112.6432	5192.366	536.3563	1839.368	3047.9684
