TCGA-KL-8336-01A-11R-2315-07	TCGA-KL-8339-01A-11R-2315-07	TCGA-KL-8341-01A-11R-2315-07	TCGA-KN-8426-01A-11R-2315-07	TCGA-KN-8427-01A-11R-2315-07	TCGA-KO-8404-01A-11R-2315-07
ABI3BP|25890	134.0846	563.5776	63.63	13.4146	119.6583	162.2807
ABI3|51225	234.5526	101.2931	42.8872	252.439	75.6083	681.4693
ABL1|25	2133.8936	1388.6494	1184.8633	1451.626	3543.7271	3843.75
ABL2|27	353.7389	322.9167	300.7708	414.2276	3730.1179	1094.2982
ABLIM1|3983	4073.7274	4920.977	4321.5137	2096.748	254.4383	236.8421
ABLIM2|84448	21.0104	8.2615	8.9699	5.2846	74.9508	63.0482
ABLIM3|22885	210.4861	147.9885	166.7835	176.0163	3059.1766	998.9035
ABO|28	8.4042	0	0.8409	8.9431	3.9448	2.7412
ABP1|26	37.0547	1.796	2.2425	19.1057	37.8041	6.0307
ABRA|137735	0	0	4.4849	1.2195	0.3287	0
ABR|29	3657.7213	2827.227	422.9853	2136.1789	2805.0671	6172.1491
ABT1|29777	406.0739	350.5747	269.6566	435.7724	586.786	571.8202
ABTB1|80325	431.6684	828.3046	236.5802	326.8293	1011.5073	949.0132
ABTB2|25841	1854.2642	1886.4943	1473.3006	1339.0244	661.0793	110.7456
ACAA1|30	2449.0498	1524.7845	4283.3917	1126.8293	556.8714	1006.5789
ACAA2|10449	2021.9654	2174.2098	2172.1093	2569.1057	309.9939	547.1491
ACACA|31	1399.2933	994.6121	4617.5193	1489.4309	1904.0136	925.4386
ACACB|32	4320.8863	4993.5345	4191.1703	2835.3659	63.4452	239.5833
ACAD10|80724	1128.068	1083.6925	4743.9383	2141.4634	563.7748	734.1009
ACAD11|84129	444.9814	402.1983	353.9734	89.4309	949.6465	716.557
ACAD8|27034	1957.7882	1353.8075	1295.5851	1452.439	183.761	198.4649
ACAD9|28976	1647.5752	1096.2608	1314.0799	735.622	1373.7662	859.0844
ACADL|33	876.3251	201.1494	1177.5753	584.1463	2.3011	0
ACADM|34	1270.9388	2566.4511	1349.6847	783.7398	710.7178	398.5746
ACADSB|36	914.1438	1562.5	1388.0869	923.5772	179.1587	152.9605
ACADS|35	6023.8755	5186.7816	3129.082	5847.9675	231.7558	293.8596
ACADVL|37	3696.2812	3844.8024	4528.5158	5788.1707	4799.0776	5927.6042
ACAN|176	51.953	77.9454	60.2663	67.8862	43.0638	1610.1974
ACAP1|9744	29.7966	12.2126	12.0533	43.9024	101.9068	118.9693
ACAP2|23527	1443.2241	848.7787	1246.5312	500	2811.313	720.3947
ACAP3|116983	362.9606	173.8685	237.9902	659.0244	710.4745	2683.1634
ACAT1|38	28604.3358	32834.7701	16661.2474	6960.1626	1242.2769	254.386
ACAT2|39	294.9327	342.5	496.8521	122.5285	141.4565	158.3388
ACBD3|64746	898.0995	802.0833	1046.391	778.4553	1738.0042	683.114
ACBD4|79777	139.8147	253.592	157.5333	181.3008	195.2666	268.0921
ACBD5|91452	1413.4276	1132.9023	1161.5978	969.1057	1503.2898	347.0395
ACBD6|84320	299.4938	334.4109	192.0112	239.0244	778.7653	518.0921
ACBD7|414149	47.7509	11.8534	50.1752	29.2683	10.1907	11.5132
ACCN1|40	182.9816	73.9943	5.8865	49.187	2.9586	0
ACCN2|41	162.3532	313.5776	16.2579	133.7398	71.9922	155.1535
ACCN3|9311	3.0561	16.1638	5.6062	2.8455	1.3149	95.943
ACCN4|55515	0	0	0.5606	0	0.3287	3.8377
ACCN5|51802	0.382	0	1.6819	0.4065	0	0
ACCSL|390110	0	0	0.2803	0.4065	0	0
ACCS|84680	380.8614	294.181	228.171	453.1179	79.8818	381.5789
ACD|65057	174.9594	290.9483	259.8458	301.626	483.5642	1019.7368
ACE2|59272	1.528	1.0776	3.9243	4.4715	0	0.5482
ACER1|125981	0	0	0.2803	0.4065	0	0
ACER2|340485	30.1786	30.8908	26.0687	46.3415	96.9758	2.7412
ACER3|55331	594.4036	287.7155	628.171	280.8943	135.1087	462.7193
ACE|1636	176.1054	313.5776	359.3553	208.9431	41.0915	321.2719
ACHE|43	14.8983	10.7759	16.2579	291.8699	12.1631	77.8509
ACIN1|22985	2719.511	2123.9224	2605.466	2836.5854	2175.546	3936.4035
ACLY|47	1511.6035	1867.4569	1393.9734	1531.7073	6014.1453	3037.8289
ACMSD|130013	0	0	0.2803	1.2195	2.6299	0
ACN9|57001	367.8732	6.4655	270.2172	429.6748	104.5367	141.4474
ACO1|48	4679.2092	3406.6092	4409.2502	684.1463	1497.7013	633.2237
ACO2|50	10632.4095	14841.1063	22550.9741	20981.4106	3121.1327	1974.3257
ACOT11|26027	1066.2057	1543.1645	1530.6517	871.3415	14.7929	93.75
ACOT12|134526	0	0	0	0	0	0
ACOT13|55856	541.9043	569.6444	606.3574	561.5935	375.4378	912.9934
ACOT1|641371	2898.6725	4184.2672	1982.9012	2367.0732	296.5159	368.4211
ACOT2|10965	1060.8347	1502.1552	830.2733	1510.9756	178.83	180.3728
ACOT4|122970	304.4599	647.6293	257.6034	484.9593	2.9586	53.1798
ACOT6|641372	33.9987	60.3448	32.2355	28.4553	0.6575	1.0965
ACOT7|11332	527.5523	236.3506	456.0617	426.8293	2061.1474	807.0175
ACOT8|10005	640.8442	1114.9928	823.7421	417.1098	364.1327	1016.5461
ACOT9|23597	406.4559	383.6207	341.4156	471.9512	726.4969	779.6053
ACOX1|51	1212.6062	2031.7421	1722.6797	900	694.3404	684.2105
ACOX2|8309	709.3878	327.9454	42.3266	145.122	52.9258	2.193
ACOX3|8310	386.9735	548.8506	620.6027	350	301.7756	427.6316
ACOXL|55289	3.4381	2.1552	1.6819	2.8455	1.3149	4.386
ACP1|52	1568.5226	1805.6753	1349.965	1606.0976	1993.0999	787.8289
ACP2|53	1354.5946	1073.9943	805.6062	832.9268	623.6039	2063.0482
ACP5|54	548.9447	68.9655	117.1689	339.0244	435.8982	3604.7149
ACP6|51205	188.7117	148.3477	218.3602	174.7967	57.8568	125
ACPL2|92370	113.8382	88.7213	110.4415	126.8293	187.377	197.9167
ACPP|55	192.5318	3.2328	362.1584	80.0813	3.9448	30.7018
ACPT|93650	0.382	0.3592	0	0.813	0.3287	0
ACRBP|84519	11.0782	2.1552	0.8409	10.9756	9.2045	51.5351
ACRC|93953	3.8201	4.6695	3.9243	17.0732	8.547	16.4474
ACRV1|56	0.764	0.7184	8.6896	2.0325	0	2.7412
ACR|49	1.91	0	0.2803	0.4065	0.3287	0.5482
ACSBG1|23205	12.2242	5.7471	6.4471	179.6748	4.931	3.8377
ACSBG2|81616	1.528	5.7471	5.8865	1.2195	0.3287	6.0307
ACSF2|80221	943.1764	514.0086	351.2263	301.626	372.4529	493.9693
ACSF3|197322	319.3582	242.4569	442.3266	841.8699	348.7843	527.9605
ACSL1|2180	30726.0052	14468.75	50325.1577	14422.3577	1413.8748	6711.0746
ACSL3|2181	4902.3016	3025.8621	6699.3693	2595.122	1811.3113	739.0351
ACSL4|2182	3082.8001	3016.523	704.4149	768.6992	2165.0266	1302.6316
ACSL5|51703	195.2058	502.5144	127.5403	605.6911	606.5099	230.8114
ACSL6|23305	51.571	34.842	19.6216	8.1301	1.9724	13.1579
ACSM1|116285	2.6741	0.7184	10.932	10.5691	0.9862	0
ACSM2A|123876	0.382	1.0776	1.6819	0.813	0.6575	0
ACSM2B|348158	0	1.0776	0.5606	2.0325	2.3011	0
ACSM3|6296	80.1337	325.2371	98.4135	1059.4837	28.054	16.1513
ACSM4|341392	0	0	0	0	0.3287	0.5482
ACSM5|54988	5.7301	3.2328	3.9243	14.6341	5.5884	20.8333
ACSS1|84532	4163.8812	3945.7615	4161.1773	2847.561	385.6022	1174.3421
ACSS2|55902	1055.8686	1360.6322	2077.0848	655.6911	1078.8972	1031.7982
ACSS3|79611	7049.5655	7585.8477	9388.9278	3322.3577	42.0776	46.6009
ACTA1|58	0.764	1.796	0.2803	2.439	0.6575	14.8026
ACTA2|59	1290.8452	1373.6279	631.0329	1136.7683	3913.0439	873.8925
ACTBL2|345651	2.6741	0.7184	1.4015	4.4715	24.9836	4.9342
ACTB|60	112921.784	108806.0345	65754.4499	120427.6423	87914.017	204234.1338
ACTC1|70	45.8409	418.1034	93.9033	249.187	31.2295	4.386
ACTG1|71	42696.5906	102785.2011	19683.2516	39471.1382	97566.8928	57336.0746
ACTG2|72	131.0286	120.6897	52.1374	100.4065	48.981	101.9737
ACTL6A|86	691.0515	888.2902	454.0995	386.5854	1811.3113	841.0088
ACTL6B|51412	0	0	0	0	0	0
ACTL7A|10881	0	0	0	0	0	0
ACTL7B|10880	0	0	0	0	0	1.6447
ACTL8|81569	0	0	0	0	0	9.3202
ACTL9|284382	0	0	0	0	0	0
ACTN1|87	2117.4673	698.9943	754.59	571.9512	8392.19	6491.7763
ACTN2|88	3.8201	20.1149	1.4015	21.5447	23.0112	6.0307
ACTN3|89	1.528	0.3592	0.2803	0	0.6575	5.4825
ACTN4|81	15925.4933	12015.819	8778.7162	15932.2317	15054.627	5711.7379
ACTR10|55860	1347.7223	1864.2241	1534.9685	1090.6504	1039.4494	823.4649
ACTR1A|10121	2140.7697	1310.704	1897.6875	1750.4065	4692.9729	3360.1974
ACTR1B|10120	1346.1943	1077.5862	899.5095	1197.1545	1512.4943	2090.4605
ACTR2|10097	2900.5826	2204.3822	3197.1969	2102.8455	12640.389	3735.1974
ACTR3B|57180	411.422	1303.1609	199.8598	147.561	148.5867	184.2105
ACTR3C|653857	140.9607	67.8879	252.2775	143.9024	37.1467	72.9167
ACTR3|10096	2872.314	2190.0144	2303.0133	2379.6748	7632.4912	4873.3553
ACTR5|79913	101.614	159.4828	194.8143	99.187	225.5099	212.1711
ACTR6|64431	504.6318	629.3103	703.5739	390.6504	364.8921	222.5877
ACTR8|93973	914.1438	764.0086	535.1086	380.4878	625.5763	353.0702
ACTRT1|139741	0	0	0	0	0	0
ACTRT2|140625	0	0	0	0	0	0
ACVR1B|91	2873.078	2063.5776	2171.2684	4286.5854	821.8291	995.0658
ACVR1C|130399	233.4066	10.4167	285.3539	465.8537	4.6022	15.3509
ACVR1|90	855.3147	522.2701	779.2572	647.561	1861.2785	1264.8026
ACVR2A|92	290.3257	213.0029	276.6643	242.6829	182.1173	238.4868
ACVR2B|93	184.1276	151.2213	445.41	171.1382	381	129.386
ACVRL1|94	492.0256	249.6408	209.3903	316.6667	267.9163	847.0395
ACY1|95	1955.4961	1930.1868	1110.5816	822.4675	756.3951	695.7237
ACY3|91703	0.764	0.7184	0.2803	17.4797	7.5608	13.7061
ACYP1|97	75.6375	44.181	88.0168	115.8537	53.912	299.8904
ACYP2|98	235.6986	160.9195	239.3833	201.626	102.2355	224.7807
ADAD1|132612	0	0	0	0	0	9.8684
ADAD2|161931	0.382	0	0.5606	2.0325	0	0.5482
ADAL|161823	312.1001	940.3736	542.9573	376.8293	221.8939	238.4868
ADAM10|102	1958.5522	2154.454	1846.9516	1610.5691	1745.2363	452.3026
ADAM11|4185	0.764	0.7184	1.9622	0.813	22.3538	58.6623
ADAM12|8038	66.4693	25.8621	49.054	34.1463	3239.6503	2792.7632
ADAM15|8751	857.24	503.9511	451.3104	1481.7439	2487.7161	2821.8586
ADAM17|6868	335.0205	272.2701	380.3784	377.6423	1587.7738	401.864
ADAM18|8749	0	0	0	0	0	0
ADAM19|8728	123.7704	26.2213	45.9706	78.4553	1280.081	1037.2807
ADAM20|8748	2.292	0.7184	2.5228	1.2195	0.9862	1.6447
ADAM21P1|145241	1.146	0.3592	1.9622	0	0.3287	0
ADAM21|8747	3.4381	0.7184	3.644	0.813	4.2735	2.193
ADAM22|53616	249.4509	162.7155	713.9453	135.3659	12.1631	6.0307
ADAM23|8745	1.91	0	1.1212	0.4065	1.9724	1.6447
ADAM28|10863	84.0416	21.9109	13.4548	81.3008	37.4754	174.3421
ADAM29|11086	0.382	0.7184	0	0.813	0	0
ADAM2|2515	339.2226	108.1178	500.911	56.5041	0	0
ADAM30|11085	0	0	0	0	0	0
ADAM32|203102	29.7966	54.9569	0.8409	0.4065	0.9862	13.7061
ADAM33|80332	1.528	0	0.2803	0	557.519	16396.9682
ADAM3A|1587	0	0	0	0	0	0
ADAM5P|255926	0	0	0	0	0	0
ADAM6|8755	1407.1856	243.926	36.7568	324.0732	8132.7846	572.1985
ADAM7|8756	0.382	0	0.2803	0	0	0
ADAM8|101	84.8057	17.2414	78.4863	83.3333	237.0155	1567.4342
ADAM9|8754	5602.1392	6922.0546	2560.0561	1993.0894	10261.0294	2172.6974
ADAMDEC1|27299	104.288	3.2328	15.417	52.439	43.0638	1496.1623
ADAMTS10|81794	21.7744	5.7471	11.773	22.7642	446.7463	140.3509
ADAMTS12|81792	52.335	11.4943	10.6517	9.3496	593.0319	217.1053
ADAMTS13|11093	76.4015	82.9741	241.0652	45.122	53.2545	19.1886
ADAMTS14|140766	21.0104	6.4655	3.9243	10.5691	265.6152	572.9167
ADAMTS15|170689	59.5932	3.9511	3.0834	28.8618	40.434	9.3202
ADAMTS16|170690	5.3481	10.7759	1.6819	6.9106	131.8214	44.4079
ADAMTS17|170691	15.2803	11.1351	149.4043	227.6423	9.2045	67.9825
ADAMTS18|170692	29.7966	12.931	13.1745	18.2927	21.0388	10.4167
ADAMTS19|171019	0.382	0	8.4093	0	0	0
ADAMTS1|9510	476.3633	291.3075	287.5964	480.0813	12934.9325	448.4649
