TCGA-KL-8327-01A-11R-2315-07	TCGA-KL-8329-01A-11R-2315-07	TCGA-KL-8332-01A-11R-2315-07	TCGA-KM-8439-01A-11R-2315-07	TCGA-KM-8441-01A-11R-2315-07	TCGA-KM-8476-01A-11R-2315-07	TCGA-KM-8477-01A-11R-2315-07	TCGA-KM-8639-01A-11R-2403-07	TCGA-KN-8422-01A-11R-2315-07	TCGA-KN-8423-01A-11R-2315-07	TCGA-KN-8424-01A-11R-2315-07	TCGA-KN-8425-01A-11R-2315-07	TCGA-KN-8430-01A-11R-2315-07	TCGA-KN-8437-01A-11R-2315-07	TCGA-KO-8403-01A-11R-2315-07	TCGA-KO-8406-01A-11R-2315-07	TCGA-KO-8410-01A-11R-2315-07	TCGA-KO-8411-01A-11R-2315-07	TCGA-KO-8413-01A-11R-2315-07	TCGA-KO-8415-01A-11R-2315-07	TCGA-KO-8417-01A-11R-2315-07
MED10|84246	625.4717	621.3689	518.5185	685.6768	434.8887	962.7963	380.1597	304.8321	632.1735	338.5821	646.31	610.2877	596.319	440.2062	672.8241	654.7652	446.5284	705.6604	576.0785	850.6179	830.3824
MED11|400569	699.0566	274.4352	226.9504	506.9376	268.8949	822.9798	685.6372	300.8374	285.1333	241.8866	253.9313	378.3784	356.2372	258.4192	358.5787	281.2414	212.8043	270.1887	395.9425	566.8995	404.0368
MED12L|116931	18.8679	51.9738	23.1153	9.1773	27.4153	4.8451	0	127.5255	2.7113	38.7373	43.2648	13.9494	26.9939	27.4914	24.3399	14.2818	46.1677	4.5283	7.1341	5.9108	68.6969
MED12|9968	1528.3019	914.0114	897.2945	1024.8006	847.9955	867.9702	821.9548	1005.7617	676.9092	1355.5112	748.4816	739.6687	1033.9468	1136.0825	907.0955	909.274	1109.468	684.9057	924.7576	665.7711	1060.1983
MED13L|23389	1312.2642	2251.7587	2299.4484	1109.1445	2031.3586	1862.606	1947.1376	1264.5003	1560.3254	4084.8673	2281.3878	2315.2572	3029.0389	1960.1375	1506.0306	2382.4957	3541.2083	1632.8302	2101.438	1665.2337	2523.7252
MED13|9969	1117.9245	880.245	1244.0242	1148.0389	1883.0157	671.3964	1891.8007	1313.6667	848.1699	1851.1126	1131.2089	1080.3836	1382.8221	2031.9588	922.7426	1356.4039	1332.3715	1078.1132	1080.816	682.4288	1189.4476
MED14|9282	777.2264	1623.0737	1547.15	655.0858	797.2547	865.2016	1688.8989	1052.7341	923.6331	1822.1099	1840.0466	1559.4978	1599.137	914.7423	1145.6221	1628.8163	1666.3336	1443.7321	1396.8699	1268.1354	1627.0928
MED15|51586	3583.0189	1913.4321	1828.2112	1264.2849	1016.2426	2259.9066	1475.6495	1372.3592	1214.1889	1678.4209	1518.9284	1689.9738	805.317	1083.5052	1611.6484	1506.1796	1268.8909	1331.6981	2613.3096	2152.6061	1680.2408
MED16|10025	1164.1509	1705.5367	1312.8448	1400.6337	870.153	1888.216	1611.9672	1373.8957	1472.2097	1876.2475	1403.7774	1857.7158	1446.6258	1073.1959	1332.6089	1375.0801	1189.5401	1199.2453	1102.6641	2109.6185	1347.0255
MED17|9440	255.6604	384.3416	460.7302	392.0026	488.5926	419.4497	583.9613	301.7592	403.9765	542.9142	516.1827	386.748	466.2577	623.3677	525.4808	430.6509	580.3427	572.8302	521.2351	386.8888	455.7365
MED18|54797	536.7925	235.7031	217.4941	332.5686	223.0776	422.9105	257.7888	334.6393	277.9033	210.2462	224.3115	276.5475	184.0491	254.6392	253.8303	247.1848	138.1425	260.3774	241.6676	290.7039	266.289
MED19|219541	235.8491	316.1467	317.3102	168.2508	138.9541	340.5433	169.1598	165.6296	162.2232	299.5491	279.2246	260.5057	196.319	170.1031	271.6505	236.9312	255.3652	302.6415	396.3884	327.2434	293.5552
MED1|5469	424.5283	765.0418	1126.8716	832.0769	1338.4659	409.7595	1016.3086	949.8348	582.0154	1579.3598	698.2278	849.8692	944.3763	1507.9038	621.1018	915.8656	1601.8034	696.9811	755.7686	470.7147	756.3739
MED20|9477	413.2075	303.236	330.4439	998.5797	753.732	237.4113	439.9955	834.9082	326.7058	475.4935	295.1993	393.7228	346.0123	792.7835	241.6603	299.5514	497.0243	291.3208	414.2236	311.6604	330.3824
MED21|9412	542.4528	714.0611	868.9257	411.2313	381.936	634.7119	411.6522	496.5814	510.1672	866.1196	865.6294	619.0061	777.9141	530.2405	1078.344	1067.4723	1145.5365	1308.6792	667.93	544.8684	998.5836
MED22|6837	759.434	1126.5414	657.2104	968.8627	990.7051	1005.0182	672.5903	1556.4262	830.0949	765.2842	790.748	1194.0715	557.0552	1073.8832	796.6967	1148.7687	524.7971	773.2075	856.9836	905.4272	1104.8159
MED23|9439	269.8113	485.641	426.0573	468.0433	548.6809	354.3866	616.8035	823.5384	255.3095	843.646	575.0894	539.4943	553.3742	791.4089	488.1017	582.99	614.2471	469.8113	496.7116	328.3181	523.017
MED24|9862	1398.1132	985.1858	919.3591	1688.1897	1461.2712	1194.6704	1851.7602	2019.2057	967.0131	1189.0293	916.5488	1117.3496	1210.2249	1577.6632	889.7099	833.1045	1020.018	842.6415	1029.0937	1136.4858	923.5127
MED25|81857	1725.4717	939.6706	832.6766	1024.8006	536.6632	1508.9116	858.3961	1396.9425	964.7537	1029.6444	793.5835	1024.5859	827.1943	746.2371	987.0694	919.729	643.1307	896.9811	653.6618	1076.3031	886.3314
MED26|9441	331.1321	256.2278	286.84	284.4969	173.1293	301.0902	150.2643	148.114	197.9214	249.5749	193.3605	243.0689	244.9898	184.5361	219.4936	214.2269	234.0848	181.8868	187.2701	271.3595	239.7309
MED27|9442	707.5472	427.0463	279.4852	374.522	261.3839	649.9394	349.1171	282.7072	670.5829	187.1812	456.2776	348.3871	227.8119	240.8935	385.9611	335.0728	241.6592	448.6792	293.8357	458.3557	475.5666
MED28|80306	909.434	748.8207	489.099	482.4648	475.4483	813.9817	499.8313	281.1708	707.1848	605.6036	611.3653	651.4385	744.7853	455.6701	800.1739	714.8219	702.9757	792.4528	758.8898	736.7007	785.4108
MED29|55588	3182.0755	3068.4433	2526.9241	2084.1254	1611.4919	3289.8425	1383.8713	1994.9297	1881.6087	2825.4602	2662.1183	2542.2842	3067.8937	1785.9107	3133.3261	2869.5413	2392.7863	3542.6415	2000.6688	2426.6523	3072.5921
MED30|90390	56.6038	72.8296	96.664	73.8556	98.7701	62.9867	94.9275	53.4685	78.1744	90.4857	102.5044	68.0035	127.1984	65.9794	93.8824	79.8315	128.0433	77.7358	161.409	111.7679	44.2635
MED31|51003	86.4811	64.7819	85.3901	118.9337	58.6912	100.2596	55.4943	76.9363	63.1089	80	66.8209	68.3662	87.3047	66.9038	89.3013	67.7506	86.6438	81.6981	71.8448	67.4637	85.1841
MED4|29079	694.3396	527.3525	526.9241	910.7396	735.7056	669.32	777.8653	842.2832	550.836	555.0381	793.4104	536.007	594.274	740.8935	595.458	513.4121	656.4472	1117.3585	681.7523	1154.7555	556.6572
MED6|10001	335.8491	281.056	231.1531	236.4252	159.985	424.987	212.7995	173.9264	295.5264	253.1234	363.0918	328.8579	397.546	162.1993	348.582	264.03	287.1055	415.0943	359.3802	353.036	398.017
MED7|9443	363.2075	286.3527	202.259	318.1471	377.4293	416.6811	217.7483	406.238	307.2752	141.0512	274.2325	257.0183	176.2781	307.2165	320.765	286.002	218.5753	412.8302	217.59	216.0129	353.3994
MED8|112950	348.1132	357.8581	329.3932	584.2893	598.2537	426.3713	425.149	477.2221	373.249	254.0105	339.4625	356.7568	431.0838	554.6392	376.399	324.0868	297.2047	334.717	474.8634	460.5051	311.2606
MED9|55090	916.9811	952.7435	902.5479	1450.0164	1080.0864	1197.439	1479.2487	935.6995	1260.2802	804.9087	687.9108	986.5737	1053.1697	961.1684	739.7588	698.3429	1470.514	716.6038	1719.7637	1318.6459	795.3258
MEF2A|4205	2086.2358	2562.8569	2948.3793	1722.22	2180.3925	1914.7327	1863.7364	1748.618	1938.3281	1760.1479	4278.4025	3369.5693	3410.2495	2248.3333	3220.3021	3123.8158	1362.6871	4595.5396	2898.2009	2379.3391	3572.5496
MEF2B|100271849	98.3868	34.1637	29.9974	7.5298	19.4761	61.7269	8.9034	32.8954	22.0515	36.8626	24.4613	28.7672	35.4397	11.3333	30.9942	41.7468	14.431	11.2377	19.9443	58.7319	24.5574
MEF2C|4208	532.0755	469.4198	1066.9819	770.0208	822.0824	587.6449	513.3281	332.181	512.8784	553.2638	715.2009	513.6879	801.227	968.3849	1067.0434	558.4546	653.2011	532.8302	774.9415	432.0258	541.7847
MEF2D|4209	1583.9623	1772.7386	2705.5424	1113.9517	1791.3811	1969.1988	3331.0089	1382.4998	1371.4415	1117.4688	1916.9648	1263.8187	1633.5378	1398.9691	1341.7364	1486.4048	1478.4491	1606.7925	2151.8225	1213.8635	1423.1586
MEFV|4210	7.5472	9.2692	9.9816	16.1696	10.5154	1.3843	3.1493	4.6094	1.8075	7.3926	13.3123	6.2772	10.6339	12.7148	4.781	5.1268	5.4103	4.1509	21.4023	11.2843	1.0623
MEG3|55384	21.6981	0.6621	4.7281	16.1696	28.5419	5.5373	1.7996	15.6718	0.9038	0.8871	4.3265	4.1848	11.4519	16.4948	1.7386	2.1972	7.5744	1.1321	8.0259	4.8361	0.3541
MEG8|79104	0	0	0	0	0	0	0	0	0	0	0	0	0.818	0	0	0	0	0	0	0	0.3541
MEGF10|84466	1.8868	1.6552	2.1014	0.874	0.3756	0	0.8998	3.6875	0	24.8392	4.6593	2.7899	3.272	2.4055	3.0425	4.7606	10.0992	2.2642	0.8918	0.5373	1.4164
MEGF11|84465	2.8302	1.6552	1.0507	1.311	6.0088	0.6922	20.6951	10.4479	0.9038	0.5914	2.9953	1.3949	2.045	70.1031	1.3039	0.7324	2.1641	0.3774	2.6753	2.1494	0.3541
MEGF6|1953	128.3019	58.9258	30.9955	54.6269	30.7952	44.9905	188.9551	296.5353	65.07	86.0501	116.815	274.8038	222.9039	29.2096	64.3268	69.9442	170.6041	7.1698	189.0536	104.7824	24.7875
MEGF8|1954	2696.2264	5960.7713	2436.5642	1508.5764	1433.4804	2992.9053	4191.2046	3573.1735	4849.0737	6195.6088	4928.8626	5052.4847	4928.4254	2002.4055	2971.205	5044.4017	3945.8972	4070.1887	1727.7895	3866.201	4216.0057
MEGF9|1955	1036.7925	3089.6301	1026.5301	998.1427	1578.4433	1519.294	2636.8238	1520.1659	1672.8423	2051.0091	3178.6338	2228.422	1261.7587	1979.7251	2019.7762	3567.8843	1827.9531	2956.9811	1213.6886	750.6717	3550.6374
MEI1|150365	5.6604	17.8764	9.4563	6.1182	18.0265	13.1511	3.5991	12.9062	1.3556	7.3926	4.6593	6.9747	15.5419	5.4983	4.3464	9.5212	7.2137	0.3774	25.4152	13.4336	2.4788
MEIG1|644890	0	0.331	0	0	0	0.6922	0	0	0.4519	0.2957	0	0.3487	0.409	0	0.4346	0	0.3607	0	0	0.5373	1.4164
MEIS1|4211	574.5283	753.4553	323.089	21.8508	34.9263	419.4497	70.6332	14.4427	8.5856	42.2858	502.5376	238.1866	220.4499	58.4192	947.0825	754.7377	12.624	444.5283	220.7112	581.4078	161.4731
MEIS2|4212	85.8491	27.4766	54.6362	54.6269	140.4563	155.7363	94.0277	134.5932	37.9575	27.7963	49.921	144.7254	121.8814	115.4639	50.853	103.6345	25.9693	290.566	192.1748	47.8238	29.745
MEIS3P1|4213	301.8868	350.9062	101.9175	457.5549	424.3733	294.1685	462.9401	279.0197	102.1238	232.7197	411.0159	91.3688	59.7137	376.9759	315.9839	182.3675	320.2885	371.3208	140.4526	400.3224	273.017
MEIS3|56917	33.9623	13.2417	17.8618	7.4293	19.1531	24.9178	34.1919	8.2968	3.1631	7.0969	7.9874	6.626	22.9039	13.4021	17.3856	9.155	14.4274	4.9057	20.9564	21.4938	19.4759
MELK|9833	6.6038	26.8145	14.7097	11.7994	13.1443	13.8432	18.4456	19.9739	28.0163	7.984	30.6182	7.3235	29.4479	35.0515	24.3399	98.8739	12.624	15.4717	8.9176	26.3299	44.2635
MEMO1|51072	143.3868	324.5816	300.725	419.2899	373.8128	388.7178	679.3387	468.6333	451.089	295.1608	342.8871	340.5475	310.9121	455.134	347.6779	319.198	715.9026	318.2453	281.9663	265.4487	266.6218
MEN1|4221	909.434	917.6529	728.6577	1176.4449	638.4377	1255.5806	659.9933	1132.3654	726.6155	833.0007	725.8507	769.3112	756.2372	941.2371	781.4843	892.4288	467.4482	728.6792	884.1824	867.813	963.1728
MEOX1|4222	0.9434	2.3173	74.5994	0.437	0.7511	0.6922	2.2495	0.9219	0.4519	33.4147	16.6403	1.0462	85.8896	0	3.0425	0.7324	29.2155	0.7547	8.0259	0.5373	0.3541
MEOX2|4223	13.2075	2.6483	22.59	0.874	0.3756	71.2926	6.7484	2.7656	8.1338	28.9791	4.9921	1.0462	15.9509	0.6873	1.7386	100.3387	7.5744	0.3774	2.6753	1.612	13.8102
MEP1A|4224	0	5.2967	1.576	0	0	0.6922	0	0	0.4519	0.2957	1.664	2.7899	0.818	0	1.7386	1.0986	0.3607	0.7547	2.2294	2.6867	0
MEP1B|4225	0.9434	0	0	0	0.3756	1.3843	0	0	0	2.3656	0.3328	0.6975	0	0.3436	0	0.7324	0	0	0	0	0.3541
MEPCE|56257	4616.0377	2796.3254	2363.5408	1542.2266	954.2766	4373.7671	1183.219	1861.2584	2247.6277	2272.4921	2138.9467	2051.2642	1854.8057	1015.8076	2209.7142	2769.5688	1518.1244	2850.566	4448.1106	2554.5406	3012.7479
MEPE|56955	1.8868	0.9931	9.9816	0	0	8.3059	1.3497	1.2292	0.4519	0.5914	2.9953	0	8.589	0	5.2157	5.1268	0	0.7547	3.1212	0.5373	3.187
MERTK|10461	461.3208	1135.8106	1120.5674	436.5782	650.8309	339.8512	1652.4575	1247.292	1093.5382	1561.6175	2218.8202	3051.7873	1229.8569	697.5945	1180.4846	1079.1907	1708.2056	1567.1698	907.8141	688.8769	1180.5949
MESDC1|59274	493.3962	284.0354	387.7069	238.1733	347.0097	317.0099	246.9913	389.337	210.5739	169.7346	266.9107	250.7411	338.6503	253.2646	345.5395	218.6213	187.5564	187.5472	823.0966	571.7356	137.3938
MESDC2|23184	1166.0377	1965.0749	1770.4229	836.8841	1011.3604	1639.0379	1476.0994	817.6999	1489.8328	1088.194	2429.4866	1870.2703	1988.9571	1098.2818	2955.558	2262.0123	867.8088	2231.3208	1861.5539	2176.7867	1523.017
MESP1|55897	17.9245	5.2967	7.3549	22.7248	37.9307	8.3059	4.4989	2.4583	8.5856	11.2368	3.6609	11.1595	7.362	22.6804	2.6078	10.986	3.6069	3.3962	14.7141	13.971	1.7705
MESP2|145873	16.0377	3.9725	4.2028	2.6221	1.1267	4.153	4.049	1.5365	5.8744	1.7742	2.9953	3.1386	2.045	0.6873	1.7386	10.6198	0.7214	15.4717	8.4717	12.8963	2.4788
MESTIT1|317751	0	0	0	1.311	6.0088	0	0	6.4531	0	0.2957	0.3328	0	0	12.0275	0	0	0	0.3774	0	0	0
MEST|4232	47.1698	35.4217	37.2997	269.2014	993.7095	10.3824	48.5885	1338.5573	6.3263	26.3177	24.9605	40.4534	90.3885	3035.3952	42.1602	27.8312	28.8548	23.7736	47.7093	24.1805	14.1643
METAP1|23173	1282.0755	1087.4783	1725.243	799.3008	805.5582	1256.9649	1994.3763	791.5802	719.8373	2191.4689	2128.6297	1152.5719	1767.2802	932.646	1942.8447	1508.743	1253.7421	1854.717	935.9046	1171.4132	1478.0453
METAP2|10988	933.9623	1106.0167	941.949	933.9015	1486.0576	896.3488	1152.1764	1095.7978	965.2056	1433.2816	1151.1773	977.1578	1153.3742	1504.1237	1176.1382	1259.361	1671.7764	1612.0755	799.9108	763.0306	1280.4533
METRNL|284207	4099.0566	2164.3632	3176.2543	3438.4355	3034.4569	4767.6069	3429.0856	2126.45	2084.5007	1599.7634	2011.4818	2476.7219	2057.2597	2213.4021	1913.7238	1913.0276	1935.798	2495.0943	2415.3383	3224.0731	2073.3003
METRN|79006	1027.3585	699.8262	994.4838	239.9213	213.3133	1180.135	393.6565	346.9309	2536.8278	849.8558	365.0886	591.456	827.4029	212.0275	392.9154	461.7779	1087.4662	403.3962	1424.1445	3703.3853	310.5524
METT10D|79066	1038.6792	704.4608	520.6199	479.8427	660.2197	545.4231	858.3961	448.0295	427.474	699.9335	717.5306	723.6269	776.6871	606.1856	552.8632	621.441	700.0902	729.8113	969.7916	691.5637	730.5241
METT11D1|64745	1722.6415	726.3097	833.7273	754.2882	718.4302	1245.8903	601.5071	895.4444	1229.5526	1098.2479	714.8681	1102.354	962.7812	792.7835	844.5072	933.077	1357.9802	829.434	1123.6206	1319.7206	990.085
METT5D1|196074	309.434	465.4473	423.4305	362.7226	363.5339	667.9356	421.9998	280.2489	413.9178	598.5067	489.2254	434.8736	452.3517	396.2199	418.5592	550.7644	444.725	720.7547	306.7662	305.2123	675.9915
METTL10|399818	97.4811	231.8861	157.5571	221.96	332.0627	169.2127	260.4476	194.6654	294.5956	273.4028	288.7129	205.2345	246.2904	281.8625	184.1356	264.3303	358.3264	160.083	192.5449	207.9258	224.6034
METTL11A|28989	815.9811	773.874	380.2417	819.8711	686.159	1645.2397	576.2996	485.8416	796.4799	325.1571	876.2726	654.6295	482.045	551.4708	947.2563	765.0243	309.4319	1063.1132	397.2311	696.3031	795.5949
METTL11B|149281	0	0	0	0	0	0	0	0	0	0	0.3328	0.3487	0	0	0	0	0	0.3774	0.4459	0	0.3541
METTL12|751071	42.5472	55.0393	38.9861	35.4201	16.1637	47.1223	27.0251	44.0286	48.9019	82.2769	26.3283	73.6949	47.0961	21.6976	40.0391	44.3688	33.2227	32.8302	82.7957	58.6459	51.3562
METTL13|51603	223.5849	428.3704	397.6885	421.2826	541.9209	213.8778	464.7396	883.1528	301.8527	535.2258	401.0317	442.8945	397.955	537.457	335.1081	472.3977	305.8611	345.283	355.8132	318.1085	429.5326
METTL14|57721	225.4717	450.2193	298.923	221.1297	277.1571	138.4323	335.1704	235.9991	290.5558	554.151	409.0191	476.7219	415.9509	291.0653	363.3598	413.4395	533.8142	450.9434	417.3448	188.6083	476.6289
METTL1|4234	783.0189	393.2798	337.7988	132.8526	159.6094	522.5818	119.6716	124.4526	130.1401	350.4103	313.1708	258.4133	255.6237	108.5911	448.984	277.2132	325.6988	347.9245	450.34	425.5776	355.17
METTL2A|339175	213.2075	253.9105	233.2545	364.4707	385.3159	222.8759	419.7503	266.4208	191.1432	296.2963	269.2404	342.4586	197.955	418.2131	317.7225	256.3398	266.1858	253.9623	294.2816	370.2311	313.0312
METTL2B|55798	151.8868	327.4021	119.7794	188.7906	285.0437	227.0289	284.3325	172.6972	194.3064	466.918	300.857	342.8073	380.3681	319.244	239.9218	393.6647	249.9549	322.2642	313.4545	264.9113	287.5354
METTL3|56339	760.9906	474.9615	588.5054	516.6175	266.7468	495.2552	412.8624	340.1214	428.075	804.8436	755.8499	589.7925	532.0245	344.6632	669.9859	732.5607	654.3805	729	732.128	762.6652	923.1126
METTL4|64863	229.2453	156.5836	283.6879	209.3303	277.1571	269.9429	142.6161	416.9932	231.3601	274.4141	237.291	240.279	141.5133	334.0206	315.5493	398.7915	287.8269	378.1132	131.5349	221.3864	342.4221
METTL5|29081	406.2075	329.2494	268.311	788.5109	531.6121	726.4509	570.7659	429.1557	565.2101	270.984	324.9921	399.2328	388.1309	563.6873	412.4959	322.5451	626.3408	428.1925	287.1386	384.5997	412.2415
METTL6|131965	234.9057	268.8074	178.6183	353.1083	288.7992	286.5548	133.6183	217.8689	182.5576	114.7335	250.2704	127.2886	299.3865	306.8729	327.2846	275.016	127.6826	297.3585	122.6173	134.3364	281.5156
METTL7A|25840	7060.3774	5176.529	9729.4458	3450.6719	3789.6911	6415.6428	3221.235	8786.9709	6579.3041	15129.1491	7438.2228	9276.7219	12017.1779	5318.2131	6802.1297	10168.635	35382.1461	11631.6981	9514.2125	6381.5153	10780.8074
METTL7B|196410	50	19.8626	12.6084	103.5726	36.8041	94.8261	6.7484	5.5312	6.3263	7.0969	24.2949	13.6007	33.9468	12.0275	97.3596	28.9298	55.5455	56.9811	25.8611	18.8071	4.2493
METTL8|79828	264.1509	115.5342	105.0696	450.1256	454.4174	115.5909	196.1534	456.9409	205.6033	166.1861	133.4554	222.8422	144.7853	394.8454	249.0492	152.7053	337.6014	162.6415	100.3233	116.604	106.5864
METTL9|51108	1180.1887	2674.1703	1733.6485	6275.5381	5608.863	1279.114	1790.5747	3515.0956	2196.5657	2992.2377	2278.7254	2498.3435	2236.4008	6926.1168	2208.4103	2278.8611	2803.9675	2158.1132	2391.2607	2610.9618	2143.0595
MET|4233	6017.9245	10715.2197	4553.1915	1553.152	2366.7261	7624.8486	14199.0777	2598.1409	4429.7334	25481.1858	14400.5325	8452.6591	9955.0102	2875.2577	8010.4314	15209.0085	3075.5636	9997.3585	6031.4346	5219.237	14137.3938
MEX3A|92312	21.6981	64.5535	28.3688	65.1153	22.9086	8.9981	26.5437	89.7288	16.7194	123.3089	37.2743	54.4028	84.2536	30.2405	29.5556	19.0424	15.5095	8.3019	57.9646	86.5126	15.2266
MEX3B|84206	10.3774	11.2555	36.249	6.1182	8.6377	4.8451	19.7953	5.2239	11.7488	14.4895	27.2901	16.3906	34.3558	19.5876	40.8562	20.5072	19.477	10.9434	23.6317	26.8673	15.5807
MEX3C|51320	1053.7736	531.656	1500.394	842.1283	1308.4217	922.651	703.6329	958.7463	1225.4858	1297.553	790.4152	1212.2058	705.9305	1127.8351	1100.9453	971.1618	3023.6249	838.8679	1179.3557	1346.5879	917.4929
MEX3D|399664	125.4717	294.9599	281.5866	176.1171	171.6271	125.2812	126.42	253.5146	367.8265	356.6201	186.0388	378.7271	269.9387	137.457	196.8923	240.227	339.7656	102.2642	418.2365	657.1736	184.8442
MFAP1|4236	382.0755	1154.3491	699.7636	749.9181	666.9796	466.5167	556.0679	767.6116	697.6954	608.8564	993.4271	937.0532	773.0061	740.5498	773.2261	916.598	525.5185	842.6415	978.7092	766.2547	1130.3116
MFAP2|4237	74.5283	19.5316	14.1844	3.0591	3.0044	18.6884	28.7932	3.0729	48.8025	14.7852	93.5186	26.5039	52.3517	15.1203	77.8007	24.9016	87.6465	15.4717	24.5235	62.8694	9.5609
MFAP3L|9848	163.2075	304.5601	1390.0709	1779.5258	2058.3983	114.8988	195.7035	1962.0496	866.6968	1799.9556	341.4594	691.5432	894.4785	3687.9725	1058.7852	188.2267	5818.5753	751.3208	2599.9331	377.7539	174.9292
MFAP3|4238	772.6415	909.0458	1282.8999	674.3144	847.6199	561.3428	723.8781	873.3195	1210.5739	576.6245	1005.4081	698.5179	780.7771	1215.8076	915.7883	1103.7261	718.8458	925.6604	601.0478	627.6196	754.2493
MFAP4|4239	17.9245	27.1456	26.7928	65.5523	144.2118	29.7629	17.5458	21.8176	5.8744	20.4036	63.566	34.5248	74.4376	135.7388	29.5556	13.1832	73.2191	22.6415	119.4962	332.6169	8.8527
MFAP5|8076	2.8302	17.2143	1.576	1.311	4.8822	0.6922	35.9915	0	33.4388	1.1828	30.2854	2.4412	54.3967	2.0619	1.3039	1.0986	14.0667	0	9.8094	2.1494	12.0397
MFF|56947	961.3208	904.7422	1341.2136	4950.071	3510.6563	1286.0356	1804.0715	2425.7509	1849.9774	1661.2701	956.1528	1090.4969	938.2413	4035.7388	1133.1088	881.0766	3129.6664	1126.7925	1224.3897	986.5664	1048.5127
MFGE8|4240	464.1509	771.3316	1000.788	374.959	577.5983	876.9683	570.0146	282.7072	1043.38	512.4566	724.8523	426.5039	1394.274	490.0344	658.0463	618.5114	372.9486	441.8868	1770.1483	582.4825	430.949
MFHAS1|9258	10.3774	100.9683	48.332	183.9834	701.5304	11.7667	264.9871	672.3515	24.8531	45.8343	212.9961	187.9686	71.9836	564.6048	37.8138	31.127	58.0703	19.2453	49.9387	43.525	12.0397
MFI2|4241	5.6604	48.9945	11.0323	0.874	11.6421	4.153	9.4478	21.5103	104.8351	9.4626	33.6134	30.6888	18.8139	4.4674	49.9837	20.8734	21.6411	2.6415	9.3635	18.2697	3.5411
MFN1|55669	492.4528	701.8125	1277.1211	509.5597	701.1548	505.2777	1149.0271	1025.7356	870.3118	626.3029	986.1053	755.3618	1300.2045	898.9691	954.906	1048.7961	690.3517	1129.0566	507.4128	468.0279	796.034
MFN2|9927	2395.283	3705.7022	3292.3562	5863.8698	6725.7535	2688.3544	8976.718	6445.4175	6696.3398	4214.0903	3128.0473	4365.4752	3651.5337	6209.2784	2578.2897	2994.4155	4001.0821	3002.6415	3905.9191	4159.5916	3547.8045
MFNG|4242	112.2642	156.5836	288.4161	93.0842	101.0234	106.5928	78.7313	110.9319	98.0569	143.1212	154.4222	189.3636	186.5031	124.3986	214.9647	70.6766	163.0298	81.5094	305.8745	184.3095	71.8839
MFRP|83552	751.8868	543.2426	496.9792	426.9638	521.2656	699.0829	380.1597	688.3306	357.8852	683.374	823.6958	235.3967	521.4724	268.0412	691.9483	327.7488	404.6889	395.4717	528.8151	1041.913	260.6232
MFSD10|10227	2551.8868	1979.3098	3204.6231	551.9502	367.2895	1958.1242	1113.9354	936.0068	2518.3009	2084.4237	1866.0454	2406.2772	1919.8364	480.756	1788.1126	1606.5184	942.8314	993.9623	2216.0294	2917.7861	1169.9717
MFSD11|79157	175.3019	272.9653	202.0909	393.2481	457.711	223.402	617.2579	565.5835	382.3091	177.6625	278.6621	259.5955	370.2454	451.5773	274.7887	235.1479	184.3968	215.4151	246.978	244.9704	231.7741
MFSD1|64747	435.8491	2536.7872	1410.0341	1393.2044	1987.7946	1284.6513	2154.9882	1815.1648	2107.5463	1415.5393	2449.455	1404.7079	2483.4356	1807.5601	2139.737	1983.3379	1253.7421	2366.0377	1310.4448	857.0661	2090.2975
MFSD2A|84879	0.9434	20.8557	4.7281	10.0513	22.5331	13.1511	3.5991	5.8385	11.7488	9.4626	31.6166	53.3566	6.953	4.1237	35.2059	8.0564	9.7385	3.0189	34.7787	15.583	2.1246
MFSD2B|388931	8.4906	12.5797	13.659	15.7325	12.3932	23.5335	10.7974	5.8385	18.5269	16.5595	15.3091	13.252	15.1329	5.8419	13.0392	11.7184	12.9847	6.7925	23.6317	24.1805	13.102
MFSD3|113655	783.0189	860.3824	538.4817	907.2435	983.1941	708.7731	863.7948	991.6263	724.808	957.7881	1053.665	1173.1473	919.0184	979.7251	975.7688	1032.3171	324.9775	881.8868	1429.495	2922.6222	362.2521
MFSD4|148808	155.6604	279.4008	46.2306	200.59	4006.0088	98.9791	198.8528	7557.809	452.779	675.0943	1019.7188	457.1927	1240.4908	261.1684	334.6735	158.1983	602.7051	184.1509	857.8754	136.4858	343.8385
MFSD5|84975	1394.3396	1018.2902	1001.8387	1398.8856	691.3905	1742.1699	708.5817	723.0545	1988.7031	1110.9633	747.4832	853.0078	961.5542	791.7526	1073.9976	1091.6415	1178.3589	824.9057	1054.0631	1527.6733	1105.5241
MFSD6L|162387	213.2075	81.4367	16.2858	84.3439	25.9131	375.1514	53.0874	107.5517	113.4207	104.0881	91.8546	311.4211	116.9734	29.5533	312.9414	439.8059	69.6123	232.4528	575.1867	72.5416	183.0737
MFSD6|54842	1420.7547	1237.7721	1459.4169	541.4618	669.984	1239.6608	1886.8519	1187.6777	1905.5581	1262.3642	1872.0359	1780.2964	1115.7464	710.6529	1647.7236	1709.4205	2485.1217	2238.8679	1091.5171	1219.7743	1758.8527
MFSD7|84179	100.6887	1013.4172	2324.4917	448.4125	332.949	38.9479	2111.1461	893.2442	6414.808	657.1065	368.1937	4254.1273	2068.4417	179.701	198.2658	179.4342	2754.0271	52.4528	1658.4238	2060.1128	794.3768
