TCGA-KL-8327-01A-11R-2315-07	TCGA-KL-8329-01A-11R-2315-07	TCGA-KL-8332-01A-11R-2315-07	TCGA-KM-8439-01A-11R-2315-07	TCGA-KM-8441-01A-11R-2315-07	TCGA-KM-8476-01A-11R-2315-07	TCGA-KM-8477-01A-11R-2315-07	TCGA-KM-8639-01A-11R-2403-07	TCGA-KN-8422-01A-11R-2315-07	TCGA-KN-8423-01A-11R-2315-07	TCGA-KN-8424-01A-11R-2315-07	TCGA-KN-8425-01A-11R-2315-07	TCGA-KN-8430-01A-11R-2315-07	TCGA-KN-8437-01A-11R-2315-07	TCGA-KO-8403-01A-11R-2315-07	TCGA-KO-8406-01A-11R-2315-07	TCGA-KO-8410-01A-11R-2315-07	TCGA-KO-8411-01A-11R-2315-07	TCGA-KO-8413-01A-11R-2315-07	TCGA-KO-8415-01A-11R-2315-07	TCGA-KO-8417-01A-11R-2315-07
ABCD1|215	921.6981	1019.2833	604.6756	521.7961	424.3733	594.5665	421.1	1188.9068	596.0235	547.9412	675.2642	662.5981	490.3885	614.433	569.8142	442.7355	237.6916	271.3208	954.1857	1440.086	296.7422
ABCD2|225	7.5472	70.1812	2.6267	1.311	1.8778	4.153	8.0981	3.3802	13.5563	13.6024	12.6466	79.5118	21.2679	3.7801	19.5588	19.0424	9.7385	19.6226	6.6882	13.971	15.9348
ABCD3|5825	586.7925	1189.1087	1201.9963	1575.8768	1721.904	664.4748	1248.0036	1934.0862	1535.4722	1392.4743	1111.9061	1250.218	1073.6196	2350.1718	1067.0434	964.5702	1575.4734	1070.1887	1131.6464	870.4997	915.0142
ABCD4|5826	951.8868	682.943	688.2059	872.7193	654.962	500.4326	610.505	1000.5378	722.5486	969.6163	605.3748	1136.8788	784.4581	754.2955	615.0168	629.8636	979.6213	562.2642	1576.1899	1045.6744	770.1841
ABCE1|6059	581.1321	963.0059	754.3998	750.7921	1053.7978	648.5551	872.3428	627.7944	755.9873	1384.4903	1222.3979	964.952	1188.1391	1130.5842	1038.7917	913.6684	1921.0099	1124.1509	908.7058	635.1424	1025.1416
ABCF1|23	895.283	1094.0991	960.8616	1194.3625	1465.4023	744.7655	1715.8925	2579.0889	635.7885	1125.7485	999.0848	1104.7951	829.0389	1440.5498	917.9615	927.9502	1142.2904	798.4906	1333.6306	989.2531	1006.3739
ABCF2|10061	1661.3208	1872.3827	963.4883	1064.569	1034.6446	1519.294	1011.3598	1204.5786	938.0931	1589.1181	1555.5371	1518.0471	1110.4294	983.5052	1555.5797	1726.2657	926.9612	1794.717	1538.7359	1929.0704	2022.6629
ABCF3|55324	1698.1132	1721.7578	1621.7494	1375.2868	1099.6151	1861.2217	1202.1145	1239.6097	1504.2928	977.0089	1558.8651	986.5737	1454.3967	1081.0997	1689.4491	1468.8272	790.2615	1450.9434	1029.0937	932.8318	1657.5779
ABCG1|9619	1509.434	6313.3328	2460.7302	1548.7818	1081.213	1497.837	3389.495	2261.3505	5195.2101	1616.0272	3062.4844	2560.4185	2793.456	2466.6667	3337.1727	2522.0178	416.9522	1242.2642	2326.608	4388.5008	2755.3116
ABCG2|9429	98.1132	122.8172	299.4484	115.809	218.571	213.8778	114.2729	188.0618	121.1026	198.7137	132.7897	199.8256	202.045	209.622	445.5069	78.7329	132.3715	310.9434	341.0991	84.9006	228.7535
ABCG4|64137	14.1509	30.125	25.7421	130.6675	132.5697	29.0708	4.9488	183.4524	35.6981	13.3067	19.6356	21.2729	15.9509	114.433	21.732	11.3522	11.1812	4.9057	24.5235	16.1204	9.915
ABCG5|64240	1.8868	0	3.1521	4.8072	2.2533	0.6922	0.4499	4.3021	1.8075	47.3128	0.3328	3.1386	3.272	1.3746	0.4346	0.7324	26.6907	0	10.2553	0	0.7082
ABCG8|64241	0	0.331	1.576	4.3702	1.1267	0	0.8998	4.9166	0	231.5369	0	24.4115	6.135	3.4364	0	0	114.6979	0.3774	8.0259	0	0
ABHD10|55347	2833.0189	2781.7595	3871.2897	898.0662	823.2091	4006.9216	1881.4532	693.2473	2246.272	2232.5719	1946.5846	1338.0994	6131.6973	766.6667	2611.3224	2566.3279	1373.8503	2199.6226	2858.0983	2355.7227	2278.6827
ABHD11|83451	5663.2075	1339.7335	945.6265	1177.3189	1369.6367	3254.5423	1410.8649	1242.0681	2194.7582	1679.8995	1153.5069	1924.6731	1352.1472	915.4639	1638.5961	1571.3632	772.2272	1799.2453	2778.7315	3994.6265	1729.4618
ABHD12B|145447	0	0	0	1.311	0.3756	0	0	0	0	0	0	0.3487	0	0.6873	0	0	0.3607	0	0.4459	0	0.3541
ABHD12|26090	7647.1698	2778.4491	3590.7539	2079.7553	1726.4107	5576.0512	1876.0544	1518.0149	4555.8066	2882.8269	3270.4884	4159.0235	3395.91	1746.7354	3946.5392	2780.921	3316.1407	3697.3585	5485.6761	6554.5406	2821.8839
ABHD13|84945	198.1132	233.7168	304.1765	395.0617	488.5926	195.8816	329.7717	485.2116	258.9245	316.1085	417.3392	302.0052	309.6115	580.0687	303.3793	264.03	535.9784	492.0755	317.4674	486.835	234.7734
ABHD14A|25864	1167.9245	448.8422	351.1111	739.9541	307.2838	775.2206	267.2365	386.9709	209.9367	161.7772	279.6239	171.578	320.3354	322.1718	382.0493	366.1668	188.6384	451.7698	226.1732	435.7872	372.199
ABHD14B|84836	5795.283	2316.9743	1855.0039	5414.6182	4227.5843	4376.5357	3446.1815	3471.7677	3527.7903	1217.417	2025.4597	2023.0166	2471.5746	4153.6082	1751.1681	2011.1691	1062.2182	2983.7736	1933.7866	2786.6738	3407.2238
ABHD15|116236	162.2642	207.2333	161.8072	670.8183	579.4761	114.2066	364.8633	673.2734	305.0158	209.0634	163.0751	305.8413	281.3906	582.4742	257.3074	250.8468	303.697	118.8679	369.6355	307.3616	251.0623
ABHD1|84696	2.8302	3.3104	1.0507	47.1976	21.4064	10.3824	1.3497	15.0572	4.5188	5.3227	1.664	0.3487	5.317	21.9931	1.3039	1.4648	5.0496	0.3774	3.567	6.9855	0.7082
ABHD2|11057	3490.566	37650.5835	23918.0457	970.6107	2364.8484	3587.4719	5919.6941	3570.4079	6079.9819	9783.6919	25083.9504	22969.8344	19599.182	2558.7629	8976.2034	15318.8684	10469.2516	19306.0377	11897.8932	9726.4911	19621.813
ABHD3|171586	1322.6415	1016.966	3172.0515	3867.5844	2249.554	1992.7323	4379.2599	5044.4803	5788.9742	1570.4887	2431.1507	2515.4316	1059.7137	4667.6976	3220.2543	2088.071	2069.9729	1522.2642	1447.3303	2634.0677	2702.9037
ABHD4|63874	1101.8868	1197.0537	2078.2769	2212.6079	2428.6921	1207.1293	1378.0227	1358.8384	1530.0497	889.776	1120.5591	1153.2694	1060.1227	2670.1031	1224.3834	897.9218	1344.6348	1022.6415	1100.8806	1806.5556	979.1076
ABHD5|51099	180.1887	508.1519	1069.6086	860.9199	1436.4848	564.8036	464.2897	773.1428	761.4099	318.4742	536.1511	327.4629	667.0757	1290.378	581.9841	451.8905	704.7791	420.7547	407.5354	404.6212	472.7337
ABHD6|57406	817.9245	1886.2865	511.1636	505.6266	453.6663	699.0829	725.6777	468.0034	955.2643	693.1323	1300.9402	946.469	927.1984	668.0412	1044.8767	890.5978	811.5419	1248.3019	478.8764	549.1671	1608.3569
