TCGA-KL-8324-01A-11R-2315-07	TCGA-KL-8325-01A-11R-2315-07	TCGA-KL-8328-01A-11R-2315-07	TCGA-KL-8330-01A-11R-2315-07	TCGA-KL-8331-01A-11R-2315-07	TCGA-KL-8333-01A-11R-2315-07	TCGA-KL-8337-01A-11R-2315-07	TCGA-KL-8340-01A-11R-2315-07	TCGA-KL-8342-01A-11R-2315-07	TCGA-KL-8346-01A-11R-2315-07	TCGA-KM-8438-01A-11R-2315-07	TCGA-KM-8442-01A-11R-2315-07	TCGA-KM-8443-01A-11R-2315-07	TCGA-KN-8418-01A-11R-2315-07	TCGA-KN-8419-01A-11R-2315-07	TCGA-KN-8421-01A-11R-2315-07	TCGA-KN-8428-01A-11R-2315-07	TCGA-KN-8431-01A-11R-2315-07	TCGA-KN-8432-01A-11R-2315-07	TCGA-KN-8434-01A-11R-2315-07	TCGA-KN-8435-01A-11R-2315-07	TCGA-KN-8436-01A-11R-2315-07	TCGA-KO-8407-01A-11R-2315-07	TCGA-KO-8409-01A-11R-2315-07	TCGA-KO-8414-01A-11R-2315-07
NAE1|8883	605.7331	783.1042	768.464	605.3577	741.2847	818.3095	468.2019	711.9605	744.9484	532.2556	706.3743	770.3978	769.7095	865.1952	681.8605	707.1616	303.6254	602.7273	860.1241	608.3545	903.5392	1183.1109	593.791	776.3158	596.8331
NAF1|92345	100.5639	252.6896	166.7422	141.7837	146.0417	220.4412	136.9699	151.6329	103.278	89.8558	101.3958	179.3661	173.444	193.8879	236.2791	110.2362	154.0785	71.8182	287.6481	184.3004	276.891	347.7989	152.6017	72.0222	98.2542
NAGA|4668	1441.7293	1447.0403	1359.3113	1064.3581	1318.0673	1494.836	1365.9051	1459.6241	1600.8083	1806.5737	662.7111	1450.7755	1624.0664	1207.1307	1906.5116	1427.4466	1973.1118	1788.1818	1273.5477	1712.1183	1345.5933	1047.1126	1626.1478	1426.5928	1843.6866
NAGK|55577	775.3759	805.1352	981.4227	552.7605	840.5602	899.2812	613.519	609.8918	774.5846	810.4215	609.8301	645.6507	464.7303	531.4092	506.0465	1866.8916	908.7613	538.1818	604.6249	743.3178	434.7675	397.2191	790.9926	1054.0166	726.756
NAGLU|4669	1066.7293	1347.9005	1773.4481	2263.966	1948.59	2273.1554	1292.298	1673.0022	1792.097	1681.8934	2015.7867	1574.5111	2141.0788	1282.1732	1973.9535	1011.2486	1407.855	1737.2727	698.2516	2565.5271	1195.3505	957.5618	2009.6196	2045.7064	1766.1389
NAGPA|51172	697.1053	191.2697	513.2488	305.5145	439.4419	232.6696	361.7296	284.0533	286.5379	426.8106	505.0383	225.8935	362.5726	243.1817	260.6605	300.7124	264.7553	522.1455	271.3029	361.5102	184.941	349.4042	338.4346	663.0679	578.5627
NAGS|162417	108.5526	46.7326	68.4187	142.7638	72.6106	69.7348	150.629	106.6891	169.286	354.6938	172.2273	95.7519	193.361	206.1121	51.6279	130.1087	61.3293	42.7273	28.2008	79.1024	133.5878	78.775	355.0503	108.7258	72.6756
NAIF1|203245	239.6617	149.878	346.6244	208.7553	365.9247	144.0965	261.7985	242.7806	221.8231	218.4054	241.6033	172.6231	243.9834	238.3701	154.4186	187.8515	164.3505	274.5455	275.2397	243.0156	180.0833	196.5659	293.3975	238.2271	275.6801
NAIP|4671	11.2782	46.7326	3.6248	31.0356	41.0229	39.6596	43.6331	35.283	30.5344	18.0571	5.3366	12.8119	21.1618	22.7504	13.9535	41.6198	32.3263	14.5455	25.9447	46.4828	41.6378	17.8358	36.7293	29.0859	41.0069
NALCN|259232	2.8195	0.3338	77.0276	0	18.8706	19.4993	130.1404	4.6204	5.8374	0.4299	2.4257	0.3372	9.1286	6.1121	3.2558	56.9929	13.2931	1.8182	31.0209	23.6492	61.0687	311.0125	17.9274	0.6925	13.8043
NAMPT|10135	958.6466	3075.67	1554.599	1184.2535	2180.3697	6190.8618	2259.0553	2229.1295	5000.8981	2797.1367	2593.597	2671.6116	1669.7095	3431.9185	5787.4419	6890.5137	2849.5468	1971.8182	4534.687	2552.887	6421.2353	1962.6859	2137.735	1400.277	1680.065
NANOG|79923	0	0	0.4531	0.9801	0.4102	0	1.8971	0.8401	0	2.5796	0.4851	1.0115	1.6598	0.3396	0	0.7499	1.2085	0	2.2561	0.4077	0.347	1.1147	2.6235	3.4626	1.624
NANOS1|340719	336.4662	47.0664	128.6815	90.82	110.762	66.7603	100.5458	100.8086	94.2973	153.0557	190.1777	92.7175	97.0954	86.5874	82.3256	142.4822	57.4018	209.0909	72.194	79.1024	90.9091	93.6382	104.0665	200.1385	103.5323
NANOS2|339345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NANOS3|342977	0.9398	0.3338	2.7186	0.3267	3.6921	0	0.7588	0.8401	0	2.1497	1.4554	2.6972	0	0.3396	0	1.1249	1.2085	0.9091	0	2.4465	0.347	0.7432	0.8745	0.6925	0.812
NANP|140838	193.1391	242.6755	205.7091	181.64	189.9363	169.5447	221.9596	204.1374	197.1262	195.619	179.5045	273.4322	186.722	214.9406	142.3256	219.3476	301.5106	220.9091	235.1946	152.0886	261.2769	277.5703	183.6467	183.518	181.892
NANS|54187	474.6241	246.6812	1965.5641	620.0588	1325.8617	992.4812	940.9569	908.9573	1196.2281	570.9495	1141.5514	797.033	935.6846	1043.8031	582.7907	1908.1852	1592.145	960.9091	445.0085	1026.2924	1090.2151	415.0549	1065.1509	2011.7729	1244.8234
NAP1L1|4673	3616.0714	2732.1857	6658.8129	2559.2943	1891.1579	5280.3437	2886.2334	1859.078	1537.0454	1723.5968	1281.2738	3636.5475	3468.8797	4251.2733	3104.6512	3768.6539	6322.9607	1691.8182	6264.5234	2013.849	1600.9715	10330.6691	4067.3371	5393.3518	4682.907
NAP1L2|4674	25.3759	206.9585	193.4753	265.9262	472.1741	16.8553	15.5561	225.1391	67.3552	49.8721	72.7721	162.5084	673.444	216.2988	177.2093	249.7188	134.4411	2.7273	705.0197	411.8217	658.2235	351.1432	610.8439	40.1662	97.8482
NAP1L3|4675	11.7481	4.0056	12.6869	7.5139	6.9739	20.4908	2.2765	20.1617	8.5317	6.019	10.1881	19.8921	12.0332	9.5076	5.1163	57.3678	7.5529	6.3636	9.0243	18.3485	13.5323	43.8464	14.8666	6.2327	7.3082
NAP1L4|4676	9199.718	3561.021	3803.8061	5708.9187	3956.6634	3349.9132	6202.7269	5349.9947	5825.3256	3861.218	7263.6241	4844.909	3496.2656	6442.1053	4271.6279	7150.7312	4523.2628	7960	4118.4433	4249.9187	4761.9709	2469.8927	5862.265	9243.0748	7112.0585
NAP1L5|266812	195.0188	215.9712	440.87	236.1973	342.5416	291.8285	626.7987	199.0969	279.2995	174.1224	258.5835	343.8975	606.2241	354.4992	343.2558	272.9659	279.4562	240.9091	175.9729	285.8287	359.8196	274.5977	280.2798	142.6593	136.419
NAP1L6|645996	0	41.3917	0	0	0	0.3305	0.3794	0	0	0	0.4851	7.7546	0	0	4.186	0	0.9063	0.9091	86.2944	0	0	0	30.6078	0.6925	29.6387
NAPA|8775	7343.1626	4570.4844	10848.686	6425.0278	7526.6198	4114.0081	8572.504	6269.7931	8236.9825	7669.0772	6533.2156	5240.0506	7004.7593	6438.584	3923.2326	8384.0982	3344.148	7012.8909	4849.0581	6407.6852	5007.6301	7790.0127	7490.5422	10805.6787	9393.7921
NAPB|63908	309.2105	270.3812	980.0634	258.4123	318.3381	228.3731	283.8047	311.6665	247.8671	225.2843	206.1876	191.8409	356.4315	525.2971	181.8605	2536.9329	235.6495	235.4545	274.1117	250.355	375.0867	377.8969	211.631	261.0803	323.1831
NAPEPLD|222236	409.8543	923.7224	282.9406	316.6057	279.9447	570.1793	263.8284	329.3626	298.7786	346.783	350.4655	359.9697	314.6888	418.2513	612.9116	513.8283	294.9456	343.3455	715.6627	342.4033	421.492	852.1223	317.4202	323.6842	270.5035
NAPG|8774	998.1203	1698.7285	631.6266	1130.0229	757.2836	1891.1014	1865.2193	1322.6924	1283.3408	928.2229	1194.4325	1443.0209	992.1162	1597.2835	1773.4884	1171.7285	1166.4653	1415.4545	1235.7586	1133.1214	1505.5517	1644.985	1088.7626	1092.7978	916.3622
NAPRT1|93100	1127.8195	475.3369	1048.9352	1184.9069	1181.4609	647.1123	43.2537	679.1977	1609.789	660.8053	1596.6195	995.9541	787.1369	574.8727	721.3953	2160.4799	509.9698	1143.6364	759.1653	514.5733	965.6489	395.7328	1867.512	2981.3019	1268.7779
NAPSA|9476	15.9774	4.3395	2.7186	6.2071	4.9228	14.5418	13.2796	1.2601	5.8374	8.1687	2.4257	7.0802	4.9793	2.0374	0.9302	52.8684	8.7613	3.6364	0	1.2232	1.7349	7.4316	6.1216	18.0055	5.6841
NAPSB|256236	49.3421	57.0805	0.9062	11.7609	12.7171	226.0597	18.5915	31.9227	77.683	1.2898	68.4058	41.47	12.8631	0.6791	124.6512	844.0195	47.1299	0.9091	48.5054	289.9062	7.9806	30.098	122.8684	56.7867	106.7803
NARFL|64428	2213.3459	860.2129	1947.44	1374.3875	1770.5504	613.0711	1297.2304	1123.1755	1189.4926	2453.1912	1576.2433	1105.1922	1352.2822	920.2037	680	867.6415	946.5257	1008.1818	1042.8652	1155.9551	879.5975	956.0755	1498.9069	2660.6648	1828.2582
NARF|26502	467.1053	370.5224	642.5011	396.6024	743.7461	612.0796	368.0355	475.4804	379.4342	536.555	410.4345	215.7788	397.0954	380.6452	503.7209	341.9573	1080.9668	305.4545	210.3779	452.5962	382.0264	386.0717	501.5304	873.2687	534.3078
NARG2|79664	679.5113	1144.9477	872.6778	1473.048	780.6667	1551.0204	835.4786	940.0399	885.0471	546.0135	1148.3435	1084.2886	800.4149	1419.0153	1062.7907	658.7927	1285.1964	1193.6364	1422.4478	690.7188	1153.0187	2032.1714	765.1946	902.3546	683.719
NARS2|79731	326.1278	409.9113	300.4078	339.1049	272.3924	371.1476	306.1904	420.8758	335.4288	522.3672	424.5038	304.1133	183.8174	395.9253	502.3256	373.0784	541.994	300.9091	393.119	243.4233	424.3581	375.6675	287.2759	369.1136	315.4689
NARS|4677	3728.3835	7700.1906	5284.0961	7664.4887	4229.0557	7507.8906	6759.3332	6186.2858	6238.8864	4411.5308	7088.9711	6351.6521	3942.7386	9867.2326	8620	6716.9104	8238.0665	6167.2727	7157.9244	5260.7168	8371.27	9473.8055	5916.0472	7040.8587	3459.6021
NASP|4678	1105.2632	689.6391	1099.6828	773.2767	1591.2802	833.1819	1091.2064	900.5565	1149.5285	898.9875	811.6513	1060.3506	1164.3154	875.0424	1067.4419	683.1646	3077.9456	733.6364	804.8505	1078.8914	1040.2498	873.5847	1316.5719	1547.0914	727.568
NAT10|55226	1170.5827	1270.7918	921.613	1583.7961	1197.8701	1361.6459	1511.2222	1220.6238	1488.5496	985.4038	1521.9068	1531.6925	941.9087	1478.7776	867.907	1640.7949	1285.1964	979.0909	1421.8838	1068.6978	1529.4934	753.936	1510.2755	1621.1911	1665.8546
NAT14|57106	513.1579	150.8794	433.6203	492.3228	451.6627	52.549	303.9139	217.9985	294.1176	739.0529	711.2258	251.8543	550.6224	326.3158	36.2791	677.5403	228.7009	372.7273	190.6373	192.863	283.4837	193.9648	406.209	1000	656.5164
NAT15|79903	3555.9211	1716.754	2146.3525	2312.6429	2221.3926	1569.8587	2907.1014	2155.2032	2631.7916	3571.4439	2435.439	2121.3756	3115.3527	1775.2122	1657.2093	2188.9764	1107.5529	1857.2727	1755.2171	2636.4746	2047.1895	2353.5882	2857.8924	4138.5042	4052.7812
NAT1|9	36.6541	138.8625	99.2297	59.4577	84.9175	102.7844	37.5624	60.9052	128.8729	92.4353	48.0296	74.8483	85.0622	52.292	66.5116	3.3746	144.1088	40	62.6058	85.6263	40.2498	24.5243	92.6979	109.4183	53.9992
NAT2|10	2.8195	0.3338	0.4531	0	0.4102	0	0	0	0	0	0.4851	0	0	0.3396	1.3953	0	0.9063	0.9091	0.564	0	0.347	0.3716	0.4373	1.385	0
NAT6|24142	171.2453	83.7815	339.0757	253.6001	384.5696	59.2283	326.512	257.1711	158.7966	294.9977	152.5351	186.561	385.9253	243.7997	70.2837	229.0926	300.3293	184.8	83.5251	236.7078	283.9417	98.8514	301.714	226.4958	244.1616
NAT8B|51471	0.4699	1.3352	0	0.3267	0.8205	1.322	0.3794	1.2601	1.7961	0	0.9703	0.3372	0.4149	1.0187	0	0	0.6042	1.8182	0	0.4077	0.694	0.7432	0	2.7701	1.624
NAT8L|339983	2236.3722	548.1062	1264.1595	1359.3597	1226.5862	375.1136	1494.1484	1081.5919	314.3242	3.4395	886.364	665.88	1292.1162	1398.3022	602.7907	747.2816	501.2085	1394.5455	337.8455	1705.5944	1318.8758	184.3037	829.9082	1442.5208	1691.4332
NAT8|9027	2.3496	14.6874	0	0.3267	2.0511	1.6525	3.0353	0.8401	3.1432	0.8599	0.9703	0	0.4149	0.3396	0	0.7499	8.1571	0	0.564	5.7084	1.0409	0.3716	0.8745	3.4626	1.218
NAT9|26151	640.9774	260.3671	732.6688	495.9164	548.4768	444.5179	566.4712	502.7827	305.3435	622.1114	395.395	448.0782	487.1369	350.764	232.5581	855.2681	487.9154	300	413.4236	484.808	387.5781	517.2395	567.1185	963.9889	1343.0775
NAV1|89796	125.4699	466.3242	93.7925	105.1944	96.8142	695.0343	149.4907	215.8984	286.4841	193.8993	502.6125	255.9002	89.2116	124.618	376.2791	37.8703	323.565	200	194.5854	545.5619	306.7314	167.211	392.6541	146.8144	160.7795
NAV2|89797	789.0602	69.4312	996.2438	1962.1921	1341.6473	1381.0692	1653.9404	1920.5544	1616.8343	912.6507	1949.6514	1833.3412	1112.1992	2483.4431	660.1535	1899.4338	8278.4592	2150.7545	963.339	1783.7956	3025.0972	351.6114	1144.871	948.0609	1588.8875
NAV3|89795	15.5075	715.6758	2.2655	3.5936	3.2818	90.5561	10.6237	9.6608	174.6744	4.2993	20.3762	6.4059	2.0747	3.3956	5.1163	749.5313	8.1571	3.6364	57.5296	17.1253	18.39	886.2185	71.2724	8.3102	7.3082
NBAS|51594	596.3346	763.0759	913.4572	843.8419	903.3253	1068.4954	959.5483	781.6864	683.4306	663.8148	741.3049	774.1065	1139.834	1022.7504	931.1628	1488.5639	1038.0665	635.4545	800.9024	716.4067	1269.6044	1164.1604	727.5907	603.1856	1034.1048
NBEAL1|65065	71.4286	678.2897	36.2483	288.1411	56.6117	470.9576	104.34	107.5291	64.661	43.4231	52.881	207.35	112.0332	120.5433	306.0465	84.3645	94.864	103.6364	331.6413	214.0658	277.238	187.6479	51.1587	27.7008	40.6009
NBEAL2|23218	2446.8985	2402.0536	1050.2945	2520.4182	2078.2226	719.1605	2137.6415	2384.5427	1397.3956	3381.414	1959.9948	2120.3641	2039.0041	2207.1307	1387.907	508.8114	982.4773	1568.1818	1210.3779	2647.4837	1269.6044	1077.2106	3121.1194	1968.8366	1079.1717
NBEA|26960	364.1917	548.7738	456.2755	10.1274	142.3496	1757.9113	203.3681	220.5187	988.3251	231.7333	66.4652	53.9447	56.4315	532.7674	3208.8372	393.3258	604.2296	17.2727	54.1455	213.2503	25.3296	536.19	859.6415	15.2355	201.3804
NBL1|4681	137.5	41.7288	1131.9755	54.6717	185.8134	712.5506	348.0668	260.6742	235.5456	79.1075	184.3608	148.0479	210.4066	331.528	170.9581	523.4346	196.3323	163.4818	102.3576	280.7238	105.4823	293.905	245.0415	254.903	201.5631
NBLA00301|79804	0	0.3338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NBN|4683	806.8609	1936.0632	1214.7712	1308.7226	1146.1812	1525.2417	710.6501	1162.2388	1270.7678	913.6052	1145.4326	1259.2717	1103.7344	1228.1834	1811.6279	1011.6235	1408.1571	992.7273	827.4112	1209.7773	1591.6031	876.5574	989.5059	853.8781	611.0434
NBPF10|100132406	123.2378	168.7079	27.2406	78.2718	68.9309	311.6781	94.2057	96.982	87.2878	59.4467	37.4582	109.737	21.5726	97.2258	97.8558	126.0592	229.5106	43.4182	261.4608	115.6322	131.3532	66.68	66.3839	55.0554	79.1271
NBPF14|25832	78.4774	44.1322	54.3725	19.2747	36.014	81.1402	34.9065	36.3793	31.8815	51.1619	12.6138	29.5651	27.9751	61.8166	13.4884	76.333	129.9094	12.7273	37.9244	37.8305	38.7543	33.524	58.2247	43.3449	53.1425
NBPF15|284565	73.7782	43.1342	52.2474	52.5972	58.6628	78.1459	36.0447	39.4834	13.022	40.4136	28.1385	32.0297	100	17.9966	10.2326	9.3738	110.136	10.9091	140.6994	61.39	62.2935	11.1474	68.7276	34.626	51.1571
NBPF16|728936	7.5188	18.693	4.531	2.9402	15.9989	5.6184	11.0031	10.9209	1.7961	3.8694	2.4257	6.7431	10.7884	6.1121	12.5581	5.9993	29.003	8.1818	4.5121	19.5717	13.8793	5.5737	7.8706	1.385	5.6841
NBPF1|55672	232.1429	536.0892	188.0381	244.6913	217.4216	331.4881	172.6352	239.4204	231.7018	259.6788	177.0787	358.7323	356.8465	192.8693	220.4651	133.1084	727.7946	175.4545	337.8455	521.5049	304.9965	361.919	333.6248	103.8781	79.1717
NBPF22P|285622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NBPF3|84224	59.2105	45.7311	17.671	126.756	77.9436	192.6795	59.5686	59.6451	30.0853	39.9837	14.0693	94.0661	45.6432	246.18	135.3488	11.6235	342.2961	12.7273	41.7372	123.9543	78.7647	76.1739	24.049	31.1634	70.6456
NBPF4|148545	0	0	0	0	0	0.3305	0	0	0	0	0	0	0	0	0	0	0	0	0.564	0	0	0	0	1.385	0
NBPF6|653149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NBPF7|343505	0.4699	0.3338	0	0.3267	0.4102	0	0	0.42	0	0	0	0.6743	0	0	0	0	1.2085	0.9091	1.128	0.4077	0	0.3716	0	0	0.406
NBPF9|400818	38.2096	61.667	29.0258	37.0631	55.6969	110.9973	45.5605	71.5783	19.6363	22.7907	40.5923	36.443	34.3734	44.9202	31.5488	27.0641	193.8852	19.2	119.6729	104.2235	64.8473	59.7389	34.5343	19.2175	53.11
NBR1|4077	1518.797	2564.9499	1649.2977	2355.7661	1854.2373	4428.9845	2114.497	2027.5123	1970.3637	1614.8241	1784.8566	2508.766	1958.0913	2136.8421	2990.2326	1430.4462	2038.9728	1873.6364	2349.6898	2062.7783	2451.0756	2839.6149	1947.5295	1468.8366	1666.2607
NBR2|10230	151.3158	24.0339	90.1676	59.131	69.3288	133.8511	147.5936	131.0511	159.8563	177.5619	39.2969	193.1895	139.0041	176.91	102.3256	61.8673	54.0785	27.2727	87.4224	128.8472	175.2255	182.8174	176.6506	265.2355	187.9821
NCALD|83988	6557.8008	6235.4587	3786.135	424.3711	1722.9638	1618.1112	2365.2924	5041.2685	2770.9924	2271.7599	387.1475	100.472	2120.7469	2793.2088	378.6047	157.8553	2157.4018	195.4545	3736.0406	3846.6596	273.0743	1108.7949	2529.5146	106.6482	1169.7117
NCAM1|4684	279.1212	364.1668	4.531	386.132	57.4321	23.1348	130.5198	336.0034	594.0503	7.7388	6.7921	17.8692	5.8091	15.9593	29.3023	1586.363	11.1782	6.3636	180.4851	59.1025	30.8813	61.2996	424.8885	17.313	66.9915
NCAM2|4685	21.6165	2.3366	13.14	3.2669	5.333	5.6184	0.7588	1.6801	2.6942	0.8599	6.3069	7.0802	0	2.0374	355.814	2.9996	0	0.9091	92.4986	4.0774	0	348.1705	21.4254	0.6925	0
NCAN|1463	0.4699	0	0.9062	0	0	0	0	0	0	0.4299	0	0	0.4149	0	0	0	0.6042	0	0	0	0	0.3716	0	0	0
NCAPD2|9918	878.2895	1019.4374	881.2868	1500.49	1315.1957	496.0754	1125.354	1099.6535	961.383	1591.1778	1022.2052	1144.3021	1140.6639	1008.1494	532.093	773.1534	3077.9456	1029.0909	778.3418	956.5681	1204.7189	1102.1065	966.7687	727.1468	866.0171
NCAPD3|23310	533.3647	664.6038	307.2043	773.2767	421.7159	399.9009	784.6366	643.0747	435.5635	273.8666	535.1174	482.8051	410.7884	871.6469	355.3488	567.679	926.8882	753.6364	531.3029	516.612	958.0153	394.9896	404.46	306.0942	658.9525
NCAPG2|54892	122.6504	283.3996	127.7753	205.8151	226.4467	213.5008	269.7663	168.0143	118.5451	180.1414	102.3661	195.8867	259.751	269.2699	215.814	145.1069	1702.719	110	168.0767	188.7856	437.1964	462.9888	151.7272	65.097	125.0508
NCAPG|64151	14.4408	15.9024	97.5804	53.048	95.0297	24.0073	35.8436	31.3473	35.3256	75.2811	13.5841	14.4808	102.668	60.489	11.7767	144.4432	852.0997	16.6909	9.9436	34.9804	153.6294	30.1649	43.5199	32.5139	55.0102
NCAPH2|29781	1930.9211	936.3202	1679.2025	784.3842	1048.5466	631.9094	1445.2035	1104.2739	1107.7683	1684.9029	759.2554	1173.2974	1001.6598	1089.6435	1158.1395	1605.1744	2230.5136	863.6364	1104.3429	1030.7776	1064.1915	849.8036	1400.0875	2103.1856	2188.7942
NCAPH|23397	3.7594	15.0212	43.0449	16.6612	14.358	23.1348	7.9678	18.0615	11.6749	21.0667	7.2772	4.383	31.9502	13.9219	6.9767	26.6217	339.577	1.8182	43.9932	19.9795	37.821	19.3222	17.9274	13.1579	5.2781
NCBP1|4686	401.3487	760.0717	862.2565	797.2917	834.817	836.1563	661.7051	816.5494	826.6727	426.4924	666.1071	919.0425	682.556	953.4805	534.8837	917.5103	1287.3082	654.5455	964.5911	749.6338	999.6079	814.4143	740.3279	703.6011	754.3646
NCBP2|22916	791.8233	1831.9163	2130.0408	1921.9209	2074.1203	1934.7269	1460.7596	1816.2344	1729.6812	1400.2881	1322.5113	2292.65	1900	2297.4533	1298.6047	641.5448	1000.9063	1991.8182	818.3869	1538.0115	2033.6572	1002.523	1731.526	1054.0166	717.4178
NCCRP1|342897	6.5789	22.3649	31.7173	1.9601	122.6586	7.6014	47.4273	20.1617	80.8262	78.2476	1.4554	15.1719	93.7759	7.1307	2.3256	15.748	27.4924	0.9091	1.692	16.3098	13.1853	8.9179	12.6804	28.3934	13.3983
NCDN|23154	1167.7632	555.4499	1856.3661	819.3401	1267.1989	559.5307	881.7676	812.349	773.6866	941.9592	816.0176	753.203	1222.8216	863.837	571.6279	1970.7537	1452.568	718.1818	518.8945	1058.0964	673.1437	1129.2281	1162.6585	761.7729	841.6565
NCEH1|57552	177.1617	1737.4498	1151.7898	718.3927	1105.9787	1157.0685	1424.7149	1427.2813	1626.4032	465.1863	812.1364	498.6514	1105.3942	1308.3192	1030.2326	1547.4316	1240.1813	1162.7273	805.4146	1516.8087	1761.9709	967.9661	740.7084	292.2438	1117.3366
NCF1B|654816	4.6992	5.3409	2.2655	1.6335	9.025	25.7787	4.9324	2.9402	20.2066	1.7197	2.9109	6.7431	1.2448	5.4329	6.5116	0.7499	12.6888	14.5455	5.0761	11.8246	3.1228	4.459	15.7411	13.1579	11.3683
NCF1C|654817	8.9286	1.0014	1.8124	3.2669	4.5125	30.7362	4.1736	10.5009	71.8455	0.4299	2.4257	4.383	3.3195	7.1307	10.2326	0	9.0634	5.4545	2.2561	23.6492	0.694	1.4863	6.5588	27.0083	19.0824
NCF1|653361	15.0376	4.0056	8.1559	6.8605	10.2557	123.9362	14.0385	26.4622	42.2093	0.8599	24.7425	33.0411	3.7344	20.034	21.3953	3.3746	38.6707	9.0909	19.7406	86.8495	7.9806	6.6884	55.094	95.5679	42.2249
NCF2|4688	48.4023	57.4143	16.7648	22.8683	37.7411	293.8115	96.7516	57.5449	245.1729	22.3565	61.6137	91.3688	12.8631	95.7555	971.1628	4.1245	87.6133	39.0909	127.4676	205.5031	65.2325	40.1306	237.4289	91.4127	75.1117
NCF4|4689	30.5451	17.3578	15.4055	16.9879	26.6649	129.2242	29.2152	26.8823	87.5617	1.2898	43.1781	46.5273	11.2033	33.6163	57.2093	6.7492	48.3384	22.7273	41.7372	116.6149	17.696	14.8632	71.2724	174.5152	74.2996
NCK1|4690	191.7293	409.5775	357.4989	296.3084	370.8475	418.7392	372.5886	331.4082	273.4621	333.1972	343.4842	292.3129	313.6929	355.8574	231.1628	198.3502	693.3535	280	246.4749	398.3662	566.2734	267.1661	417.1404	117.7285	246.0414
NCK2|8440	629.2293	373.1929	509.2886	463.574	524.6835	787.5733	499.3142	629.2135	561.2932	791.5045	589.939	385.7047	773.444	540.9168	599.5349	255.718	1305.136	751.8182	752.9611	1018.5452	673.8376	625.3693	696.1084	666.8975	562.3224
NCKAP1L|3071	58.2707	101.8102	21.2959	16.0078	38.5616	430.3065	23.1445	63.0054	191.7378	5.1592	60.6434	91.706	12.4481	41.4261	206.9767	7.874	107.855	51.8182	121.8274	309.0702	39.5559	32.699	153.4762	88.6427	147.7873
NCKAP1|10787	2226.0338	4516.0343	1846.3978	2948.3829	2141.3979	5451.8714	2341.7684	2760.4746	2757.5213	2868.0754	3095.7244	3202.2927	2583.4025	2758.9134	5341.8605	5185.2268	1959.2145	2630	3314.1568	2827.7066	3442.4011	6815.5216	2084.39	1839.3352	1933.0085
NCKAP5L|57701	1340.2256	397.2268	720.8881	654.0346	888.1468	373.4611	940.198	523.7845	641.6704	1252.8214	792.2454	947.0668	922.4066	555.1783	250.2326	623.922	423.565	773.6364	241.9628	839.5455	551.0062	857.2352	957.5864	875.3463	792.1234
NCKAP5|344148	770.6767	441.9565	541.0059	872.264	308.9028	1006.6926	268.2486	470.02	111.3606	64.4898	232.3855	302.4275	436.0996	613.2428	479.0698	234.3457	147.432	466.3636	341.2296	439.1406	447.6058	537.6764	403.1482	123.2687	249.2895
NCKIPSD|51517	615.1316	575.4781	884.4585	656.9748	784.769	364.8682	574.0596	550.2468	719.3534	956.5984	777.2058	587.6601	706.639	599.6604	406.0465	555.3056	1602.1148	654.5455	325.4371	864.0101	731.0895	507.5784	868.3865	682.8255	853.4308
NCLN|56926	3843.0451	1237.4114	4014.4993	2892.8455	3048.8255	1127.3238	2921.1398	2664.2865	2383.4755	5249.038	2924.9526	1996.9656	3048.1328	2424.4482	899.5349	2958.7552	2038.3686	3028.1818	1670.6148	2238.5161	1929.5628	2064.4989	2900.3061	4121.1911	3717.4178
NCL|4691	5276.7857	4902.5793	6429.9955	5721.3329	7638.473	6884.2436	4917.2584	5806.5736	6044.9035	5318.2571	5908.1228	6466.9589	5865.9751	7752.8014	6966.9767	11892.3885	6459.5166	4878.1818	5369.4303	5321.0629	6315.7529	7489.9395	5608.6576	5310.2493	4696.7113
NCOA1|8648	1080.3571	1735.7808	1125.5097	1335.5113	836.4579	2963.2323	1113.5921	1160.5586	1091.154	1189.6214	1151.7395	1443.3581	1141.0788	1370.1188	2139.5349	1713.9108	1067.6737	1275.4545	1303.4405	1365.1279	1289.0354	2025.483	1146.4801	914.8199	911.8961
NCOA2|10499	379.2293	2530.2343	365.2016	1799.412	560.3735	2030.5709	415.0834	1098.8134	623.26	276.8761	551.1272	1537.7613	1153.9419	1378.2683	1806.9767	412.0735	1645.0151	759.0909	1009.5883	1337.4013	2120.0555	1183.8541	623.087	179.3629	211.1246
NCOA3|8202	1205.3571	1144.2801	682.8274	1139.8236	1229.868	1616.4587	968.6544	1323.9525	883.251	1157.3766	1017.3537	1345.2461	1024.8963	1149.0662	724.186	1155.9805	1623.565	912.7273	1301.1844	1337.4013	1342.1235	1640.526	1035.4176	733.3795	1255.7856
NCOA4|8031	3480.2632	5059.801	2451.7444	3264.2927	2672.2348	4876.1464	3277.034	3268.2978	3564.4365	1946.3015	4232.9095	3335.4686	3233.195	3777.2496	5930.2326	2433.4458	1964.9547	5352.7273	4285.392	3714.9582	4188.0638	10287.9374	3185.833	1860.1108	2662.6066
