TCGA-KL-8324-01A-11R-2315-07	TCGA-KL-8325-01A-11R-2315-07	TCGA-KL-8328-01A-11R-2315-07	TCGA-KL-8330-01A-11R-2315-07	TCGA-KL-8331-01A-11R-2315-07	TCGA-KL-8333-01A-11R-2315-07	TCGA-KL-8337-01A-11R-2315-07	TCGA-KL-8340-01A-11R-2315-07	TCGA-KL-8342-01A-11R-2315-07	TCGA-KL-8346-01A-11R-2315-07	TCGA-KM-8438-01A-11R-2315-07	TCGA-KM-8442-01A-11R-2315-07	TCGA-KM-8443-01A-11R-2315-07	TCGA-KN-8418-01A-11R-2315-07	TCGA-KN-8419-01A-11R-2315-07	TCGA-KN-8421-01A-11R-2315-07	TCGA-KN-8428-01A-11R-2315-07	TCGA-KN-8431-01A-11R-2315-07	TCGA-KN-8432-01A-11R-2315-07	TCGA-KN-8434-01A-11R-2315-07	TCGA-KN-8435-01A-11R-2315-07	TCGA-KN-8436-01A-11R-2315-07	TCGA-KO-8407-01A-11R-2315-07	TCGA-KO-8409-01A-11R-2315-07	TCGA-KO-8414-01A-11R-2315-07
AAAS|8086	1035.7143	738.7082	1656.5473	1058.4776	1458.776	581.013	1119.2834	937.5197	1049.3938	1076.9793	947.0074	821.3082	1196.6805	984.7199	552.5581	1010.1237	1166.1631	777.2727	685.2792	890.9213	1071.1312	983.944	1073.8959	1185.5956	1272.026
AACSL|729522	0	0.3338	0	0	0	0.3305	0	0	0	0	0	0	0	0	0	0	0.3021	0	0	0	0	0	0	0	0
AACS|65985	2358.5526	553.7808	1313.0947	1604.3777	845.0727	427.0016	843.4464	793.0274	682.5326	1589.0281	2342.7759	559.002	985.8921	859.0832	693.0233	1179.9775	1732.3263	2601.8182	473.2092	708.2518	758.501	620.5387	733.7123	1390.5817	988.2257
AADACL2|344752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3|126767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3879	0	0	0	0
AADACL4|343066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9063	0	0	0	0.347	1.8579	0	0	0
AADAC|13	0	0	0	0	0	0	0	0	0	0	0.4851	0	0	0	0	0	0	0	0.564	0	0	0	0	0.6925	0
AADAT|51166	158.3647	233.329	76.1214	78.4057	88.1993	256.7958	50.0832	97.4483	27.3911	93.2952	105.7621	120.027	52.6971	99.4907	35.3488	49.1189	46.2236	20	98.7028	69.7243	85.7044	133.3972	56.4058	132.2715	69.0215
AAGAB|79719	1513.1579	1835.2544	1742.184	1645.5407	1511.2854	1223.4983	1008.8727	1606.2165	1834.3062	2099.3573	1202.1948	1468.6446	1701.2448	1584.3803	1230.2326	974.5032	1713.2931	1436.3636	1397.6311	1701.9247	1936.8494	1292.7271	1603.4106	1277.0083	1436.0536
AAK1|22848	696.8985	1254.4354	896.6923	968.311	896.7616	1957.2007	880.6294	897.6163	751.2348	917.9045	935.849	835.1315	901.2448	1192.8693	1158.1395	1449.5688	677.9456	1260.9091	1148.3362	1103.7638	1428.5219	1687.7167	803.6729	780.4709	730.0041
AAMP|14	1267.8571	1280.4721	1888.5365	1380.5946	1769.73	1934.3964	1523.743	1554.9722	1378.0871	1730.9057	1229.3631	1259.2717	1481.7427	1607.4703	1259.5349	2466.8166	1092.145	1054.5455	1101.5228	1499.2757	1442.0541	1365.1852	1561.8714	1277.0083	1460.4141
AANAT|15	2.3496	0.6676	0.4531	0	0	0	1.1383	1.6801	0	2.5796	0.9703	0.3372	1.2448	0	0	0.375	0.9063	2.7273	0	0.8155	0.694	2.6011	0.4373	0.6925	2.03
AARS2|57505	449.718	447.9583	636.1531	573.293	757.6405	300.3982	703.7864	496.8812	463.8482	655.2118	710.2361	522.559	552.6598	526.6384	381.3953	550.4124	574.0121	406.3636	565.1213	431.3486	508.6572	480.0666	593.3319	677.9778	656.0739
AARSD1|80755	274.906	216.6388	408.6996	265.9262	406.9476	530.1165	307.3287	261.6822	295.9138	307.8312	313.8902	257.9231	282.1577	343.2937	364.6512	499.4376	407.2508	196.3636	246.4749	225.0748	258.501	239.6691	332.7503	509.0028	302.4767
AARS|16	5122.1805	4091.4356	7074.309	6263.6393	4037.8888	3491.3658	3783.5572	3997.8998	3726.987	4134.2247	8308.1461	6845.9204	2888.3817	8301.528	3418.1395	6500.5624	2112.9909	3451.8182	3481.1055	4851.3415	5997.5711	5370.0752	3355.0503	5983.3795	5874.9492
AASDHPPT|60496	773.9662	1428.9849	512.0072	1078.7324	655.9569	1240.9882	956.4485	1088.3125	982.9367	408.4353	945.974	1270.3978	471.3693	1127.674	1310.6977	1120.36	806.9486	848.1818	1165.2059	780.3777	1260.864	955.2952	984.941	962.6039	829.4762
AASDH|132949	196.8985	374.1943	223.8333	331.591	323.6711	310.3363	259.1426	309.1463	244.7238	223.1346	208.1282	300.4046	357.2614	377.5891	260.4651	279.715	204.2296	229.0909	369.4303	274.0042	401.4573	450.355	268.0367	157.2022	203.0045
AASS|10157	31.9549	80.4468	84.2773	46.7168	309.7233	320.2512	131.2787	203.2973	91.6031	57.6109	78.1087	239.0425	444.3983	131.7487	73.4884	653.1684	24.7734	43.6364	260.5753	256.0634	342.4705	451.4698	280.2798	63.0194	258.2217
AATF|26574	605.7331	437.9508	651.5632	400.196	599.3453	975.9564	438.6073	409.1148	522.6762	539.5645	535.6025	494.2684	367.6349	564.3463	730.6977	440.9449	1268.5801	433.6364	577.5522	492.5551	583.6225	655.4672	539.1342	734.072	568.4125
AATK|9625	29.1353	6.0085	24.0145	11.4342	17.2296	75.4028	31.8711	25.2021	38.1679	18.5043	34.9306	57.6534	11.2033	29.5416	66.9767	16.8729	135.0453	45.4545	31.5849	72.9862	15.9611	21.9232	53.345	40.1662	19.0824
