TCGA-KL-8323-01A-21R-2315-07	TCGA-KL-8326-01A-11R-2315-07	TCGA-KL-8334-01A-11R-2315-07	TCGA-KL-8335-01A-11R-2315-07	TCGA-KL-8338-01A-11R-2315-07	TCGA-KL-8343-01A-11R-2315-07	TCGA-KL-8344-01A-11R-2315-07	TCGA-KL-8345-01A-11R-2315-07	TCGA-KM-8440-01A-11R-2315-07	TCGA-KN-8429-01A-11R-2315-07	TCGA-KN-8433-01A-11R-2315-07	TCGA-KO-8405-01A-11R-2315-07	TCGA-KO-8408-01A-11R-2315-07	TCGA-KO-8416-01A-11R-2315-07
KIAA1267|284058	738.7316	954.1466	830.727	727.1998	731.6729	1107.6815	1399.6555	663.1783	848.5079	1064.695	800.6557	641.8627	896.9017	735.4991
KIAA1274|27143	221.779	93.4372	418.4728	207.886	234.4925	116.8011	664.0827	127.5194	91.2374	268.0222	755.4098	469.5151	231.8376	185.1901
KIAA1279|26128	482.6486	532.4435	496.3877	378.8502	405.5451	515.9593	1009.1875	512.4031	501.0454	483.9187	619.6721	595.2952	358.9744	587.6628
KIAA1310|55683	1306.7411	1427.7592	1226.1545	1639.0087	1406.015	1777.2711	1970.4278	1381.7829	1560.5398	1440.2957	1732.459	1121.9395	1549.1453	1150.0723
KIAA1324L|222223	1262.864	247.1882	1350.5258	10.0331	42.2932	754.4721	71.4901	1574.4186	235.3165	52.4954	13.1148	17.7628	155.9829	793.8971
KIAA1324|57535	1.5955	0.9888	4.3896	40.5338	23.9662	0.7015	4.3066	1.1628	1.1405	1.8484	3.9344	12.9621	2.6709	1.5783
KIAA1328|57536	135.2214	265.9745	233.0133	735.6276	282.8947	172.2203	181.1657	372.8682	286.6375	295.7486	167.8689	200.192	345.0855	317.7693
KIAA1370|56204	667.3315	785.5642	908.2762	663.3892	536.1842	845.3174	1010.623	747.6744	905.5313	1034.3808	510.1639	642.8229	509.0812	610.2854
KIAA1377|57562	13.9609	21.7526	55.6013	24.8821	13.1579	103.4725	93.3104	8.1395	17.8673	29.2052	10.4918	16.8027	45.9402	22.0965
KIAA1383|54627	7.5788	20.2694	64.3804	84.6794	19.2669	90.8453	55.1249	46.124	71.8495	39.5564	44.5902	30.2448	14.9573	38.4059
KIAA1407|57577	61.8269	97.3922	53.7723	32.5073	33.3647	79.6212	211.5992	34.1085	54.3623	87.9852	29.5082	52.8084	37.3932	41.0364
KIAA1409|57578	1.5955	0.4944	2.9264	5.6185	8.9286	2.806	6.3164	2.3256	3.4214	2.5878	2.623	6.241	1.6026	1.5783
KIAA1429|25962	1301.1568	777.6542	1311.7513	1168.6566	983.5526	1051.2101	1214.4703	1474.8062	1270.1007	1505.7301	456.3934	881.9011	868.0556	628.6992
KIAA1430|57587	788.5919	661.9701	873.5254	894.9533	544.6429	1110.1368	1493.2529	806.5891	923.0184	1265.0647	689.8361	481.9971	431.0897	639.7475
KIAA1432|57589	830.1755	399.8764	789.2053	810.4866	799.1635	427.8113	996.7557	799.8798	1068.7398	870.1811	334.9574	540.9073	736.9765	741.8124
KIAA1462|57608	409.653	364.3555	579.4239	728.4037	316.2594	1181.6906	2367.7864	801.1628	338.7189	486.5065	676.0656	695.6313	498.3974	546.6263
KIAA1467|57613	1290.7858	477.5677	3635.6653	3931.3735	4735.4323	1347.9481	345.679	3712.4031	2696.0654	1261.7375	630.8197	899.1839	816.2393	1460.4761
KIAA1468|57614	1028.7196	458.7814	1121.9021	575.9005	658.8346	1043.1428	762.2739	1156.2016	926.82	509.0573	390.8197	538.1661	683.7607	687.0972
KIAA1486|57624	5.1855	0	0	0	4.2293	0	0.2871	0	0	0	0	4.3207	0	0.5261
KIAA1522|57648	4805.345	2543.0725	3929.401	1415.4711	4422.4624	924.5879	2282.5151	4981.7829	3281.8856	2143.4381	7635.4098	3776.2842	3451.9231	5363.6722
KIAA1524|57650	211.4081	36.5839	100.5944	75.449	41.8233	86.0049	87.2811	98.6163	97.7001	98.037	10.4918	32.1651	63.5684	59.9763
KIAA1529|57653	234.9422	276.8508	359.2135	64.6132	122.6504	158.5409	81.2518	212.0155	190.4581	527.1719	169.1803	408.0653	300.7479	164.6718
KIAA1530|57654	418.0295	92.4484	215.0892	185.4119	126.4098	238.162	177.1461	175.1938	163.8472	384.1035	108.1967	286.6059	232.906	153.0975
KIAA1539|80256	998.4045	852.7994	1150.0686	991.6725	1093.985	373.2024	906.9767	682.1705	998.6695	669.5009	786.8852	1456.553	1892.094	1119.5581
KIAA1543|57662	270.4428	262.5139	557.8418	241.5973	592.1053	241.6696	91.8748	562.0155	147.8806	337.1534	885.9016	246.7595	431.6239	526.6342
KIAA1549|57670	1076.1867	401.4337	280.9328	420.5879	177.6316	986.6713	626.4714	300.3876	445.1625	397.4122	608.5246	228.9966	454.0598	303.5644
KIAA1586|57691	149.1823	160.6724	82.6703	32.9086	49.812	289.3722	168.82	65.5039	71.0891	119.7782	20.3279	97.9357	80.1282	56.2936
KIAA1598|57698	872.3574	656.5319	477.7321	541.7879	453.4774	467.5552	934.2521	420.9302	369.1313	506.8392	1003.9344	779.6447	378.7393	566.0923
KIAA1609|57707	264.0606	272.4014	351.5318	211.4979	398.9662	319.1863	333.6204	377.1318	207.5651	260.2588	1286.5574	373.9798	251.0684	301.46
KIAA1614|57710	34.5632	208.261	60.4957	83.2266	110.4793	78.2708	61.1714	27.7946	96.0692	86.3327	269.0557	52.5396	118.547	108.5098
KIAA1632|57724	1836.059	769.7442	2054.321	1298.2843	1390.0376	1234.3038	1082.6873	1556.2016	1724.0068	991.4972	582.2951	873.2597	1153.8462	1190.0566
KIAA1644|85352	3.1911	69.2127	8.4134	1954.4497	50.7519	0.7015	6.6035	18.9922	7.9833	53.2348	5.2459	1.4402	4.8077	32.6187
KIAA1671|85379	1400.4787	517.1178	1137.6315	2030.7013	1059.2105	1045.598	1362.6184	1797.6744	1401.6347	1374.122	3233.4426	1634.1815	1723.2906	858.0823
KIAA1683|80726	72.5967	78.6059	109.0078	586.7362	389.0977	33.6724	21.8203	117.0543	379.7757	146.7652	172.459	113.7782	149.5726	171.5112
KIAA1704|55425	194.1843	283.169	219.5226	232.3708	144.032	351.4556	399.6756	466.1318	238.1791	341.8152	124.5902	194.9112	119.9306	134.4048
KIAA1712|80817	415.9832	353.0738	449.6827	409.696	327.6833	411.0242	385.3632	421.7403	641.1937	717.8521	346.4787	383.471	237.5748	382.6542
KIAA1715|80856	525.3291	397.9731	370.1875	662.1852	253.7594	990.5296	772.0356	429.845	855.7308	662.1072	373.7705	269.8032	498.3974	390.8983
KIAA1731|85459	243.3187	133.4816	128.0293	192.6357	180.4511	273.2375	337.0657	132.5581	182.4748	288.3549	127.2131	135.3817	218.4829	203.0777
KIAA1737|85457	2152.7722	3837.8445	2699.5885	4457.5098	2454.8872	3298.141	1107.3787	3497.6744	4602.9272	3395.9335	3963.2787	2283.7254	2506.4103	2050.2433
KIAA1751|85452	0.3989	0	0.3658	0.8026	0.9398	0.3508	7.4648	0	0	0.3697	0.6557	0.9602	2.1368	0.5261
KIAA1755|85449	0.3989	1.4831	5.8528	27.6914	2.8195	5.6121	7.4648	5.4264	2.6611	0.7394	19.6721	21.1234	42.735	10.5222
KIAA1797|54914	1138.4124	429.6132	1604.0238	1055.4831	1632.9887	464.3985	825.1507	1057.7519	599.1256	2498.3364	1322.623	1906.8651	1464.2094	462.9751
KIAA1804|84451	682.0901	370.7824	513.946	293.3681	318.1391	509.9965	320.9877	846.5116	400.3041	385.9519	352.1311	317.8108	208.3333	500.8549
KIAA1826|84437	301.5556	301.0753	528.578	475.5694	511.7481	465.4507	573.0692	385.2713	469.8726	658.0407	579.0164	386.4618	520.2991	414.5732
KIAA1841|84542	57.8381	58.8308	42.0668	60.1987	44.6429	78.5689	171.9782	37.9845	37.2553	52.1257	93.7705	84.4935	71.5812	38.932
KIAA1875|340390	10.371	4.4494	6.2186	13.2437	19.7368	2.1045	4.0195	4.6512	4.942	11.8299	8.5246	8.6414	9.6154	21.0443
KIAA1908|114796	55.4448	113.2122	100.2286	163.339	143.3271	161.3469	78.0936	75.5814	176.7725	88.3549	193.4426	124.3399	75.3205	121.531
KIAA1919|91749	61.428	97.8865	65.4778	51.3695	39.9436	118.5549	132.6443	98.4496	65.3868	79.4824	46.5574	60.9698	26.7094	25.7793
KIAA1949|170954	418.0295	194.29	513.2144	429.0158	396.1466	237.4605	1262.1303	225.969	126.9721	388.9094	847.8689	2130.1008	474.359	469.2884
KIAA1958|158405	75.3889	44.9883	60.7225	119.996	39.0038	95.0544	136.0896	113.5659	142.9386	179.2976	21.6393	45.1272	20.8333	86.8078
KIAA1967|57805	2487.0363	1967.124	2804.5725	2550.8177	2820.9586	2069.8001	1961.8145	2765.1163	2507.8882	2432.1627	1645.9016	2194.4311	2983.9744	1543.0751
KIAA1984|84960	69.4894	18.2919	9.5656	23.6781	34.7744	0.3472	10.9101	23.9612	33.8301	26.2477	6.5574	33.6054	91.0043	57.8719
KIAA2013|90231	1152.3734	1018.4155	1140.192	1165.0446	1447.8383	768.1515	770.8872	1287.5969	1024.1399	767.098	1388.1967	1370.1392	1371.2607	1384.1905
KIAA2018|205717	887.9138	1049.5612	774.3941	1112.0698	864.1917	1730.6208	1930.5197	1452.7132	1419.8822	1794.085	432.7869	523.2837	683.2265	887.0183
KIAA2022|340533	47.0682	72.179	39.1404	33.3099	2.3496	357.7692	171.6911	24.8062	8.7436	44.3623	59.6721	4.3207	107.906	64.7113
KIAA2026|158358	1077.3833	808.3055	1033.7449	827.9322	887.218	651.3504	2068.619	1418.6047	1289.1085	1792.6063	304.2623	790.2064	619.1239	1029.0675
KIDINS220|57498	1445.9513	1757.014	1835.5738	1397.8128	1118.891	3960.7155	4448.7511	1933.7209	1763.9232	2048.7985	1451.1475	1309.1695	1240.9188	1500.4603
KIF11|3832	141.2046	28.6738	40.2378	51.7708	31.015	25.9558	94.1717	70.155	29.272	29.2052	16.3934	27.3644	90.812	49.4542
KIF12|113220	114.8783	1081.2013	120.7133	191.4317	1098.2143	159.5931	1140.3962	138.3721	161.1861	194.8244	568.5246	601.0562	89.2094	953.834
KIF13A|63971	715.9952	501.7921	793.0498	791.0103	708.6466	1200.2806	926.213	1008.1395	385.478	912.0148	401.9672	401.3442	627.6709	833.3553
KIF13B|23303	22380.1197	10619.7009	26853.5748	28817.4897	17739.6523	13148.0112	7526.8447	20206.9535	25792.4121	23455.0499	7958.6885	8419.5823	11446.047	11444.9559
KIF14|9928	37.0961	4.4494	4.0238	18.4609	7.0489	2.4553	21.2461	17.0543	1.9008	4.4362	1.9672	3.8406	11.7521	5.7872
KIF15|56992	66.6135	4.9438	5.487	22.4742	9.3985	13.3287	26.414	18.2171	5.7023	5.1756	7.8689	8.6414	45.9402	9.9961
KIF16B|55614	1641.4041	460.7589	1359.6708	300.9933	765.5075	1274.6405	602.3543	1090.6977	889.5647	1181.8854	789.5082	1154.1047	582.265	1094.831
KIF17|57576	22.3375	21.2582	38.043	7.2238	21.1466	22.799	47.373	13.5659	11.0245	32.1627	33.4426	36.4858	47.0085	24.201
KIF18A|81930	68.6079	1.9775	29.9954	22.4742	22.5564	11.5749	14.0683	22.4806	10.2642	15.5268	2.623	2.4004	46.4744	10.5222
KIF18B|146909	54.2481	1.9775	8.0476	34.1126	16.4474	7.3658	31.0078	16.2791	5.3222	6.2847	5.2459	7.6812	32.5855	18.4138
KIF19|124602	1.5955	2.9663	4.7554	0.8026	1.4098	2.806	6.8906	1.938	0.3802	2.9575	15.7377	14.4023	0.5342	3.1566
KIF1A|547	14.7587	3.4606	4.7554	0	473.2143	1.403	3.1582	3.1008	0.7603	1.1091	13.1148	16.3226	1.6026	4.735
KIF1B|23095	1226.9645	1024.8424	1041.7924	2224.1397	1209.5865	1210.8032	1525.4091	1236.4341	1430.9067	1729.7597	1845.2459	919.8272	1237.7137	1201.6309
KIF1C|10749	3127.2437	7375.6025	3748.6968	5231.2632	3590.6955	5343.0375	4977.8926	4336.0465	3477.2857	3486.1368	5509.5082	3222.2756	5158.1197	3548.0731
KIF20A|10112	151.9745	24.2244	18.6557	77.8569	69.5489	23.1498	82.1131	68.9922	20.1483	9.6118	12.459	9.1215	144.2308	49.9803
KIF20B|9585	152.3734	71.6846	90.3521	82.2715	60.6203	88.7408	184.0367	88.3721	114.4269	78.7431	23.6066	43.2069	81.7308	36.3015
KIF21A|55605	8758.2768	6030.8985	10068.9529	14452.0919	4496.7105	10613.8197	4989.377	5725.969	16025.8506	16934.5656	2405.2459	3887.662	4501.6026	6319.0846
KIF21B|23046	43.4783	6.9213	62.1856	26.0861	29.6053	10.8734	60.8671	14.3411	11.4047	46.5804	55.082	119.5391	18.1624	29.4621
KIF22|3835	675.708	457.7926	790.8551	821.1097	1170.5827	318.4847	463.9678	706.5891	628.0175	551.9409	747.541	456.073	519.765	877.5483
KIF23|9493	226.9645	21.7526	17.5583	106.351	76.5977	27.3588	67.4706	86.4341	30.4125	12.5693	21.6393	36.0058	167.2009	51.0325
KIF24|347240	152.7722	34.6064	136.8084	97.5339	105.2632	19.993	110.2555	89.5349	90.4771	45.1017	66.8852	37.446	67.313	75.2335
KIF25|3834	26.7252	53.3927	0.7316	1.204	23.9662	1.403	0	0.3876	0.3802	0	78.0328	0.4801	12.8205	1.0522
KIF26A|26153	36.2984	23.2357	86.6941	30.0993	91.1654	38.2322	234.2808	42.2481	25.8506	38.817	1449.1803	51.3682	26.1752	32.0926
KIF26B|55083	421.2206	23.2357	111.9342	78.2583	51.6917	59.6282	47.373	333.7209	191.5986	22.1811	19.6721	160.3457	158.1197	29.9882
KIF27|55582	44.6749	19.2807	39.5062	76.2516	22.5564	18.2392	104.7947	70.9302	57.7837	41.4048	32.1311	22.0835	24.5726	22.0965
KIF2A|3796	537.2956	52.8983	350.0686	235.9787	141.9173	420.5542	528.5673	400.3876	159.2853	333.4566	97.0492	101.2962	112.1795	206.7605
KIF2B|84643	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIF2C|11004	123.6538	15.3257	41.701	47.3563	64.3797	12.2764	88.7166	57.3643	33.8339	39.5564	13.1148	11.5218	80.1282	48.9281
KIF3A|11127	518.5481	508.219	643.0727	687.87	650.3759	901.7888	637.9558	493.4109	1347.6525	731.9778	517.377	217.9549	890.4915	440.8786
KIF3B|9371	5627.842	4255.5926	4843.1642	2927.6613	4382.9887	5050.5086	7579.9598	6140.6977	5411.1386	4456.5619	3520.6557	1751.3202	2746.7949	5247.9284
KIF3C|3797	135.6203	79.5946	109.7394	83.8768	195.9586	146.2645	408.2687	101.1628	49.8004	95.7486	285.9016	363.4181	119.1239	87.8601
KIF4A|24137	220.1835	13.3482	26.7032	114.3774	46.9925	16.1347	72.9256	62.0155	21.6689	14.7874	15.082	14.8824	119.6581	48.9281
KIF4B|285643	3.9888	1.4831	1.829	1.204	1.8797	2.806	3.7324	1.938	0.7603	0.7394	1.3115	1.9203	0.5342	4.735
KIF5A|3798	0.7978	0.9888	14.6319	4.4146	120.7707	1.0523	41.3437	2.3256	2.2809	2.9575	26.2295	3.3605	11.2179	3.1566
KIF5B|3799	2303.9489	2724.0143	2657.8875	2285.141	1243.4211	2869.1687	5321.5619	2313.9535	2280.1749	3126.0628	3348.8525	2251.5602	1928.4188	1901.8808
KIF5C|3800	51.4559	13.3482	28.5322	18.4609	174.3421	16.1347	79.5291	19.3798	13.6856	18.1146	19.6721	19.6831	43.2692	15.2571
KIF6|221458	2.7922	3.4606	5.487	3.2106	7.9887	3.1568	12.3457	1.1628	0.3802	5.915	0	0.9602	2.6709	0.5261
KIF7|374654	101.6314	85.5271	59.23	103.032	120.1222	38.9267	59.0956	32.5155	33.4233	15.5268	29.5082	29.2607	297.3504	144.5956
KIF9|64147	86.5576	117.7407	94.9831	122.0909	91.6541	131.5328	161.9035	58.5388	88.6638	84.658	48.5246	86.073	145.8814	65.3058
KIFAP3|22920	749.9003	704.9808	835.1166	665.7971	554.0414	918.625	610.6804	858.1395	463.7902	499.4455	537.7049	347.5756	376.6026	605.0243
KIFC1|3833	120.4627	15.3257	15.3635	66.6198	42.2932	25.9558	71.4901	57.7519	19.7681	20.3327	19.0164	30.7249	82.7991	58.398
KIFC2|90990	517.5469	895.8102	838.8368	794.8269	934.0414	389.544	226.2417	962.3178	437.5822	504.0961	703.541	1017.8205	1562.7297	498.7821
KIFC3|3801	179.8963	699.0483	231.5501	133.2397	264.0977	577.692	1590.2957	136.0465	99.6008	243.6229	2895.082	922.7076	166.6667	252.5319
KILLIN|100144748	22.7363	12.3594	27.8006	25.6848	32.8947	30.8664	24.9785	27.5194	45.6187	15.5268	33.4426	13.9222	19.765	19.466
KIN|22944	98.5241	216.5369	96.5706	60.6	102.9135	97.1589	202.4117	78.6822	98.8405	153.7893	173.7705	151.2242	110.0427	82.599
KIR2DL1|3802	2.2258	0	0.3658	0.9552	2.0207	0.4946	0.8613	0.3876	0.9276	2.5878	1.9672	1.9203	0.5342	1.5783
KIR2DL3|3804	2.9597	0.4944	1.0974	0.2488	3.1485	0.2069	0.5742	0	0.9732	1.4787	2.623	0.9602	2.1368	0
KIR2DL4|3805	3.1911	2.9663	7.6818	2.4079	7.0489	0	0.2871	0.3876	1.5206	10.3512	14.4262	23.5238	0.5342	16.8355
KIR2DS4|3809	1.1966	0	5.1212	0	4.2293	0.3508	0.2871	0	0.7603	2.2181	4.5902	1.9203	0.5342	4.6087
KIR3DL1|3811	1.9944	1.4831	0.7316	2.0668	4.6992	0.7015	0.8757	0.3876	0.7603	3.1608	0	0	1.6026	1.9466
KIR3DL2|3812	1.1966	0	2.1948	1.1438	0	0.7015	1.1341	0	1.5206	0.9057	2.623	5.2808	0	0.8102
KIR3DL3|115653	0	0	0	0	0	0	0	0	0	0.3697	0	0	0	0
KIR3DP1|768329	0	0	0	0	0	0	0	0	0	0.3697	0	0	0	0
KIR3DX1|90011	0	0	0	0	0	0.3508	0	0	0	0.7394	0	0	0.5342	1.0522
KIRREL2|84063	0	0	0.7316	0	0.4699	0	0	0	0	1.1091	0	0.4801	0	0.5261
KIRREL3|84623	0.3989	0	1.4632	1.6053	17.3872	3.5075	1.1484	0	10.6444	1.4787	1.3115	0.4801	4.2735	2.6305
KIRREL|55243	72.1978	25.7076	104.6182	140.8649	28.1955	155.3841	817.1117	181.0078	47.1393	74.6765	35.4098	84.9736	112.7137	88.9123
KISS1R|84634	17.9497	0.4944	1.829	4.0132	0	0	0.2871	0	1.1405	0	2.623	0.4801	1.6026	0
KISS1|3814	0.3989	1.9775	1.829	1.204	1.4098	0.7015	0.8613	1.1628	0.3802	0.7394	76.7213	1.4402	8.0128	3.1566
KITLG|4254	4353.0116	413.2987	4492.7298	1863.7504	1071.8985	1908.1024	1584.2664	2910.4651	1798.5174	2003.3272	397.377	2096.4954	713.6752	2059.7133
KIT|3815	10209.8125	3683.5991	18964.0604	17840.8749	9822.8383	5482.2869	20952.0528	23237.2093	13112.3361	27010.3512	4299.0164	4778.2045	5649.5726	22938.3138
KLB|152831	4.3877	8.4044	2.1948	1.6053	76.1278	8.0673	5.7422	17.0543	4.5619	39.9261	3.2787	129.6207	5.8761	3.1566
KLC1|3831	668.5281	1569.3981	1204.2542	1651.0485	1562.6833	638.86	990.4421	1273.8217	1233.5069	1473.5527	1341.6393	1017.0523	1811.6774	1343.3434
KLC2|64837	1020.343	1360.0297	1084.225	1099.2275	1687.9699	1105.577	1344.5306	485.6589	940.8858	1025.1386	1676.7213	1260.2016	2069.9786	1475.2072
KLC3|147700	188.8034	394.8832	365.4321	218.6576	265.9774	146.2645	36.4628	48.4496	130.7736	204.7172	541.6393	209.1599	271.1752	561.7256
KLC4|89953	408.4763	1201.4287	458.0558	513.7835	558.4164	721.2838	875.1507	467.5388	591.9977	663.061	976.4721	506.6107	681.1485	574.8152
KLF10|7071	1335.0618	326.7828	981.07	2232.1661	906.485	659.067	729.8306	384.1085	1012.3551	2490.2033	1165.9016	2781.085	736.6453	606.0765
KLF11|8462	510.1715	1296.2551	351.5318	494.0303	435.6203	903.5426	852.7132	431.7829	578.5972	751.5712	601.3115	622.1795	447.6496	443.5091
KLF12|11278	227.3634	430.1075	242.1582	456.7071	316.2594	773.0621	1012.0586	575.1938	531.4579	552.6802	342.2951	335.0936	415.0641	292.5161
KLF13|51621	3242.9198	2255.3454	3371.925	4285.3416	4211.9361	2636.9695	2404.5363	3324.4186	3432.8075	2246.2107	6423.6066	2421.5074	3989.8504	5456.2673
KLF14|136259	0	0	0	0	0	0.3508	0	0.3876	0	0	0	0.4801	0	0
KLF15|28999	247.7064	1663.0824	461.2711	400.923	705.3571	574.1845	757.9673	633.7209	235.6966	240.2957	619.0164	34.0855	750	905.4321
KLF16|83855	340.2473	336.176	433.4705	266.0781	335.9962	144.1599	285.9604	274.031	226.9531	223.6599	533.1148	481.517	498.3974	421.4126
KLF17|128209	0	0	0	0	0	0	0	0	0	0	0.6557	0.4801	0	0.5261
KLF1|10661	0	0.4944	1.4632	0.4013	0	0	0.2871	0	0.3802	0	0	2.8805	0	1.0522
KLF2|10365	60.2314	211.5931	248.011	44.547	195.4887	194.3178	443.0089	116.6667	71.8495	105.7301	481.9672	276.0442	179.4872	344.6008
KLF3|51274	1305.0897	867.5368	1129.0974	1022.9517	891.8891	1335.1877	1431.4585	1594.531	954.8717	1584.0555	852.4328	1139.6831	792.2009	1711.3718
KLF4|9314	272.8361	109.2572	278.3722	118.3907	253.2895	190.8102	161.9294	160.0775	58.544	130.1294	276.0656	676.4282	223.2906	1095.8832
KLF5|688	411.2485	157.2117	274.7142	65.4159	191.2594	237.1098	275.3374	334.4961	151.6822	243.9926	59.6721	469.035	334.9359	316.191
KLF6|1316	1171.9186	8924.484	2378.0521	1099.2275	2989.6617	1494.9141	6134.3669	3834.4961	978.141	2489.0943	3748.1967	5376.8603	1027.2436	1787.1893
KLF7|8609	250.0997	201.2112	134.6136	179.7933	122.1805	342.6868	262.1303	196.5116	161.5662	290.9427	91.1475	173.7878	57.1581	178.8768
KLF8|11279	154.7667	72.6733	170.096	82.2715	67.1992	138.5479	154.4645	113.5659	49.4203	97.597	238.0328	72.4916	79.0598	75.7596
KLF9|687	1725.5684	2298.8506	2571.925	2165.9476	1786.1842	1298.4918	2904.967	2170.9302	1842.6155	2391.1275	1203.9344	1435.4297	1129.8077	2998.8163
KLHDC10|23008	783.0076	330.2435	902.7892	1069.9308	548.8722	1379.1652	1147.2868	1212.4031	1042.3874	1006.2847	437.377	351.4162	739.3162	631.8558
KLHDC1|122773	58.2369	67.2352	57.4303	59.396	47.9323	62.785	64.8866	57.3643	63.486	87.2458	24.918	48.4878	53.4188	54.1891
KLHDC2|23588	2543.2788	2106.0438	3148.0567	1852.9146	2670.1128	1989.1266	841.2288	2117.8295	2488.1201	2446.9501	1678.6885	1084.9736	2190.7051	2176.5093
KLHDC3|116138	775.8277	2683.4755	1114.952	1152.2023	1248.1203	1324.7983	1485.7881	1210.0775	1190.268	900.1848	925.2459	1045.6073	1352.5641	1418.3875
KLHDC4|54758	446.5417	552.5646	544.0219	475.3286	684.9624	282.6833	680.1263	360.4806	408.9299	478.4325	668.2426	485.6457	271.6079	580.1657
KLHDC5|57542	533.3067	275.8621	343.1184	270.0913	364.6617	613.469	573.6434	791.4729	323.8928	438.4473	308.8525	429.1887	295.406	343.0225
KLHDC7A|127707	810.1316	189.8406	439.3233	486.0038	1040.8835	500.1754	1345.1048	672.4806	777.4187	493.5305	1908.8525	579.4527	334.9359	1155.3334
KLHDC7B|113730	84.5632	3.4606	594.7874	55.7841	388.1579	25.2543	8.039	215.1163	80.9732	209.9815	773.7705	151.7043	737.1795	63.6591
KLHDC8A|55220	9.1743	9.8875	10.2423	26.8887	10.3383	17.8885	51.6796	2.7132	1.5206	4.8059	21.6393	9.1215	2.6709	12.1005
KLHDC8B|200942	789.7886	657.5207	625.5144	185.8132	855.7331	396.7029	508.4697	582.5581	439.4602	321.9963	342.9508	428.7086	596.1538	706.5632
KLHDC9|126823	61.428	317.3897	62.5514	83.0741	87.8759	192.9148	128.3376	58.9147	81.7335	70.61	172.459	84.9736	170.9402	103.6433
KLHL10|317719	0.3989	0	0.7316	0.8026	4.2293	1.0523	1.7227	1.1628	1.9008	1.1091	1.3115	0	1.0684	1.5783
KLHL11|55175	40.6861	9.3932	29.9954	28.494	12.688	68.3971	50.8183	32.9457	47.8996	48.0591	15.7377	15.3625	12.8205	11.5744
KLHL12|59349	1593.937	1611.1729	1656.6987	967.1917	1580.8271	1255.349	1026.9882	1710.0775	1486.0293	1073.9372	998.0328	932.3092	1257.4786	1086.9394
KLHL13|90293	695.6522	530.4659	767.0782	27.6914	222.2744	1036.4784	751.3638	865.5039	1232.0852	734.9353	477.377	364.8584	520.2991	87.8601
KLHL14|57565	9.9721	4.9438	9.1449	8.4278	6.109	13.6794	26.414	29.4574	11.4047	5.915	1.3115	8.6414	5.3419	6.3133
KLHL15|80311	394.4954	225.93	415.1806	410.1535	404.6053	458.4356	300.89	403.876	624.9762	527.5416	360	223.7158	360.5769	384.585
KLHL17|339451	55.0459	51.9095	68.0384	57.3894	64.3797	52.9639	59.7186	44.9612	42.1973	78.7431	117.377	77.2924	89.2094	112.061
KLHL18|23276	568.4085	234.8288	554.9154	539.7813	546.0526	424.7632	484.0655	813.5659	606.3486	486.1368	382.9508	397.0235	677.3504	489.2805
KLHL1|57626	0	0	0	0	0	0	0.2871	0	0	0	0	0	0	0
KLHL20|27252	417.6306	109.7516	370.1875	217.1165	230.7331	556.6468	270.1694	336.0465	389.2796	285.3974	127.2131	230.4369	200.8547	231.4876
KLHL21|9903	1982.0503	3637.1277	3762.2314	3881.6093	4334.1165	2287.6184	1746.4829	2777.1318	3849.0781	2938.2625	3499.0164	2816.1306	4822.6496	2736.8144
KLHL22|84861	1469.4854	1004.0786	894.7417	1049.0619	1685.1504	987.0221	619.8679	1115.8915	1143.1287	868.3919	2314.0984	1154.1047	1440.1709	1357.885
KLHL23|151230	46.6693	34.112	87.6269	109.0479	67.9182	284.6615	202.0902	98.062	120.8896	76.1553	30.1639	48.0077	52.3504	33.6709
KLHL24|54800	2247.3075	3638.1164	2788.1116	2621.4508	2618.4211	2381.2697	2203.273	2627.1318	3929.6712	5214.0481	941.6393	2106.5771	1644.765	2086.5448
KLHL25|64410	446.7491	116.6728	509.1907	690.2779	916.3534	334.2687	151.3063	617.0543	469.8726	349.353	1274.0984	787.806	928.953	506.6421
KLHL26|55295	656.5616	926.4615	896.2048	1252.9347	1266.9173	732.0239	394.2004	1166.2791	1173.5412	882.0702	882.623	317.8108	865.9188	1072.7344
KLHL28|54813	300.359	186.8743	260.0823	320.6582	244.3609	257.4535	218.7769	277.1318	313.2484	451.0166	194.0984	216.0346	186.9658	273.0501
KLHL29|114818	8.7754	9.8875	24.5085	24.0795	22.0865	9.4704	93.0233	20.155	6.0825	24.7689	20.3279	38.8862	22.9701	15.2571
KLHL2|11275	793.3785	427.6356	508.0933	629.2766	287.594	593.476	887.1662	486.4341	418.5516	431.0536	748.1967	395.1032	168.2692	524.0037
KLHL30|377007	39.0905	5.9325	9.8765	6.4212	10.8083	3.1568	22.6816	7.3643	3.0412	2.5878	17.0492	11.0418	52.3504	19.466
KLHL31|401265	175.7679	2.4719	175.9488	11.3093	12.218	649.1652	311.6767	5.9574	45.0941	63.7412	4.0262	62.2996	99.8237	7.5128
KLHL32|114792	5.9832	7.91	12.0713	5.2172	2.3496	4.9106	8.6133	5.0388	3.8016	5.5453	7.8689	2.8805	0	5.7872
KLHL33|123103	0	0.4944	0	0.8026	0	2.806	0.5742	0.7752	0.3802	0	0	1.4402	1.0684	0
KLHL34|257240	48.2649	0	48.6511	0.8026	0	3.8583	0	1.938	0	124.9538	0.6557	0	0	8.4177
